,corneillet-circe,quinault-cadmus-hermione,Cost,Operation Type
0,"('#mars', 'Quoi ? La Fortune sans bandeau ? ')",,1.0,Insertion
1,"('#la-fortune', ""Je viens de l'arracher moi-même,  Pour voir l'éclat pompeux de ce temple nouveau.  Mais d'où vient qu'à l'aspect d'un ouvrage si beau,  Le dieu Mars fait paraître une douleur extrême ? "")","('#pales', 'Hâtez-vous, Pasteurs, accourez.')",1.63,Substitution
2,,"('#melisse', 'La voix des oiseaux nous appelle.')",1.0,Deletion
3,,"('#pales', 'Nos champs sont éclairés.')",1.0,Deletion
4,"('#mars', ""Puis-je voir sans chagrin, qu'un mortel à mes yeux,  Des honneurs qu'on me doit emporte l'avantage ?  Je sais bien que LOUIS est un Roi glorieux,  En qui mille vertus, par un noble assemblage,  Offrent à révérer le plus parfait Ouvrage  Qui jamais ait marqué la puissance des Dieux ;  Mais parce qu'il se fait admirer en tous lieux,  A-je mérité qu'on m'outrage ?  Voyez ce que ce temple ajoute à son renom.  Voyez sur cent tableaux avec quel soin la Gloire  A tracé la brillante histoire  Des merveilleux exploits qui consacrent son nom.  C'est là que les plus grands Courages,  D'un zèle tout soumis écoutant la chaleur,  Viennent par d'assidus hommages  Honorer la Prudence unie à la Valeur.  Cependant mes autels, où par toute la terre  L'encens se prodiguait pour les moindres hasards,  Sont négligés de toutes parts.  On regarde LOUIS comme Dieu de la Guerre,  Et l'on ne songe plus à Mars.  D'un si honteux mépris c'est trop souffrir l'audace.  J'en punirai l'injure, et ce temple détruit  Va dans le monde entier étaler à grand bruit  Ce que peut faire un Dieu qui menace. "")","('#melisse', 'Nos coteaux sont dorés.')",1.31,Substitution
5,"('#la-fortune', ""Si LOUIS des Mortels vous dérobe les voeux,  N'ai-je pas même plainte à faire ?  Tout le monde à l'envi, pour devenir heureux,  N'aspirait toujours qu'à me plaire ;  Mais depuis que la Gloire a par tout l'univers  De cet auguste Roi fait briller le mérite,  Pour le suivre chacun me quitte,  Et je vois mes temples déserts.  Cette foule qui plaît, quand même elle importune,  Dédaignant mes faveurs, brigue son seul appui.  Il me ravit mes droits, et ce n'est plus qu'en lui  Qu'on songe à chercher la Fortune.  Jugez à me voir sans honneurs,  Jusqu'où va l'ennui qui me presse,  Car c'est en vain que le nom de déesse  Me fait attendre encor quelques adorateurs.  De quelque rang qu'on soit, les biens seuls qu'on dispense ;  Nous attirent ces voeux pressants  Dont nous aimons la déférence ;  Et les Dieux qui sont sans puissance,  Ne reçoivent guère d'encens. "")","('#pales', ""Tout brille de l'éclat de la clarté nouvelle."")",1.62,Substitution
6,"('#mars', ""Je vois venir l'Amour. Qu'aura-t-il à nous dire ? "")","('#melisse', 'Mille fleurs naissent dans nos prés :')",1.3,Substitution
7,"('#la-fortune', ""La renommée arrive aussi ;  Mais lorsque son emploi de tous côtés l'attire,  D'où vient qu'elle s'arrête ici ?  L'Amour et la Renommée paraissent portés chacun sur un nuage. "")","('#pales #melisse', ""Que l'Astre qui nous luit rend la nature belle ! Ne perdons pas un seul moment D'un jour si doux et si charmant. Le choeur répète les deux derniers vers."")",0.8,Substitution
8,"('#la-renommee', ""N'en soyez point surpris ; le pénible voyage  Où jusqu'au bout de l'univers,  Pour vanter ses Vertus chez cent Peuples divers,  Le Monarque des Lis de jour en jour m'engage,  M'a déjà tant de fois fait traverser les airs,  Qu'il faut qu'en m'arrêtant enfin je me soulage.  Dans les Siècles passés j'ai bien vu des Héros.  Alexandre et César m'ont donné de la peine,  Mais au moins dans leur course ils reprenaient haleine,  Et me laissaient quelque repos.  LOUIS n'en connaît point ; son âme toujours prête  À s'éprouver dans les combats,  À peine a médité la plus haute Conquête,  Qu'à la Victoire il fait suivre ses pas.  Chaque instant de sa vie est un nouveau miracle.  Vingt princes dont il fut l'appui,  Arment vainement contre lui.  À ce qu'il entreprend rien ne peut mettre obstacle ;  Et ces jaloux de sa grandeur,  Forcés partout à céder la victoire,  Ne combattent jamais que pour lui faire honneur,  Et donner du lustre à sa gloire.  Ainsi pour m'acquitter de ce que je lui dois,  J'ai beau presser mon vol, et me hâter de dire  Ce qu'avec moi tout l'Univers admire.  Mes cent bouches pour lui s'ouvrent tout à la fois ;  Et je n'y puis encor suffire. "")","('#le-choeur', ""Admirons, admirons l'Astre qui nous éclaire, Chantons la gloire de son cours ; Que tout le Monde revère Le Dieu qui fait nos beaux jours. Pan, Dieu des Bergers paraît accompagné de joueurs d'instruments champêtres, et de danseurs rustiques, qui viennent prendre part à la réjouissance des nymphes et des pasteurs, et tous ensemble commencent à former une manière de fête à l'honneur du Dieu qui donne le jour."")",0.39,Substitution
9,"('#mars', ""S'il faut ne rien dissimuler,  La plainte me paraît nouvelle.  Quoi, vous, qui si souvent sur des contes en l'air  Redites mille fois la même bagatelle,  Vous vous fâchez d'avoir à trop parler ? "")",,1.0,Insertion
10,"('#la-renommee', ""Je prends sans murmurer tout l'emploi qu'on me donne ;  Mais enfin j'ai peine à souffrir D'être forcée à discourir  Toujours de la même Personne.  Sur chaque nouveauté, comme en tout elle plaît,  J'aime à dire ce que je pense ;  Et si je ne prends intérêt  Qu'à célébrer le nom du grand Roi de la France,  Tous les exploits que les autres feront,  À ce compte demeureront  Ensevelis dans le silence.  Je veux bien toutefois ne parler que de lui ;  Mais ce qui cause mon ennui,  C'est de voir que quand je publie  Toutes ses grandes actions,  On les prend pour des fictions,  Et l'on m'accuse de folie.  Qui pourrait croire aussi ce qu'on a vu deux fois ?  Il paraît, et soudain une Province entière  Se fait un heureux sort de servir de matière  Au triomphe éclatant qui la met sous ses Lois ?  Je crois le voir encor, toujours infatigable,  Courant, volant partout, sans jamais s'arrêter,  Être Chef et Soldat, résoudre, exécuter,  Et seul à soi-même semblable,  Chercher dans le péril tout ce qui peut flatter  L'ardeur de gloire insatiable,  Qui porte les Héros à s'y précipiter.  Mais c'est peu que forcer de superbes murailles.  Voyez-le dans le même temps,  Par l'effroi de son Nom, gagner plus de Batailles  Qu'on n'en donnait autrefois en vingt ans.  Après cela que puis-je faire ? Toutes ces grandes Vérités  Ne semblent-elles pas des Contes inventés,  Et lorsque je les dis, m'estime-t-on sincère ? "")","('#pan', ""Que chacun se ressente De la douceur charmante, Que le Soleil répand sur ces heureux climats. Il n'est rien qui n'enchante Dans ces lieux pleins d'appas, Tout y rit, tout y chante, Hé pourquoi ne rirons-nous pas ? Les danseurs rustiques qui ont suivi le Dieu Pan, commencent une fête qui est interrompue par des bruits souterrains, et par une espèce de Nuit qui obscurcit le théâtre entièrement, et tout_à_coup ; ce qui de frayeur qui sont une manière de concert affreux, avec les bruits souterrains."")",0.26,Substitution
