,biancolelli-ecole-galante,biancollelli-arlequin-gentilhomme,Cost,Operation Type
0,,"('#colombine', 'Allons, maître faquin, dénichez promptement. ')",1.0,Deletion
1,,"('#pierrot', ""C'est ainsi que l'on traite un méchant garnement,  Hors d'ici... "")",1.0,Deletion
2,"('#argentine', ""Quel plaisir trouvez vous à me désespérer ? Vôtre coeur aux soupçons ne fait que se livrer.  Vous êtes inquiet, jaloux à toute outrance, Croyez-moi, c'est trop loin pousser la défiance, Vous mériteriez bien qu'à vôtre vilain front Puisque vous m'outragez, je file quelque affront."")","('#arlequin', 'Modérez cette brusque colère,  Monsieur, que votre main soit un peu plus légère,  Et vous, Madame, ayez plus de compassion,  Vous pourriez bien me faire une contusion,  Je ne vis de mes jours femme plus violente,  Qui connaît mieux que moi votre humeur turbulente ? ')",0.17,Substitution
3,,"('#colombine', ""Je ferais beaucoup mieux de te remercier,  Et te laisser gratis vider tout mon cellier,  Chez moi depuis trois mois tu prends ta nourriture,  J'ai voulu te prêter dix écus sans usure,  Et tu ne songes pas encore à t'acquitter,  Demain je prendrai soin de te faire arrêter,  Une obscure prison sera ta récompense,  Si par le paiement tu n'obtiens ta quittance. "")",1.0,Deletion
4,,"('#arlequin', ""Vous voulez en prison faire mettre Arlequin,  Je n'y resterai pas je suis trop libertin."")",1.0,Deletion
5,,"('#pierrot', ""Bon, bon, quand une fois tu seras dans la cage,  Quoique tu sois porté pour le libertinage,  Tu ne sortiras pas pour t'aller promener,  Je te ferai mon cher, moi-même emprisonner,  Foi de Pierrot, hélas ! Quel serment effroyable  Cela me fait trembler/ "")",1.0,Deletion
6,,"('#arlequin', ""Vous êtes trop bon Diable,  Vous n'avez pas le coeur de me faire enfermer. "")",1.0,Deletion
7,,"('#pierrot', ""Oh si tu prenais l'air tu pourrais t'enrhumer,  Dans un cachot bien clos tu seras à ton aise. "")",1.0,Deletion
8,,"('#arlequin', ""Le cachot est mal sain et n'a rien qui me plaise,  D'ailleurs la solitude a pour moi peu d'appas. "")",1.0,Deletion
9,,"('#pierrot', 'Tu pourras converser avec Messieurs les rats,  Qui le jour et la nuit te tiendront compagnie. ')",1.0,Deletion
