,moliere-precieuses-ridicules,somaize-precieuses-ridicules,Cost,Operation Type
0,"('#du-croisy', 'Seigneur la Grange.')","('#du-croisy', 'Seigneur, la Grange.')",0.0,Match
1,"('#la-grange', 'Quoi ? ')","('#la-grange', 'Hé bien ?')",0.42,Substitution
2,"('#du-croisy', 'Regardez-moi un peu sans rire. ')","('#du-croisy', 'Regardez-moi sans rire.')",0.0,Match
3,"('#la-grange', 'Eh bien ! ')","('#la-grange', ""Parlez, je vous entends. Qu'avez-vous à me dire ? Quoi."")",1.53,Substitution
4,"('#du-croisy', 'Que dites-vous de notre visite ?  En êtes-vous fort satisfait ? ')","('#du-croisy', 'De notre visite êtes vous satisfait ?')",0.0,Match
5,"('#la-grange', ""À votre avis, avons-nous sujet de l'être tous deux ? "")","('#la-grange', 'Pas trop à dire vrai, mais vous ?')",0.78,Substitution
6,"('#du-croisy', 'Pas tout à fait, à dire vrai. ')","('#du-croisy', 'Pas tout à fait.')",0.0,Match
7,"('#la-grange', ""Pour moi, je vous avoue que j'en suis tout scandalisé.  A-t-on jamais vu, dites-moi, deux pecques provinciales faire plus les renchéries que celles-là, et deux hommes traités avec plus de mépris que nous ?  À peine ont-elles pu se résoudre à nous faire donner des sièges.  Je n'ai jamais vu tant parler à l'oreille qu'elles ont fait entre elles, tant bâiller ; tant se frotter les yeux, et demander tant de fois : Quelle heure est-il ?  Ont-elles répondu que oui, et non, à tout ce que nous avons pu leur dire ?  Et ne m'avouerez-vous pas enfin que quand nous aurions été les dernières personnes du monde, on ne pouvait nous faire pis qu'elles ont fait ? "")","('#la-grange', ""J'en suis scandalisé, pour moi je le confesse Un procédé semblable, et me choque et me blesse, Deux pecques de Province, ont-elles dites-moi ? Jamais plus fièrement, tenu leur quant à moi Et deux hommes jamais, en pareille occurrence Ont-ils été reçus avec plus d'arrogance : Pendant que nous avons demeuré pour les voir À peine elles nous ont prié de nous asseoir, Je suis encor surpris, d'une chose pareille On n'a jamais tant vu, se parler à l'oreille, Tant se frotter les yeux, tant bailler, tant moucher, Tant s'enquérir de l'heure, et si souvent cracher. Nous ont-elles jamais dit, quatre mots de suite, Oui, ou non, ont-ils pas payé notre visite, Et quand nous aurions même été de vrais gredins Nous auraient-elles pu montrer plus de dédains."")",0.0,Match
8,"('#du-croisy', 'Il me semble que vous prenez la chose fort à coeur. ')","('#du-croisy', 'À vous ouïr parler, de cet accueil farouche Il semble tout de bon, que la chose vous touche.')",0.48,Substitution
9,"('#la-grange', ""Sans doute, je l'y prends, et de telle façon, que je veux me venger de cette impertinence.  Je connais ce qui nous a fait mépriser.  L'air précieux n'a pas seulement infecté Paris, il s'est aussi répandu dans les provinces, et nos donzelles ridicules en ont humé leur bonne part.  En un mot c'est un ambigu de Précieuse et de Coquette que leur personne.  Je vois ce qu'il faut être pour en être bien reçu, et si vous m'en croyez, nous leur jouerons tous deux une pièce, qui leur fera voir leur sottise, et pourra leur apprendre à connaître un peu mieux leur monde. "")","('#la-grange', ""Sans doute elle me touche, et de telle façon Que devant qu'il soit peu, j'en veux tirer raison ; Je connais ce que c'est, l'air précieux dans doute Dans la campagne aussi, vient de prendre sa route, Et de Paris enfin courant, de part en part Nos donzelles en ont, humé leur bonne part ; On connaît aisément, en voyant leur personne Que c'est la vérité que ce que j'en soupçonne, On y voit certain air coquet et précieux Et qui n'est en un mot, qu'un ambigu des deux : Pour en être reçu, je vois ce qu'il faut être, Je vois ce qu'à leurs yeux, il faut enfin paraître, Et si vous me croyez, nous leur devons jouer Un tour, pour leur apprendre à ne pas s'élever, La pièce assurément paraîtra sans faconde Et leur montrera bien à connaître le monde."")",0.0,Match
10,"('#du-croisy', 'Et comment encore ? ')","('#du-croisy', 'Comment ?')",0.94,Substitution
11,"('#la-grange', ""J'ai un certain valet nommé Mascarille, qui passe au sentiment de beaucoup de gens pour une manière de bel esprit, car il n'y a rien à meilleur marché que le bel esprit maintenant.  C'est un extravagant, qui s'est mis dans la tête de vouloir faire l'homme de condition.  Il se pique ordinairement de galanterie, et de vers, et dédaigne les autres valets, jusqu'à les appeler brutaux. "")","('#la-grange', ""J'ai Mascarille, un certain grand laquais Qui passe au sentiment d'esprits assez mal faits, Pour être un bel esprit, car au siècle où nous sommes Il est à bon marché, chez la plupart des hommes. C'est un extravagant, qui par ambition Tâche d'être partout cru de condition, Il se pique d'esprit, de vers, de raillerie, Croit fort bien réussir, dans la galanterie Fait le maître partout dédaigne ses égaux Jusques à les traiter, d'ignorants de brutaux."")",0.0,Match
12,"('#du-croisy', ""Eh bien qu'en prétendez-vous faire ? "")","('#du-croisy', 'Hé bien ! De ce valet que prétendez-vous faire :')",0.31,Substitution
13,"('#la-grange', ""Ce que j'en prétends faire ?  Il faut...  mais sortons d'ici auparavant. "")","('#la-grange', ""Mon dessein n'a jamais été de vous le taire Il nous faut... Mais sortons, car tout n'irait pas bien Si Gorgibus, qui vient savait notre entretien."")",0.56,Substitution
14,"('#gorgibus', 'Eh bien vous avez vu ma nièce, et ma fille, les affaires iront-elles bien ?  Quel est le résultat de cette visite ? ')","('#gorgibus', ""Hé bien ? Vous avez vu ma nièce avec ma fille Avez-vous résolu d'entrer ; dans ma famille, D'une pareille affaire, encor que dites-vous ?"")",0.4,Substitution
15,"('#la-grange', ""C'est une chose que vous pourrez mieux apprendre d'elles, que de nous.  Tout ce que nous pouvons vous dire, c'est que nous vous rendons grâce de la faveur que vous nous avez faite, et demeurons vos très humbles serviteurs. "")","('#la-grange', ""Vous le saurez Monsieur, mieux d'elles, que de nous, Tout ce que nous pouvons à présent vous apprendre C'est, que nous avons trop de grâces à vous rendre, De toutes vos bontés, de toutes vos faveurs Et que nous demeurons vos humbles serviteurs."")",0.0,Match
16,"('#gorgibus', ""Ouais il semble qu'ils sortent mal satisfaits d'ici, d'où pourrait venir leur mécontentement ?  Il faut savoir un peu ce que c'est.  Holà ! "")","('#gorgibus', ""Ouais ? Ils sont mal contents, que cela veut-il dire. Faisons venir quelqu'un qui nous puisse instruire. Je veux m'en enquérir, et savoir promptement D'où leur pourrait venir, ce mécontentement : Ces coquines, toujours me causent mille angoisses Holà ?"")",0.8,Substitution
17,"('#marotte', 'Que désirez-vous, Monsieur ? ')","('#marotte', 'Plaît-il Monsieur ?')",0.0,Match
18,"('#gorgibus', 'Où sont vos maîtresses ? ')","('#gorgibus', ""Où sont donc vos maîtresses ? Qu'on les fasse venir."")",0.0,Match
19,"('#marotte', 'Dans leur cabinet. ')","('#marotte', ""Je pense qu'elles sont Dedans leur cabinet."")",0.0,Match
20,"('#gorgibus', 'Que font-elles ? ')","('#gorgibus', ""Qu'est-ce qu'elles y font ?"")",0.0,Match
21,,"('#marotte', 'Pour les lèvres Monsieur.')",1.0,Deletion
22,,"('#gorgibus', 'Et quoi ?')",1.0,Deletion
23,"('#marotte', 'De la pommade pour les lèvres. ')","('#marotte', 'De la pommade')",0.03,Substitution
24,"('#gorgibus', ""C'est trop pommadé, dites-leur qu'elles descendent.  Ces pendardes-là avec leur pommade ont je pense envie de me ruiner.  Je ne vois partout que blancs d'oeufs, lait virginal, et mille autres brimborions que je ne connais point.  Elles ont usé, depuis que nous sommes ici, le lard d'une douzaine de cochons, pour le moins, et quatre valets vivraient tous les jours des pieds de mouton qu'elles emploient. "")","('#gorgibus', ""Nous avons tous les jours une semblable aubade. Tout cela me déplaît, et c'est trop pommader Qu'on les fasse descendre, allez et sans tarder. Il le faut avouer, je crois que ces pendardes Me veulent ruiner, avecque leurs pommades ; Mais je me fâcherai si l'on me pousse à bout ; Je ne vois que blancs d'oeufs, lait virginal partout, Partout, dans le logis, je ne vois que paraître Mille brimborions, que je ne puis connaître : Elles ont employé, le lard de dix cochons Et je puis assurer que des pieds de moutons Dont ici chaque jour, elles font la dépense Six valets en auraient plus que leur suffisance."")",0.0,Match
25,"('#gorgibus', 'Il est bien nécessaire, vraiment, de faire tant de dépense pour vous graisser le museau.  Dites-moi un peu ce que vous avez fait à ces Messieurs, que je les vois sortir avec tant de froideur ?  Vous avais-je pas commandé de les recevoir comme des personnes, que je voulais vous donner pour maris ? ')","('#gorgibus', ""Cela n'est par ma foi du tout, ni bien, ni beau Et c'est trop dépenser ; pour graisser son museau, Dites ? Qu'ont ces Messieurs, qu'avez-vous pu leur faire ? Ils sortent froidement, et se semble en colère Puisque je l'avais dit, que ne les traitiez vous, Comme gens destinés, pour être vos époux."")",0.0,Match
26,"('#magdelon', 'Et quelle estime, mon père, voulez-vous que nous fassions du procédé irrégulier de ces gens-là ? ')","('#madelon', ""Ah ! Que dites-vous là, quelle estime mon père Pourrions-nous toutes deux, et devrions nous faire, (Quand bien vous nous l'auriez vous même commandé) De ces sortes de gens de qui le procédé  Est irrégulier."")",0.0,Match
27,"('#cathos', ""Le moyen, mon oncle, qu'une fille un peu raisonnable se pût accommoder de leur personne ? "")","('#cathos', ""Des filles raisonnables Ne peuvent accepter des personnes semblables. Mon oncle, quel moyen de s'en accommoder ?"")",0.09,Substitution
28,"('#gorgibus', ""Et qu'y trouvez-vous à redire ? "")","('#gorgibus', 'Que trouvez-vous en eux ?')",0.94,Substitution
29,"('#magdelon', ""La belle galanterie que la leur !  Quoi débuter d'abord par le mariage ? "")","('#madelon', ""Qu'osez-vous demander Ils n'ont fait leur début que par le mariage."")",0.27,Substitution
30,"('#gorgibus', ""Et par où veux-tu donc qu'ils débutent, par le concubinage ?  N'est-ce pas un procédé, dont vous avez sujet de vous louer toutes deux aussi bien que moi ?  Est-il rien de plus obligeant que cela ?  Et ce lien sacré où ils aspirent, n'est-il pas un témoignage de l'honnêteté de leurs intentions ? "")","('#gorgibus', ""Devaient-ils débuter par le concubinage ? Était-ce le moyen de gagner votre coeur ? Ne devriez-vous pas estimer leur ardeur, Quoi ? Pouvaient-il tous deux, parler d'une manière Qui fût plus obligeante, et dût plus satisfaire, Et ce lien sacré qu'ils prétendent tous deux Ne marque-t-il pas bien, la vertu de leurs voeux."")",0.0,Match
31,"('#magdelon', 'Ah mon père, ce que vous dites là est du dernier bourgeois.  Cela me fait honte de vous ouïr parler de la sorte, et vous devriez un peu vous faire apprendre le bel air des choses. ')","('#madelon', ""Mon père, songez mieux, à tout ce que vous dites, Ces fautes tout de bon, ne sont pas trop petites ; Mais faites-vous de grâce, instruire une autre fois, Ce que vous avez dit, est du dernier bourgeois, Je ne vous puis ouïr, et la honte m'accable. Lorsque je vous entends faire un discours semblable. J'en suis encore surprise et confuse. Bon Dieu ! Pour vous désabrutir, vous devriez un peu Apprendre ce que c'est, que le bel air des choses."")",0.0,Match
