quinault-comedie-sans-comedie,quinault-docteur-de-verre,Score
"('#jodelet', ""La Nuit qui verse à pleines mains Ses doux pavots sur les humains, Fait sommeiller le bruit et ronfler la tristesse : Et le Soleil ce grand falot Est allé plus vite qu'au trot, Chez Thétis son hôtesse, Dormir comme un sabot La fugue est raffinée et l'accord n'est pas sot."")",-,0.0
"('#hauteroche', ""C'est mon valet qui chante, ah l'insolence étrange !"")",-,0.0
"('#jodelet', ""Je me sens en humeur de chanter comme un Ange. Tandis parmi des loups-garous Des chats-huants et des hiboux, Je fais malgré mes dents ici le pied de grue, Peste au plus bel endroit une corde est rompue, Dieu ! C'est la chanterelle hélas quelle pitié, Si mon maître survient je suis estropié ; Ce soir à sa coquette il donne sérénade. Il continue à chanter. Une corde du Théorbe se rompt."")",-,0.0
"('#hauteroche', 'Le maraud !')",-,0.0
"('#jodelet', 'Je crains fort sa première boutade. Sa tête est bien légère et son bras est fort lourd, Il est prompt comme un diable, et frappe comme un sourd.')",-,0.0
"('#hauteroche', 'Assommons ce faquin.')",-,0.0
"('#jodelet', 'Au voleur on me tue !')",-,0.0
"('#chevalier', ""J'entends de Jodelet la voix qui m'est connue, Quelqu'un lui fait outrage, il faut le secourir, Qui que tu sois demeure, ou t'apprête à mourir."")",-,0.0
"('#hauteroche', 'Épargnez vos amis, calmez votre furie.')",-,0.0
"('#chevalier', ""C'est toi cher Hauteroche ! Excuse je te prie. Je croyais que quelque autre outrageait ton valet."")",-,0.0
"('#jodelet', ""Ma foi je m'ennuyais de garder le mulet. Une corde a sauté dont j'enrage, ou je meure."")",-,0.0
"('#hauteroche', 'Traître !')",-,0.0
"('#jodelet', 'Tout beau, je vais en mettre une meilleure.')",-,0.0
"('#hauteroche', ""J'ai soupé chez Ariste, et je viens dans l'espoir D'oser avec un air vous donner le bonsoir."")",-,0.0
"('#chevalier', 'Dis à ma jeune soeur dont ton âme est touchée...')",-,0.0
"('#hauteroche', ""Ma passion pour vous ne fut jamais cachée. Vous savez que je brûle et que sans votre aveu, J'aurais toujours langui sans découvrir mon feu ; Mais vos bontés en vain fondent mon espérance, La Fortune entre nous met trop de différence, Votre père est fort riche et chérissant le bien Il aura du mépris pour un comédien. Je crains qu'il soit atteint de l'horreur ordinaire Que notre nom imprime en l'âme du vulgaire, Et comme de notre art il ignore le prix, Notre amour n'obtiendra de lui que du mépris."")",-,0.0
"('#chevalier', ""Vous savez qu'il attend deux vaisseaux en Provence Où sont avec nos biens toute notre espérance. Et que d'un coup de vent le destin irrité Peut encore entre nous mettre l'égalité ; Je suis même alarmé d'avoir cet ordinaire Manqué de recevoir des lettres de mon père : Quoi qu'il arrive enfin j'espère à son retour Lui faire par mes soins approuver ton amour. Ma soeur de son côté te sera favorable."")",-,0.0
"('#hauteroche', ""Vous me voulez flatter d'un mensonge agréable."")",-,0.0
"('#chevalier', ""Non, je sais qu'elle t'aime."")",-,0.0
"('#hauteroche', ""Ah c'est trop de moitié ! Je suis assez heureux si je lui fais pitié, Je sais que fort souvent La_Roque la visite, Je connais mes défauts et connais son mérite : Il en reçoit sans doute un traitement bien doux."")",-,0.0
"('#chevalier', ""C'est-à-dire en un mot que tu deviens jaloux : Mais à tort sur ce point ton esprit s'inquiète La_Roque aime l'aînée et non pas la cadette : Elle n'est pas d'humeur à faire un second choix, Elle aimera toujours ce qu'elle aime une fois. Plût au Ciel que le sort me fût aussi propice, Hélas !"")",-,0.0
"('#hauteroche', 'Vous soupirez !')",-,0.0
"('#chevalier', ""C'est avecque justice."")",-,0.0
"('#hauteroche', ""Tout succède à vos voeux, tout rit à vos désirs, J'ignore quel sujet peut causer vos soupirs."")",-,0.0
"('#chevalier', ""Si tu peux l'ignorer, ton erreur est extrême, Alors que l'on soupire on dit toujours qu'on aime. Je l'avoue, oui l'amour a su me surmonter."")",-,0.0
"('#hauteroche', ""C'est un mal qu'on peut fuir, mais non pas éviter ? Et si c'est un défaut, dans le siècle où nous sommes ; C'est au moins le défaut qu'ont tous les galants hommes."")",-,0.0
"('#chevalier', 'Une jeune beauté hier au soir dans un bal Sut à ma liberté porter le coup fatal.')",-,0.0
"('#hauteroche', 'Quelle est sa qualité ?')",-,0.0
"('#chevalier', ""Je n'en sais rien encore."")",-,0.0
"('#hauteroche', 'Au moins tu sais son nom ?')",-,0.0
"('#chevalier', ""Nullement, je l'ignore Et pour rendre mon sort funeste au dernier point Ceux à qui j'en parlai ne la connaissaient point : Et pour toute faveur ce miracle des belles M'assura que bientôt j'aurais de ses nouvelles."")",-,0.0
"('#hauteroche', 'Cher ami ! Je vous plains.')",-,0.0
"('#chevalier', ""Mais c'est trop t'arrêter, Cessons de discourir et commence à chanter."")",-,0.0
"('#hauteroche', ""Je vais chanter des vers d'une pièce nouvelle Dont je crois la pensée être assez naturelle."")",-,0.0
"('#la-roque', ""Pardonne à mon amour mon incivilité Ma soeur ! Et chante ici l'air que j'ai souhaité."")",-,0.0
"('#polixene', ""Soeur du Soleil éclatante courrière Vous n'eûtes jamais de lumière Égale au bel éclat qu'Olimpe a dans les yeux."")",-,0.0
"('#hauteroche', ""J'allais chanter ces vers."")",-,0.0
"('#chevalier', 'Que rien ne te retienne On chante une partie opposée à la tienne.')",-,0.0
"('#hauteroche', ""Soeur du Soleil éclatante courrière Vous n'eûtes jamais de lumière Égale au bel éclat qu'Olympe a dans les yeux."")",-,0.0
