garnier-bradamante,la-calprenede-bradamante,Score
"('#charlemagne', ""Les sceptres des grands rois viennent du Dieu suprême C'est lui qui ceint nos chefs d'un royal diadème, Qui nous fait quand il veut régner sur l'Univers, Et quand il veut fait choir notre empire à l'envers. Tout dépend de sa main, tout de sa main procède. Nous n'avons rien de nous, c'est lui qui tout possède, Monarque universel, et ses commandements Font les sphères mouvoir et tous les éléments. Il a mis sur mon chef la Françoise couronne ; Il a fait que ma voix toute la terre étonne, Et que l'Aigle Romain perche en mes étendards, Guide des escadrons de mes vaillants soudards. L'Italie m'obéit, la superbe Allemagne, Et les Rois reculés de l'ondeuse Bretagne. Ma courageuse France est pleine de guerriers, Dont les faits ont acquis mille et mille lauriers, Renommez par le monde autant qu'un preux Achille : La Grèce n'en eut qu'un, et j'en ai plus de mille. Quel Mars fut onc pareil en force et en renom, Quelque dieu qu'il peut être, à la race d'Aymon ? À Roland l'invincible, à qui Dieu favorable Naissant a composé le corps invulnérable ? Quel est un Olivier, un Griffon, Aquilant ? Combien est un Astolphe et un Ogier vaillant ? Un Huon, un Marbrin, et mille autres encore Aux armes indompté, dont ma France s'honore, Comme d'astres luisants en une épaisse nuit, Quand le Soleil doré dessous les ondes luit ? C'est toi moteur du ciel, qui la force leur donnes, Pour être de ta loi les solides colonnes. C'est toi qui fais florir ces braves Paladins, Pour sous ton étendard rompre les Sarasins, Ennemis de ton nom, pour l'Eglise défendre, Qu'ils veulent par le fer mahumétique rendre. Ils ont dompté l'Asie et l'Afrique, courants De rivage en rivage, ainsi que gros torrents Qui tombent en avril des neigeuses montagnes, Et passent en bruyant à travers les campagnes, Rompent tout, faussent tout, arrachent les ormeaux, Entraînent les bergers, leurs cases et troupeaux. Ainsi ces mécréants débordés de leur terre, Ont couru, fourragé comme un trait de tonnerre La blatière Libye, et l'Asie, où les yeux Du soleil sont fichés en remontant aux cieux. Ils avaient traversé les ondes Herculides, Et chassé Jésus-Christ des terres Ibérides ; Si que le riche Tage, au beau sable doré, Voyait au lieu de lui Belzébuth adoré. Ô Dieu, notre vrai Dieu, qu'il fallut que nos pères Eussent bien attisé tes dormantes colères, T'eussent bien irrité d'exécrables forfaits, Pour montrer de ta main de si sanglants effets, Pour nous assujettir à cette gent païenne, Et souffrir profaner ton Église chrétienne, Pour qui en corps mortel du ciel tu descendis, Et lavant nos méfaits, ton sang tu répandis ! Toi, Dieu de l'univers, dont la dextre divine A bâti, a formé cette ronde machine, Sans forme et sans matière, et sans objet aucun. Sans outils, sans secours que de toi, qui n'es qu'un. Ils ne furent contents d'asservir les Espagnes, Mais des hauts Pyrénées franchirent les montagnes, Et en tourbe innombrable ouvrirent les détroits Des grands rochers moussus qui s'élèvent si droits. Ils descendent au bord où la vite Garonne Courant dans l'Océan en ses vagues bourdonne, Et, jurez ennemis, font exécrable voeu De faire tout passer par le glaive et le feu. Celui pourrait nombrer les célestes lumières, Les raisins de l'automne, et les fleurs printanières, Qui aurait peu compter les escadrons aguerris, Qui avec Agramant vinrent devant Paris. Ils couvraient de leurs rangs la poudroyante plaine. Leurs chevaux épuisaient les claires eaux de Seine. L'air résonnait de cris, les bataillons pressés Mouvaient de toutes parts de piques hérissez. Le troupeau baptisé, tapi dedans la ville, Ainsi que de moutons une bande imbécile, Retirée en un parc de trois loups assailli, Soupirait vers le ciel d'un courage failli. C'était fait de la France, et de toute l'Europe ; Nous étions le butin de l'infidèle troupe ; La sainte loi de Christ délaissait l'Univers, Si Dieu n'eut dessus nous ses yeux de grâce ouverts, Et pitoyable père en notre mal extrême, N'eut à notre secours levé sa main suprême. Comme une mère tendre à son enfant petit, Après l'avoir tancé pour quelque sien délit, Le voyant larmoyer de pitié se transporte, Le baise, le mignarde, et son deuil réconforte, Ainsi son peuple ayant notre Dieu châtié De ses nombreux méfaits, il en a prit pitié : À regardé ses pleurs au milieu de son ire. Et piteux n'a voulu le voir ainsi détruire. Il a levé le bras de foudres rougissant, A froncé le sourcil ; le courroux palissant A son coeur embrasé, la fureur indomptée Lui est soudainement dans les naseaux montée ; Il a noirci le ciel de nuages espois, Et comme un tourbillon a desserré sa voix. L'Océan en frémit, la terre en trembla toute, Et du ciel étonné branla l'horrible voûte ; Au coeur des ennemis la frayeur descendit ; L'allégresse et la force aux nôtres il rendit. L'Angleterre s'arma, l'Écossaise jeunesse Au sang nous ralluma l'antique hardiesse. Renaud, ains notre Hector, conducteur du secours, Les fit en grand carnage abandonner nos tours. Ils se mirent en route, et la campagne verte Se voit incontinent de sang païen couverte. Ils ont quitté la France, et cuidant par les flots Tromper la main de Dieu qui fondait sur leur dos, Ont été dévorez des ondes aboyantes, Si que rien n'est resté de ces troupes méchantes. Marsille dans l'Espagne a retiré son camp ; Mais Agramant, Sobrin et le roi Sérican, Reliques du naufrage, ayant appris la perte De l'Empire Africain et le sac de Bizerte, Ont dedans Lipaduse attiré par défis Olivier et Roland, qui les ont déconfis. Or il faut louer Dieu de si belle victoire, Et à sa seule grâce en adresser la gloire."")",-,0.0
"('#charlemagne', 'Nous contenterons-nous de les vaincre à demi ?')",-,0.0
"('#nymes', ""Ne vous suffit-il pas de chasser l'ennemi ?"")",-,0.0
"('#charlemagne', ""Ce ne m'est pas assez de défendre ma terre."")",-,0.0
"('#nymes', ""Que demandez-vous plus que d'achever la guerre ?"")",-,0.0
"('#charlemagne', 'Un empereur Romain ne se peut dire avoir Pour chasser un Barbare assez fait de devoir Qui pourra retourner avec nouvelle force.')",-,0.0
"('#nymes', ""Son malheureux succès ne lui sert pas d'amorce Pour franchir derechef les rochers Pyrénées, Et repiller encor nos champs abandonnés."")",-,0.0
"('#charlemagne', ""Agramant est occis, le roi de Barbarie, Gradasse et Mandricart, honneur de Tartarie. Roger a délaissé sa détestable loi, Comme sa soeur Marphise, et Sobrin, le bon Roi. Mais le fier Rodomont, Ferragus et Marcille, Valeureux combattants, et mille autres, et mille Que l'Espagne et l'Afrique ont nourris, ne sont pas Semence de grands maux, trébuchés au trépas."")",-,0.0
"('#nymes', ""Ils sont assez puissants pour leurs terres défendre, Mais non pas pour oser contre vous entreprendre, Pour la France assaillir, mère des Chevaliers, Mère des bons soudards, qu'elle enfante à milliers."")",-,0.0
"('#charlemagne', ""Nous avons vu sur nous l'Espagne et la Libye, Mais non les étendards de l'ardente Arabie, Non les Soldats d'Egypte, et les rois mécréants Qui foulent les sablons des bords Cyrénéans."")",-,0.0
