,dufresny-adieux-des-officiers,moliere-psyche,Cost,Operation Type
0,"('#le-tambour', 'À cheval, à cheval, Mars, vite à la guerre,  Prends ta rapière,  Il est temps,  Quand le coq a chanté : Mars déjà la gloire,  Et la victoire,  Sont aux champs. ')","('#flore', ""Ce n'est plus le temps de la guerre ; Le plus puissant des Rois Interrompt ses exploits, Pour donner la paix à la terre. Descendez, Mère des Amours, Venez nous donner de beaux jours. Vertumne et Palaemon, avec les divinités qui les accompagnent, joignent leurs voix à celle de Flore, et chantent ces paroles."")",0.35,Substitution
1,"('#un-amour', 'Suivez la gloire et ses attraits,  Laissez Mars et Vénus en paix. ')","('#choeur', ""Nous goûtons une paix profonde ; Les plus doux jeux sont ici-bas ; On doit ce repos plein d'appas Au plus Grand Roi du Monde. Descendez, mère des Amours, Venez nous donner de beaux jours. Il se fait ensuite une entrée de ballet, composée de deux Dryades, quatre Sylvains, deux Fleuves et deux Naïades. Après laquelle, Vertumne et Palaemon chantent ce dialogue."")",0.57,Substitution
2,,"('#vertumne', 'Rendez-vous, beautés cruelles, Soupirez à votre tour.')",1.0,Deletion
3,,"('#palaemon', ""Voici la reine des Belles, Qui vient inspirer l'amour."")",1.0,Deletion
4,,"('#vertumne', 'Un bel objet toujours sévère Ne se fait jamais bien aimer.')",1.0,Deletion
5,"('#le-tambour', 'Le bruit de mon tambour et de la trompette,  Met la grisette  Aux abois.  Mais un brave guerrier doit de bonne grâce,  Céder la place  Au bourgeois. ')","('#palaemon', ""C'est la beauté qui commence de plaire, Mais la douceur achève de charmer."")",1.45,Substitution
6,,"('#vertumne #palaemon', ""C'est la beauté qui commence de plaire. Mais la douceur achève de charmer. Ils répètent ensemble ces derniers vers."")",1.0,Deletion
7,,"('#vertumne', ""Souffrons tous qu'Amour nous blesse ; Languissons, puisqu'il le faut."")",1.0,Deletion
8,,"('#palaemon', 'Que sert un coeur sans tendresse ? Est-il un plus grand défaut ?')",1.0,Deletion
9,"('#l-amour', 'Vénus ne saurait consentir  À le laisser partir. ')","('#vertumne', 'Un bel objet toujours sévère Ne se fait jamais bien aimer.')",1.42,Substitution
10,,"('#palaemon', ""C'est la beauté qui commence de plaire, Mais la douceur achève de charmer. Flore répond au Dialogue de Vertumne et de Palaemon, par ce menuet ; et les autres Divinités y mêlent leurs danses."")",1.0,Deletion
11,"('#le-tambour', 'Un jeune héros doit laisser sa faiblesse  À sa maîtresse  En partant.  Je lui permets de rire avec son hôtesse,  Mais sans tendresse,  En passant. ')","('#flore', ""Est-on sage Dans le bel âge, Est-on sage De n'aimer pas ? Que sans cesse L'on se presse De goûter les plaisirs ici-bas : La sagesse De la jeunesse, C'est de savoir jouir de ses appas. L'amour charme Ceux qu'il désarme ; L'Amour charme, Cédons-lui tous, Notre peine Serait vaine De vouloir résister à ses coups : Quelque chaîne Qu'un amant prenne, La liberté n'a rien qui soit si doux. Vénus descend du ciel dans une grande machine avec l'Amour son fils, et deux petites Grâces, nommés AEgiale et Phaène, et les Divinités de la Terre et des Eaux recommencent de joindre toutes leurs voix, et continuent par leurs danses de lui témoigner la joie qu'elles ressentent à son abord."")",0.51,Substitution
12,"('#l-amour', ""Ne permettez rien aux amants,  Ils ne sont que trop inconstants.  Mars et Vénus quittent le lit de repos, et s'avancent."")","('#choeur', ""Nous goûtons une paix profonde ; Les plus doux jeux sont ici-bas ; On doit ce repos plein d'appas Au plus grand Roi du Monde. Descendez, mère des Amours, Venez nous donner de beaux jours."")",0.8,Substitution
