,moliere-bourgeois-gentilhomme,quinault-fetes-amour-bacchus,Cost,Operation Type
0,"('#le-maitre-de-musique', ""Venez, entrez dans cette salle, et vous reposez là, en attendant qu'il vienne."")","('#le-choeur', ""À moi, Monsieur, à moi de grâce, à moi Monsieur, Un livre, s'il vous plaît, à votre serviteur."")",1.12,Substitution
1,"('#le-maitre-a-danser', 'Et vous aussi, de ce côté.')",,1.0,Insertion
2,"('#le-maitre-de-musique', 'Est-ce fait ?')",,1.0,Insertion
3,"('#l-eleve', 'Oui.')",,1.0,Insertion
4,"('#le-maitre-de-musique', 'Voyons...  Voilà qui est bien.')",,1.0,Insertion
5,"('#le-maitre-a-danser', 'Est-ce quelque chose de nouveau ?')",,1.0,Insertion
6,"('#le-maitre-de-musique', ""Oui, c'est un air pour une sérénade, que je lui ai fait composer ici, en attendant que notre homme fût éveillé."")",,1.0,Insertion
7,"('#le-maitre-a-danser', ""Peut-on voir ce que c'est ?"")",,1.0,Insertion
8,"('#le-maitre-de-musique', ""Vous l'allez entendre, avec le dialogue, quand il viendra.  Il ne tardera guère."")",,1.0,Insertion
9,"('#le-maitre-a-danser', 'Nos occupations, à vous, et à moi, ne sont pas petites maintenant.')","('#homme-du-bel-air', 'Monsieur, distinguez nous parmi les gens qui crient, Quelques livres ici, les Dames vous en prient.')",1.03,Substitution
10,"('#le-maitre-de-musique', ""Il est vrai.  Nous avons trouvé ici un homme comme il nous le faut à tous deux ; ce nous est une douce rente que ce Monsieur Jourdain, avec les visions de noblesse et de galanterie qu'il est allé se mettre en tête.  Et votre danse, et ma musique, auraient à souhaiter que tout le monde lui ressemblât."")",,1.0,Insertion
11,"('#le-maitre-a-danser', ""Non pas entièrement ; et je voudrais pour lui, qu'il se connût mieux qu'il ne fait aux choses que nous lui donnons."")",,1.0,Insertion
12,"('#le-maitre-de-musique', ""Il est vrai qu'il les connaît mal, mais il les paye bien ; et c'est de quoi maintenant nos arts ont plus besoin que de toute autre chose."")",,1.0,Insertion
13,"('#le-maitre-a-danser', ""Pour moi, je vous l'avoue, je me repais un peu de gloire.  Les applaudissements me touchent ; et je tiens que dans tous les beaux arts, c'est un supplice assez fâcheux que de se produire à des sots ; que d'essuyer sur des compositions, la barbarie d'un stupide.  Il y a plaisir, ne m'en parlez point, à travailler pour des personnes qui soient capables de sentir les délicatesses d'un art ; qui sachent faire un doux accueil aux beautés d'un ouvrage ; et par de chatouillantes approbations, vous régaler de votre travail.  Oui, la récompense la plus agréable qu'on puisse recevoir des choses que l'on fait, c'est de les voir connues ; de les voir caressées d'un applaudissement qui vous honore.  Il n'y a rien, à mon avis, qui nous paye mieux que cela de toutes nos fatigues ; et ce sont des douceurs exquises que des louanges éclairées."")","('#autre-homme-du-bel-air', ""Hola, Monsieur, Monsieur, ayez la charité  D'en jeter de nôtre côté."")",1.5,Substitution
14,"('#le-maitre-de-musique', ""J'en demeure d'accord, et je les goûte comme vous.  Il n'y a rien assurément qui chatouille davantage que les applaudissements que vous dites ; mais cet encens ne fait pas vivre.  Des louanges toutes pures, ne mettent point un homme à son aise : il y faut mêler du solide ; et la meilleure façon de louer, c'est de louer avec les mains.  C'est un homme, à la vérité, dont les lumières sont petites, qui parle à tort et à travers de toutes choses, et n'applaudit qu'à contre-sens ; mais son argent redresse les jugements de son esprit.  Il a du discernement dans sa bourse.  Ses louanges sont monnayées ; et ce bourgeois ignorant nous vaut mieux, comme vous voyez, que le grand seigneur éclairé qui nous a introduits ici."")","('#femme-du-bel-air', ""Mon_Dieu ! Qu'aux personnes bien faites On sait peu rendre honeur céans ?"")",0.86,Substitution
15,"('#le-maitre-a-danser', ""Il y a quelque chose de vrai dans ce que vous dites ; mais je trouve que vous appuyez un peu trop sur l'argent ; et l'intérêt est quelque chose de si bas, qu'il ne faut jamais qu'un honnête homme montre pour lui de l'attachement."")",,1.0,Insertion
16,"('#le-maitre-de-musique', ""Vous recevez fort bien pourtant l'argent que notre homme vous donne."")",,1.0,Insertion
17,"('#le-maitre-a-danser', ""Assurément ; mais je n'en fais pas tout mon bonheur, et je voudrais qu'avec son bien, il eût encore quelque bon goût des choses."")",,1.0,Insertion
18,"('#le-maitre-de-musique', ""Je le voudrais aussi, et c'est à quoi nous travaillons tous deux autant que nous pouvons.  Mais, en tout cas il nous donne moyen de nous faire connaître dans le monde ; et il payera pour les autres, ce que les autres loueront pour lui."")",,1.0,Insertion
19,"('#le-maitre-a-danser', 'Le voilà qui vient. ')",,1.0,Insertion
