viau-pyrame,puget-de-la-serre-le-pyrame,Score
"('#thisbe', ""Du bruit et des fâcheux aujourd'hui séparée, Ma seule fantaisie avec moi retirée, Je puis ouvrir mon âme à la clarté des cieux, Avec la liberté de la voix et des yeux ; Il m'est ici permis de te nommer, Pyrame, Il m'est ici permis de t'appeler mon âme ; Mon âme, qu'ai-je dit ? c'est fort mal discourir, Car l'âme nous fait vivre et tu me fais mourir. Il est vrai que la mort que ton amour me livre Est aussi seulement ce que j'appelle vivre : Nos esprits sans l'amour assoupis et pesants, Comme dans un sommeil passent nos jeunes ans ; Auparavant qu'aimer on ne sait point l'usage Du mouvement des sens ni des traits du visage ; Sans cette passion les plus lourds animaux Connaîtraient mieux que nous et les biens et les maux. Notre destin serait comme celui des arbres, Et les beautés en nous seraient comme des marbres En qui l'ouvrier gravant l'image des humains Ne saurait faire agir ni les yeux, ni les mains. Un bel oeil dont l'éclat ne luit qu'à l'aventure, C'est comme le soleil que cachait la nature Auparavant qu'il fût entré dans ses maisons Et qu'il pût discerner la beauté des saisons. Moi, je crois seulement depuis l'heure première Que l'amour me toucha d'avoir vu la lumière, Et que mon coeur ne vint à respirer le jour Que dès l'heure qu'il vint à soupirer d'amour ; Et combien que le Ciel fasse couler ma vie Dans cette passion avec un peu d'envie, Que mille empêchements combattent mes désirs Et qu'un triste succès menace nos plaisirs, Que les discords mutins d'une haine ancienne Divisent la maison de Pyrame et la mienne, Qu'hommes, Ciel, temps et lieux, nuisent à mon dessein, Je ne saurais pourtant me l'arracher du sein, Et quand je le pourrais je serais bien marrie Que d'un si cher tourment mon âme fût guérie. Une telle santé me donnerait la mort ; Le penser seulement m'en fâche et me fait tort."")",-,0.0
"('#bersiane', 'Comment vous être ainsi de nous tous éloignée ! Osez-vous bien aller sans être accompagnée ? Tout le monde au logis est en peine de vous, Et surtout votre mère en est en grand courroux.')",-,0.0
"('#thisbe', 'Pourquoi cela ? Ma vie est-elle si suspecte ?')",-,0.0
"('#bersiane', ""Non ! Mais toujours les vieux veulent qu'on les respecte ; Vous deviez pour le moins un de nous avertir, Faire quelque semblant que vous alliez sortir."")",-,0.0
"('#thisbe', ""Sais-tu pas bien que j'aime à rêver, à me taire, Et que mon naturel est un peu solitaire ? Que je cherche souvent à m'ôter hors du bruit ? Alors, pour dire vrai, je hais bien qui me suit ; Quelquefois mon chagrin trouverait importune La conversation de la bonne Fortune, La visite d'un Dieu me désobligerait, Un rayon du soleil parfois me fâcherait."")",-,0.0
"('#bersiane', ""La chute d'une feuille, un zéphyr, un atome ?"")",-,0.0
"('#thisbe', ""Je te laisse à juger que ferait un fantôme, Et de quelle façon je me verrais punir. Qu'un esprit des Enfers me vint entretenir."")",-,0.0
"('#bersiane', 'À ce compte je suis déjà parmi ce nombre.')",-,0.0
"('#thisbe', 'Jamais rien de vivant ne sembla mieux une ombre.')",-,0.0
"('#bersiane', ""D'où viennent ces dédains ?"")",-,0.0
"('#thisbe', ""Vieux spectre d'ossements, Vraiment je cherche bien tes divertissements !"")",-,0.0
"('#bersiane', ""Je connais bien que c'est de moi qu'elle murmure ; Je suis donc cet objet d'infernale figure."")",-,0.0
"('#thisbe', 'Je ne dis pas cela, mais tu peux bien penser...')",-,0.0
"('#bersiane', 'Que de mon entretien on se pouvait passer.')",-,0.0
"('#thisbe', 'Justement.')",-,0.0
"('#bersiane', 'Je connais, ou je suis peu sensée...')",-,0.0
"('#thisbe', ""Qu'autre chose que toi me tient dans la pensée."")",-,0.0
"('#bersiane', ""Ce n'est pas sans sujet, Thisbé, que nos soupçons Vous ont fait tous les jours ouïr tant de leçons : Votre mère a raison d'avoir l'oeil et l'oreille Dessus vos actions."")",-,0.0
"('#thisbe', ""N'importe qu'elle y veille, Je n'ai rien fait jamais à craindre des témoins ! Mon innocente humeur se moque de vos soins. J'en suis émue autant que du bruit d'une feuille, Car je vis sans reproche."")",-,0.0
