,la-fontaine-daphne,voltaire-pandore,Cost,Operation Type
0,"('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")","('#promethee', ""Prodige de mes mains, charmes que j'ai fait naître,  Je vous appelle en vain, vous ne m'entendez pas :  Pandore, tu ne peux connaître  Ni mon amour ni tes appas.  Quoi ! J'ai formé ton coeur, et tu n'es pas sensible !  Tes beaux yeux ne peuvent me voir !  Un impitoyable pouvoir  Oppose à tous mes voeux un obstacle invincible :  Ta beauté fait mon désespoir.  Quoi ! Toute la nature autour de toi respire !  Oiseaux, tendres oiseaux, vous chantez, vous aimez :  Et je vois ses appas languir inanimés,  La mort les tient sous son empire. "")",0.43,Substitution
1,"('#venus', 'Charmante oisiveté, repos délicieux !')","('#encelade-typhon', ""Enfant de la terre et des cieux,  Tes plaintes et tes cris ont ému ce bocage.  Parle, quel est celui des dieux  Qui t'ose faire quelque outrage ? "")",1.58,Substitution
2,"('#minerve', 'Ou plutôt, repos ennuyeux !')",,1.0,Insertion
3,"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")","('#promethee', ""Jupiter est jaloux de mon divin ouvrage :  Il craint que cet objet n'ait un jour des autels :  Il ne peut sans courroux voir la terre embellie :  Jupiter à Pandore a refusé la vie !  Il rend mes chagrins éternels. "")",0.75,Substitution
4,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",,1.0,Insertion
5,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")","('#typhon', ""Jupiter ?quoi ! C'est lui qui formerait nos âmes ?  L'usurpateur des cieux peut être notre appui ?  Non, je sens que la vie et ses divines flammes  Ne viennent point de lui. "")",1.08,Substitution
6,"('#momus', ""Ne vous faites point tant d'affaires."")",,1.0,Insertion
7,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")","('#encelade', ""Nous avons pour aïeux la Nuit et le Tartare.  Invoquons l'éternelle Nuit :  Elle est avant le Jour qui luit.  Que l'Olympe cède au Ténare. "")",0.76,Substitution
8,"('#promethee', 'Que me veut Jupiter ?')","('#typhon', ""Que l'enfer, que mes dieux répandent parmi nous  Le germe éternel de la vie :  Que Jupiter en frémisse d'envie,  Et qu'il soit vainement jaloux. "")",0.96,Substitution
9,"('#jupiter', 'Ouvre tes magasins.')",,1.0,Insertion
10,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")","('#promethee #deux-titans', ""Écoutez-nous, dieux de la nuit profonde :  De nos astres nouveaux contemplez la clarté :  Accourez du centre du monde :  Rendez féconde  La terre qui m'a porté :  Animez la beauté :  Que votre pouvoir seconde  Mon heureuse témérité ! "")",0.77,Substitution
11,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")",,1.0,Insertion
12,"('#promethee', 'Vous ne les connaissez pas.')",,1.0,Insertion
13,"('#momus', 'Fais-leur faire quelques pas.')",,1.0,Insertion
14,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")",,1.0,Insertion
15,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")",,1.0,Insertion
16,"('#promethee', ""C'est l'idole d'un sage."")",,1.0,Insertion
17,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')",,1.0,Insertion
