dufresny-chevalier-joueur,regnard-joueur,Score
"('#l-etourdi', ""Ha !  Te voilà : je te trouve admirable ; tu m'as donné rendez-vous ici pour voir une pièce nouvelle, et on me vient de dire que c'est le Joueur ; belle nouveauté !  Il y a plus d'un mois que je l'ai vue."")",-,0.0
"('#valere', ""Ce que tu as vu n'est pas assurément..."")",-,0.0
"('#l-etourdi', ""Je l'ai vu, je l'ai vu, allons-nous-en, je ne saurais voir une pièce deux fois."")",-,0.0
"('#valere', ""Si tu voulais m'écouter, je te dirais ce que ce Joueur-ci..."")",-,0.0
"('#l-etourdi', 'Le Joueur est une pièce, où il y a un Joueur qui joue, qui perd, qui gagne.')",-,0.0
"('#valere', ""D'accord ; mais..."")",-,0.0
"('#l-etourdi', ""Je l'ai vu, te dis-je, il a une Angélique, une suivante, un Valet..."")",-,0.0
"('#valere', ""Il y a une Angélique, une suivante, un Valet et un joueur aussi dans le Joueur qu'on va représenter ; cependant il est différent de celui que tu as vu."")",-,0.0
"('#l-etourdi', ""Deux Comédies ne peuvent pas être différentes, quand ce sont les mêmes personnages ; dis-moi, dans celle-ci ne parle-t-on pas d'un portrait ?"")",-,0.0
"('#valere', 'Oui.')",-,0.0
"('#l-etourdi', ""C'est donc la même chose ?"")",-,0.0
"('#valere', ""Belle conséquence !  Je te dis que j'ai entendu lire cette pièce-ci, et je la trouve très différente de l'autre."")",-,0.0
"('#l-etourdi', ""Voyons donc cette différence.  Premièrement je me souviens que l'autre finit par un mariage."")",-,0.0
"('#valere', ""On sait bien qu'il faut..."")",-,0.0
"('#l-etourdi', ""Hé bien, c'est donc la même chose ?"")",-,0.0
"('#valere', ""Malheureusement pour toi celle-ci commence, aussi bien que l'autre, par le Valet et la Suivante, sitôt que tu les verras paraître, tu sortiras sans les écouter, en criant tout haut : c'est la même chose, c'est la même chose ; et il faut l'écouter pour voir si c'est la même chose."")",-,0.0
"('#l-etourdi', ""Ma foi, je n'attendrai pas qu'on ait commencé pour sortir, à moins que tu ne me prouves ces prétendues différences."")",-,0.0
"('#valere', ""Il y en a beaucoup, l'autre était en vers, celle-ci est en prose."")",-,0.0
"('#l-etourdi', 'Des vers ou de la prose, est-ce que je prends garde à cela ?')",-,0.0
"('#valere', ""De la manière dont tu entends ordinairement la Comédie, en prose ou vers c'est tout un pour toi : tu causes tant que la pièce dure, tu ris seulement quand tu entends rire le parterre, sans se soucier si ces plaisanteries sont du sujet ou non."")",-,0.0
"('#l-etourdi', 'Que me fait le sujet à moi ?  Je ne veux écouter que les endroits qui me font rire.')",-,0.0
"('#valere', ""Pour ces endroits fins et délicats, qui font plaisir sans faire rire, tu n'y fais nullement attention."")",-,0.0
"('#l-etourdi', ""Et pourquoi de l'attention ?  Je soutiens moi qu'une Pièce ne vaut rien, quand il faut de l'attention pour la trouver bonne ; je veux pouvoir causer, me divertir à droit et à gauche, sortir au milieu d'une scène, revenir à la fin d'une autre ; et toutes les fois que je rentre, je prétends trouver quelque pointe d'esprit qui me réjouisse pour mon argent."")",-,0.0
"('#valere', 'Voilà le goût de nos jeunes étourdis ; mais les gens de bon sens entrent dans le sujet, on veut des caractères soutenus, une intrigue nette et suivie, des situations intéressantes et bien ménagées, des expressions vives et naturelles, et de la gaîté sans immodestie.')",-,0.0
