dufresny-regnard-chinois,regnard-coquette,Score
"('#apollon', ""Qui rend donc Pégase si hargneux ?  Apparemment, mademoiselle Thalie, que vous avez oublié de lui donner son avoine aujourd'hui."")",-,0.0
"('#thalie', ""Ne vous souvenez-vous pas que ce n'est plus moi qui le panse ?  Vous en avez donné la charge aux auteurs ; et depuis ce temps aussi, le pauvre animal, hélas !  Les os lui percent la peau."")",-,0.0
"('#apollon', ""C'est sa faute.  Pourquoi se laisse-t-il monter par le premier venu ?"")",-,0.0
"('#thalie', ""Il est vrai que c'est la monture banale de tous les regrattiers du Parnasse ; il n'y a pas jusqu'aux femmes qui le font trotter en vers alexandrins ; et je ne sais pas quel diable de train elles le font aller ; mais il ne revient jamais à l'écurie qu'il ne soit crevé de coups d'éperon."")",-,0.0
"('#apollon', ""Puisqu'on a mis Pégase sur le pied d'un cheval de louage, c'est aux auteurs qui le louent à le nourrir."")",-,0.0
"('#thalie', ""Et comment voulez-vous que les auteurs nourrissent un cheval ?  Les pauvres diables ont bien de la peine à se nourrir eux-mêmes.  Voyez-vous, dans le temps où nous sommes, on n'engraisse guère à mâcher du laurier."")",-,0.0
"('#apollon', ""Ils m'ont promis qu'ils ne feraient plus que de bonnes pièces : il faut espérer qu'ils seront plus gras cet hiver."")",-,0.0
"('#thalie', ""Il est vrai que les auteurs et les comédiens sont du naturel des bécasses ; ils n'engraissent point que le froid ne leur ait donné sur la queue.  Franchement, ces messieurs-là nous barbouillent terriblement dans le monde ; car le public croit que c'est vous et moi qui leur inspirons toutes les sottises qu'ils mettent sur le théâtre."")",-,0.0
"('#apollon', ""Le public a tort.  Mais, à propos de sottises, qu'est-ce qu'une certaine pièce que les comédiens italiens ont affichée ?  La Comédie des Comédiens Chinois ?  Cette troupe-là est toujours magnifique en titres."")",-,0.0
"('#thalie', ""C'est pour l'ordinaire le plus beau de leurs pièces ; et, à vous parler franchement, je crois que celle-ci ne sera point meilleure que les autres : ce n'est pas que, si on se donne la peine de l'écouter jusqu'à la fin, ce qui est assez rare, on pourra peut-être s'y divertir."")",-,0.0
