,campistron-achille,corneillep-andromede,Cost,Operation Type
0,"('#mercure', ""Savantes Soeurs, arbitres de la scène, Quel accident funeste a fait cesser vos jeux ? Je ne vois plus ici votre appareil pompeux, Et je ne reconnais qu'a peine, Thalie et Melpomène ;. Et vous dont les charmants concerts, En ces lieux autrefois, raisonneront dans les Airs ; Quel trouble, ou quelle indifférence Cause aujourd'hui votre silence ?"")","('#melpomene', ""Arrête un peu ta course impétueuse : Mon théâtre, Soleil, mérite bien tes yeux ; Tu n'en vis jamais en ces lieux La pompe plus majestueuse : J'ai réuni, pour la faire admirer, Tout ce qu'ont de plus beau la France et l'Italie ; De tous leurs arts mes soeurs l'ont embellie : Prête-moi tes rayons pour la mieux éclairer. Daigne à tant de beautés, par ta propre lumière, Donner un parfait agrément, Et rends cette merveille entière En lui servant toi-même d'ornement."")",0.09,Substitution
1,,"('#soleil', ""Charmante muse de la scène, Chère et divine Melpomène, Tu sais de mon destin l'inviolable loi : Je donne l'âme à toutes choses, Je fais agir toutes les causes ; Mais quand je puis le plus, je suis le moins à moi ; Par une puissance plus forte Le char que je conduis m'emporte : Chaque jour sans repos doit et naître et mourir. J'en suis esclave alors que j'y préside ; Et ce frein que je tiens aux chevaux que je guide Ne règle que leur route, et les laisse courir."")",1.0,Deletion
2,"('#melpomene', 'Ignorez vous que le plus grand des rois Étendant chaque jour ses conquêtes Et signalant son bras, par de nouveaux exploits A négligé nos plus superbes fêtes.')","('#melpomene', ""La naissance d'Hercule et le festin d'Atrée T'ont fait rompre ces lois ; Et tu peux faire encore ce qu'on t'a vu deux fois Faire en même contrée. Je dis plus : tu le dois en faveur du spectacle Qu'au monarque des lis je prépare aujourd'hui ; Le ciel n'a fait que miracles en lui : Lui voudrais-tu refuser un miracle ?"")",0.22,Substitution
3,"('#thalie', ""Depuis ce fatal moment, Nos Spectacles privés de leur magnificence, Ne sauraient plus avoir l'éclat et l'agrément Qu'ils ne devaient qu'à sa présence,"")","('#soleil', ""Non ; mais je le réserve à ces bienheureux jours Qu'ennoblira sa première victoire : Alors j'arrêterai mon cours, Pour être plus longtemps le témoin de sa gloire. Prends cependant le soin de le bien divertir, Pour lui faire avec joie attendre les années Qui feront éclater les belles destinées Des peuples que son bras lui doit assujettir. Calliope ta soeur déjà d'un oeil avide Cherche dans l'avenir les faits de ce grand roi, Dont les hautes vertus lui donneront emploi Pour plus d'une Illiade et plus d'une Énéide."")",0.49,Substitution
4,"('#terpsicore', 'La tristesse règne en ces lieux, Nous rougissons de ne pouvoir lui plaîre ; Hélas ! Ne saurions-nous rien faire Digne de paraître à ses yeux.')","('#melpomene', ""Que je porte d'envie à cette illustre soeur, Quoique j'aie à craindre pour elle Que sous ce grand fardeau sa force ne chancelle ! Mais quel qu'en soit enfin le mérite et l'honneur, J'aurai du moins cet avantage, Que déjà je le vois, que déjà je lui plais, Et que de ses vertus, et que de ses hauts faits Déjà dans ses pareils je lui trace une image. Je lui montre Pompée, Alexandre, César, Mais comme des héros attachés à son char ; Et tout ce haut éclat où je les fais paraître Lui peint plus qu'ils n'étaient, et moins qu'il ne doit être."")",0.77,Substitution
5,,"('#soleil', ""Il en effacera les plus glorieux noms, Dès qu'il pourra lui-même animer son armée ; Et tout ce que d'eux tous a dit la renommée Te fera voir en lui le plus grand des Bourbons. Son père et son aïeul tous rayonnants de gloire, Ces grands rois qu'en tous lieux a suivis la victoire, Lui voyant emporter sur eux le premier rang, En deviendraient jaloux s'il n'était pas leur sang. Mais vole dans mon char, muse ; je veux t'apprendre Tout l'avenir d'un roi qui t'est si précieux."")",1.0,Deletion
6,,"('#melpomene', ""Je sais déjà ce qu'on doit en attendre, Et je lis chaque jour son destin dans les cieux."")",1.0,Deletion
7,,"('#soleil', ""Viens donc, viens avec moi faire le tour du monde ; Qu'unissant ensemble nos voix, Nous fassions résonner sur la terre et sur l'onde Qu'il est et le plus jeune et le plus grand des rois."")",1.0,Deletion
8,,"('#melpomene', ""Soleil, j'y vole ; attends-moi donc, de grâce."")",1.0,Deletion
9,,"('#soleil', ""Viens, je t'attends, et te fais place. Mélpomène vole dans le char du soleil, et y ayant pris place auprès de lui, ils unissent leurs voix, et chantent cet air à la louange du roi. Le dernier vers de chaque couplet est répété par le choeur de la musique."")",1.0,Deletion
10,"('#melpomene #thalie #terpsicore', 'Hélas ! Ne saurions-nous rien faire Digne de paraître à ses yeux ?')","('#melpomene #soleil', 'Cieux, écoutez ; écoutez, mers profondes ; Et vous, antres et bois, Affreux déserts, rochers battus des ondes, Redites après nous d\'une commune voix : "" Louis est le plus jeune et le plus grand des rois. "" La majesté qui déjà l\'environne Charme tous ses François ; Il est lui seul digne de sa couronne ; Et quand même le ciel l\'aurait mise à leur choix, Il serait le plus jeune et le plus grand des rois. C\'est à vos soins, reine, qu\'on doit la gloire De tant de grands exploits ; Ils sont partout suivis de la victoire ; Et l\'ordre merveilleux dont vous donnez ses lois Le rend et le plus jeune et le plus grand des rois.')",1.18,Substitution
11,"('#mercure', ""Terminez vos regrets que votre douleur cesse. Dans vôtre sort Jupiter s'intéresse, Et veut ici revoir, dès ce même moment Un spectacle charmant, Ou'un changement favorable Redonne à ces tristes lieux Tout ce qu'ils ont est d'aimable?' C'est l'ordre irrévocable Du souverain des Dieux. Ce lieu désert se détruit reprend tout d'un coup sa première magnificence."")","('#soleil', ""Voilà ce que je dis sans cesse Dans tout mon large tour. Mais c'est trop retarder le jour ; Allons, muse, l'heure me presse, Et ma rapidité Doit regagner le temps que sur cette province, Pour contempler ce prince, Je me suis arrêté. Le Soleil part avec rapidité, et enlève Melpomène avec lui dans son char pour aller publier ensemble la même chose au reste de l'univers."")",0.17,Substitution
12,"('#melpomene', 'Vous, secourables Génies,  Nécessaire à nos jeux,  Hâtez-vous, secondez nos voeux ; Venez, et prêtez-nous vos grâces infinies.')","('#cassiope', ""Généreux inconnu, qui chez tous les monarques Portez de vos vertus les éclatantes marques, Et dont l'aspect suffit à convaincre nos yeux Que vous sortez du sang ou des rois ou des dieux, Puisque vous avez vu le sujet de ce crime Que chaque mois expie une telle victime, Cependant qu'en ce lieu nous attendrons le roi, Soyez-y juste juge entre les dieux et moi. Jugez de mon forfait, jugez de leur colère ; Jugez s'ils ont eu droit d'en punir une mère, S'ils ont dû faire agir leur haine au même instant."")",0.43,Substitution
13,"('#melpomeme #terpsicore', ""Animez d'une ardeur nouvelle Venez remplir nos desseins, Et faites que nos plaisirs Doivent leur charme à votre zèle."")","('#persee', ""J'en ai déjà jugé, reine, en vous imitant ; Et si de vos malheurs la cause ne procède Que d'avoir fait justice aux beautés d'Andromède, Si c'est là ce forfait digne d'un tel courroux, Je veux être à jamais coupable comme vous. Mais comme un bruit confus m'apprend ce mal extrême, Ne le puis-je, madame, apprendre de vous-même, Pour mieux renouveler ce crime glorieux Où soudain la raison est complice des yeux ?"")",0.34,Substitution
14,"('#choeur-de-genies', ""Animez d'une ardeur nouvelle Nous venons remplir vos désirs,  Nous nous flattons que vos plaisirs  Devront leur charme à notre zèle."")","('#cassiope', 'écoutez : la douleur se soulage à se plaindre ; Et quelques maux qu\'on souffre ou que l\'on aie à craindre, Ce qu\'un coeur généreux en montre de pitié Semble en notre faveur en prendre la moitié. Ce fut ce même jour qui conclut l\'hyménée De ma chère Andromède avec l\'heureux Phinée : Nos peuples, tous ravis de ces illustres noeuds, Sur les bords de la mer dressèrent force jeux ; Elle en donnait les prix. Dispensez ma tristesse De vous dépeindre ici la publique allégresse ; On décrit mal la joie au milieu des malheurs, Et sa plus douce idée est un sujet de pleurs. Ô jour, que ta mémoire encore m\'est cruelle ! Andromède jamais ne me parut si belle ; Et voyant ses regards s\'épandre sur les eaux Pour jouir et juger d\'un combat de vaisseaux : "" telle, dis-je, Vénus sortit du sein de l\'onde, Et promit à ses yeux la conquête du monde, Quand elle eut consulté sur leur éclat nouveau Les miroirs vagabonds de son flottant berceau. "" À ce fameux spectacle on vit les Néréides Lever leurs moites fronts de leurs palais liquides, Et pour nouvelle pompe à ces nobles ébats À l\'envi de la terre étaler leurs appas. Elles virent ma fille ; et leurs regards à peine Rencontrèrent les siens sur cette humide plaine, Que par des traits plus forts se sentant effacer, éblouis et confus je les vis s\'abaisser, Examiner les leurs, et sur tous leurs visages En chercher d\'assez vifs pour braver nos rivages. Je les vis se choisir jusqu\'à cinq et six fois, Et rougir aussitôt nous comparant leur choix ; Et cette vanité qu\'en toutes les familles On voit si naturelle aux mères pour leurs filles, Leur cria par ma bouche : "" en est-il parmi vous, Ô nymphes ! Qui ne cède à des attraits si doux ? Et pourrez-vous nier, vous autres immortelles, Qu\'entre nous la nature en forme de plus belles ? "" Je m\'emportais sans doute, et c\'en était trop dit : Je les vis s\'en cacher de honte et de dépit ; J\'en vis dedans leurs yeux les vives étincelles : L\'onde qui les reçut s\'en irrita pour elles ; J\'en vis enfler la vague, et la mer en courroux Rouler à gros bouillons ses flots jusques à nous. C\'eût été peu des flots : la soudaine tempête, Qui trouble notre joie et dissipe la fête, Enfante en moins d\'une heure et pousse sur nos bords Un monstre contre nous armé de mille morts. Nous fuyons, mais en vain ; il suit, il brise, il tue ; Chaque victime est morte aussitôt qu\'abattue. Nous ne voyons qu\'horreur, que sang de toutes parts ; Son haleine est poison, et poison ses regards : Il ravage, il désole et nos champs et nos villes, Et contre sa fureur il n\'est aucuns asiles. Après beaucoup d\'efforts et de voeux superflus, Ayant souffert beaucoup, et craignant encore plus, Nous courons à l\'oracle en de telles alarmes ; Et voici ce qu\'Ammon répondit à nos larmes : "" pour apaiser Neptune, exposez tous les mois Au monstre qui le venge une fille à son choix, Jusqu\'à ce que le calme à l\'orage succède ; Le sort vous montrera Celle qu\'il agréera : Différez cependant les noces d\'Andromède."" Comme dans un grand mal un moindre semble doux, Nous prenons pour faveur ce reste de courroux. Le monstre disparu nous rend un peu de joie : On ne le voit qu\'aux jours qu\'on lui livre sa proie. Mais ce remède enfin n\'est qu\'un amusement : Si l\'on souffre un peu moins, on craint également ; Et toutes nous tremblons devant une infortune Qui toutes nous menace avant qu\'en frapper une. La peur s\'en renouvelle au bout de chaque mois ; J\'en ai cru de frayeur déjà mourir cinq fois. Déjà nous avons vu cinq beautés dévorées, Mais des beautés, hélas ! Dignes d\'être adorées, Et de qui tous les traits, pleins d\'un céleste feu, Ne cédaient qu\'à ma fille, et lui cédaient bien peu : Comme si choisissant de plus belle en plus belle, Le sort par ces degrés tâchait d\'approcher d\'elle, Et que pour élever ses traits jusques à nous, Il essayât sa force et mesurât ses coups. Rien n\'a pu jusqu\'ici toucher ce dieu barbare ; Et le sixième choix aujourd\'hui se prépare : On le va faire au temple ; et je sens malgré moi Des mouvements secrets redoubler mon effroi. Je fis hier à Vénus offrir un sacrifice, Qui jamais à mes voeux ne parut si propice ; Et toutefois mon coeur, à force de trembler, Semble prévoir le coup qui le doit accabler. Vous donc, qui connaissez et mon crime et sa peine, Dites-moi s\'il a pu mériter tant de haine, Et si le ciel devait tant de sévérité Aux premiers mouvements d\'un peu de vanité.')",0.63,Substitution
15,,"('#persee', ""Oui, madame, il est juste ; et j'avouerai moi-même Qu'en le blâmant tantôt j'ai commis un blasphème. Mais vous ne voyez pas, dans votre aveuglement, Quel grand crime il punit d'un si grand châtiment. Les nymphes de la mer ne lui sont pas si chères Qu'il veuille s'abaisser à suivre leurs colères ; Et quand votre mépris en fit comparaison, Il voyait mieux que vous que vous aviez raison. Il venge, et c'est de là que votre mal procède, L'injustice rendue aux beautés d'Andromède. Sous les lois d'un mortel votre choix l'asservit ! Cette injure est sensible aux dieux qu'elle ravit, Aux dieux qu'elle captive ; et ces rivaux célestes S'opposent à des noeuds à sa gloire funestes, En sauvent les appas qui les ont éblouis, Punissent vos sujets qui s'en sont réjouis. Jupiter, résolu de l'ôter à Phinée, Exprès par son oracle en défend l'hyménée. À sa flamme peut-être il veut la réserver ; Ou s'il peut se résoudre enfin à s'en priver, À quelqu'un de ses fils sans doute il la destine ; Et voilà de vos maux la secrète origine. Faites cesser l'offense, et le même moment Fera cesser ici son juste châtiment."")",1.0,Deletion
16,"('#thalie', 'Vous qui savez si bien, par une heureuse adresse Calmer les noirs chagrins, bannir les soins fâcheux, Favorisez mes soeurs, et mêlez dans leur quelques traits de votre allégresse.')","('#cassiope', ""Vous montrez pour ma fille une trop haute estime, Quand pour la mieux flatter vous me faites un crime, Dont la civilité me force de juger Que vous ne m'accusez qu'afin de m'obliger. Si quelquefois les dieux pour des beautés mortelles Quittent de leur séjour les clartés éternelles, Ces mêmes dieux aussi, de leur grandeur jaloux, Ne font pas chaque jour ce miracle pour nous ; Et quand pour l'espérer je serais assez folle, Le roi, dont tout dépend, est homme de parole ; Il a promis sa fille, et verra tout périr Avant qu'à se dédire il veuille recourir. Il tient cette alliance et glorieuse et chère : Phinée est de son sang, il est fils de son frère."")",0.34,Substitution
17,,"('#persee', 'Reine, le sang des dieux vaut bien celui des rois... Mais nous en parlerons encore quelque autre fois. Voici le roi qui vient.')",1.0,Deletion
