corneillet-inconnu,dancourt-inconnu,Score
"('#thalie', ""Génie incomparable, Esprit à qui la France  Doit les sages conseils qui la font admirer,  Pour réparer mon impuissance,  De ton secours qu'ai-je lieu d'espérer ? "")",-,0.0
"('#le-genie', ""Tout, Divine Thalie, et je suis sans excuse,  Si pouvant t'appuyer contre ce qui t'abat,  Je néglige à servir la Muse,  De qui la Comédie emprunte son éclat.  C'est toi qui fais paraître avec pompe, avec gloire,  Sur le Théâtre des Français,  Ce qu'aux Étrangers quelquefois  Le récit qu'on en fait rend difficile à croire. "")",-,0.0
"('#thalie', ""Je promettrais encor des Divertissements  Dont on aimerait le spectacle,  Si pour faire crier miracle  Je pouvais à mon choix régler les ornements.  Quand Sémélé, Circé, la Toison, Andromède,  Sur la Scène à l'envi se sont fait admirer,  Par la Machine à qui tout cède,  Chacun avec plaisir se laissait attirer.  Mais que pensera-t-on, si toujours je m'obstine  À faire voir Machine sur Machine ?  Comme on se plaît à la diversité,  Il est de galantes matières  Qui par les agréments de quelque nouveauté  Auraient des grâces singulières. "")",-,0.0
"('#le-genie', ""J'en ferai tant voir à la fois,  Que je pourrai te satisfaire.  La nouveauté charme tous les Français,  Et ce m'est un moyen assuré de leur plaire. "")",-,0.0
"('#thalie', ""Je t'ai parlé déjà d'un Amant inconnu,  Qui pour toucher une fière Maîtresse,  Lui donnant des Fêtes sans cesse,  En aurait enfin obtenu  L'heureux aveu de sa tendresse,  Mais l'Amour aura beau le rendre ingénieux.  Que fera-t-il de magnifique,  S'il n'a pour l'oreille et les yeux  Ni pompes de Ballets, ni charmes de Musique ? "")",-,0.0
"('#le-genie', ""Il peut se reposer sur moi  Du soin de ses galantes Fêtes.  Pour plaire à ce qu'il aime, et lui marquer sa foi ;  Il les trouvera toujours prêtes. "")",-,0.0
"('#thalie', 'Ses desseins doivent être heureusement conduits,  Si ta bonté les favorise. ')",-,0.0
"('#le-genie', ""Il faut par un essai dont tu seras surprise,  Te faire voir ce que je puis.  Vois-tu cette inégale masse  Qui partout n'est que pierre ? En ce même moment  Je lui veux devant toi donner du mouvement. "")",-,0.0
"('#thalie', 'Je brûle de voir ces merveilles. ')",-,0.0
"('#le-genie', ""Tu m'avoueras peut-être que jamais  Il ne s'en est vu de pareilles ;  Mais il est temps d'en venir aux effets.  Animez-vous, Rochers, et changez de figure ;  Paraissez tout couverts d'Hommes et de Verdure.  C'est moi qui veux ces divers changements,  Et voir de votre sein naître des Instruments.  On voit ici la Montagne se remuer ; elle est en un moment couverte d'arbres, et il s'en détache des pierres qui sont changées en hommes. Ces hommes touchent d'autres pierres, et elles deviennent des Violons entre leurs mains. Ils en jouent un air dont la vitesse du mouvement rend Thalie toute surprise. "")",-,0.0
"('#thalie', ""Tu promets moins que tu ne donnes,  Et ma peine déjà commence à s'adoucir.  Quels divertissements, lorsque tu les ordonnes,  Peuvent manquer de réussir ? "")",-,0.0
"('#le-genie', ""C'est encor peu ; je veux que vous fassiez paraître  Un Berger dont les doux accents  Suivent les tons ravissants  De quelque Nymphe champêtre.  En même temps on voit deux morceaux de Rocher se changer en une Nymphe et en un Berger. Ils s'avancent, et chantent les paroles qui suivent. "")",-,0.0
"('#la-nymphe', ""Amants, qui vous rebutez  De la fierté d'une Belle,  Aimez, souffrez, méritez.  La constance vous appelle  Aux grandes félicités.  Languir pour une inhumaine  Que d'abord en vain on poursuit,  C'est une cruelle gêne ;  Mais regardez-en le fruit,  Vous en aimerez la peine. "")",-,0.0
"('#le-berger', 'Quand on diffère à se rendre,  Une Belle peut prendre  De la fierté ;  Mais contre un coeur tendre  Pourquoi défendre  Sa liberté ? ')",-,0.0
