montchretien-hector,giraudoux-la-guerre-de-troie-n-aura-pas-lieu,Score
"('#cassandre', ""Quel tourbillon fatal t'emporte en haute mer  Où maint Gouffre bouillant s'ouvre pour t'abîmer ?  Ô Nef, demeure à l'ancre, assure le cordage,  Qui maintenant te lie à ce calme rivage.  Tant de fâcheux détroits passés à grand hasard,  Tant de rochers doublés par la force et par l'art  De tes sages Patrons, qui de mains et de tête  À peine ont combattu la première tempête,  Doivent t'avoir appris que ton cours dangereux,  Est conduit par ces flots d'auspices malheureux.  N'ayant nul Phare en terre, au Pôle nulle étoile.  Oses-tu bien encore te remettre à la voile ?  Prévoiras-tu jamais ce qui doit arriver  De t'embarquer au coeur d'un si cruel Hiver ?  Là se sont écoulés tes jours Alcionides,  Et le sceptre d'Éole a relâché les brides  À ces esprits mutins dont les gros soufflements  Font trembler et gémir les plus bas éléments,  Et mêmes ont les Cieux complices de leur rage :  Où cours-tu désormais si ce n'est au naufrage ?  Je parle bien en vain : Troyens vous êtes sourds  Plus que les vents légers où j'épands ces discours.  Non, j'ai beau vous prédire un véritable esclandre,  Vous ne croirez jamais la prophète Cassandre.  Ô guerriers insensés, quelle ardente fureur  Aveugle à son mal propre engendre cette erreur ?  À quoi tous vos combats ? Ô trop vaine arrogance  Si vous pouvez dompter la suprême puissance !  Si par un bras mortel, par des conseils humains  Vous pensez renverser les Décrets souverains,  Puisque le Dieu des Dieux et des hommes le Père,  À qui le Ciel, la terre et la mer obtempère, Se range aux dures lois de la Fatalité,  Qu'il grava dans l'aimant de son Éternité.  Je sens de plus en plus que le Démon m'affole,  Retenez cette voix qui de ma bouche vole,  Logez-la dans vos coeurs, il y a moins d'abus,  Qu'ès Oracles sortis du trépied de Phoebus.  Tu cours plein de fureur renouveler la noise :  Mais ton Fort est vaincu par la fraude Grégeoise,  Ton serein est troublé d'un ténébreux brouillard,  Et ton meilleur destin tourne de l'autre part.  Le Lion renversé sur la compagne humide  De larmes et de sang, par la troupe timide  Des Lièvres assemblés sans frayeur assailli  Montre qu'avec ses jours tout espoir est failli.  Fuyons, je vois le feu : les orgueilleux Pergames  Trébuchent engloutis ès rougissantes flammes,  Et la fumée obscure à gros plis se rouant  Sur les Temples dorés triomphe en se jouant.  Mais où s'adressera notre course légère  Pour nous mettre à couvert de la force étrangère,  Si notre pied tremblant deçà delà porté  Trouve partout la mort ou la captivité ?  Si pour les Innocents s'ouvre aussi bien l'abime,  Comme pour les fauteurs de cette infâme crime  Qui consomme Priam et toute sa maison  Dans les feux allumés par son fatal Tison ?  Qu'il fût mort en naissant selon les voeux du Père !  Mais, ô Destin de fer, vous portiez le contraire. "")",-,0.0
"('#le-choeur', ""Bouche trop véritable à prédire malheur  Tu ne t'ouvres jamais que pour notre douleur :  C'est un bien toutefois à la mortelle race  D'être avertie à temps quand le Ciel la menace,  Afin qu'elle pourvoie à ce qu'elle a prévu.  » Le coup trouble beaucoup qui touche à l'impourvu,  » Mais cil que l'on attend porte si peu d'atteinte,  » Que son mal à l'épreuve est moindre que la crainte. "")",-,0.0
"('#cassandre', ""Ce n'est point à crédit que je vous fais la peur.  Si toujours mon Oracle était aussi trompeur,  Qu'il court par les Troyens dénué de créance  Encor en ces malheurs j'aurais quelque espérance :  Mais quoi ? Puis-je aveugler mon propre entendement,  Qui voit dans le futur un triste embrasement. "")",-,0.0
"('#le-choeur', ""N'avance tel présage, ô divine Cassandre. "")",-,0.0
"('#cassandre', ""Que sert dissimuler ? Troie un jour sera cendre,  Et tous ses hauts Palais trébuchés à l'envers  Seront monceaux pierreux d'un peu d'herbe couverts.  Vous ne m'en croyez pas ; c'est bien votre coutume,  Et tel est le vouloir de ce Dieu qui m'allume ;  Mais vous gagnez en fin, ce qui me deult beaucoup,  Que de vous on dira, Sages après le coup. "")",-,0.0
"('#le-choeur', 'Tant de bons Citoyens espèrent le contraire. ')",-,0.0
"('#cassandre', ""Le plus clair jugement s'aveugle à sa misère. "")",-,0.0
"('#le-choeur', ""On dit que les Grégeois n'avancent rien ici. "")",-,0.0
"('#cassandre', ""Parlant humainement j'en parlerais ainsi. "")",-,0.0
"('#le-choeur', ""Et sont sur le dessein d'embarquer leur armée. "")",-,0.0
"('#cassandre', 'Ignorez-vous encor leur fourbe accoutumée ? ')",-,0.0
"('#le-choeur', ""Qui si nous soutenons c'est leur dernier effort. "")",-,0.0
"('#cassandre', '» Souvent le dernier coup est le coup de la mort. ')",-,0.0
"('#le-choeur', ""Et qu'aux vents nous rendrons leur voile et leur fortune. "")",-,0.0
"('#cassandre', '» On forge ainsi des bruits pour piper la commune.  Cet espoir à nos coeurs dès longtemps est donné,  Et cependant leur siège est toujours obstiné. ')",-,0.0
"('#le-choeur', ""Qu'en faut-il redouter ? La main d'Hector nous garde. "")",-,0.0
"('#cassandre', '» En fin meurt au combat qui par trop se hasarde. ')",-,0.0
"('#le-choeur', ""Nul des chefs Argiens ne l'égale en valeur. "")",-,0.0
"('#cassandre', 'Je ne crains rien pour lui que son propre malheur. ')",-,0.0
"('#le-choeur', 'Il est chéri des Dieux et respecté des hommes. ')",-,0.0
"('#cassandre', 'Mais sujet à la Parque ainsi comme nous sommes.')",-,0.0
"('#le-choeur', ""Dieu qui nous l'a donné le nous peut conserver. "")",-,0.0
"('#cassandre', ""Dieu qui nous l'a donné pourra nous en priver. "")",-,0.0
"('#le-choeur', '» En faveur du public il garde les bons Princes. ')",-,0.0
"('#cassandre', '» Il les ravit lui-même en haine des Provinces. ')",-,0.0
"('#le-choeur', 'Nos destins dans le ciel justement balancés,  Contre ceux des Grégeois se défendront assez. ')",-,0.0
"('#cassandre', '» Le Monarque du ciel qui soutient la balance,  » Comme il lui vient à gré haut et bas les élance. ')",-,0.0
"('#le-choeur', '» Des peuples opprimés il se fait le sauveur,  » Et par de bons succès leur montre sa faveur. ')",-,0.0
"('#cassandre', ""» Les plus favorisés à la fin il déprise,  » Quand ils prêtent la main à l'injuste entreprise. "")",-,0.0
"('#le-choeur', ""» S'armer pour la Patrie et pour les saints autels,  » Est un acte approuvé des Dieux et des mortels. "")",-,0.0
"('#cassandre', ""» Ô trop grossière erreur si l'on ne croit mal faire,  » Par en donner sujet à son propre adversaire. "")",-,0.0
"('#le-choeur', 'Encore il souvient bien aux Troyens outragés,  Que du Tyran Hercule ils furent saccagés. ')",-,0.0
"('#cassandre', 'Ilion fut rasé, grande et honteuse perte :  Mais ce fut un malheur, la guerre était ouverte. ')",-,0.0
"('#le-choeur', ""Et pourquoi cette guerre ! Il était grand besoin,  Qu'un voleur vagabond l'apportât de si loin. "")",-,0.0
"('#cassandre', 'La faute est toute à nous, à nous aussi le blâme. ')",-,0.0
"('#le-choeur', 'Ores elle est aux Grecs armés pour une Dame. ')",-,0.0
"('#cassandre', 'Accusez-en plutôt votre concitoyen. ')",-,0.0
"('#le-choeur', ""Que souffre le Grégeois qu'il n'ait fait au Troyen ?  Ce qui nous sera faute est pour lui privilège ? "")",-,0.0
"('#cassandre', 'Il ne commit jamais ni rapt ni sacrilège. ')",-,0.0
"('#le-choeur', ""Que l'une soit pour l'autre, ainsi le veut raison. "")",-,0.0
"('#cassandre', ""L'une fut prise en guerre, et l'autre en trahison. "")",-,0.0
"('#le-choeur', ""L'une vint de son gré, l'autre alla par contrainte. "")",-,0.0
"('#cassandre', ""Par l'une on viola l'hospitalité sainte. "")",-,0.0
"('#le-choeur', ""Et par l'autre on força tout droit d'honnêteté. "")",-,0.0
"('#cassandre', 'La victoire est ainsi pleine de liberté. ')",-,0.0
"('#le-choeur', 'Des butins de la guerre on excepte les femmes. ')",-,0.0
"('#cassandre', 'Les femmes du vulgaire et non pas les grandes Dames. ')",-,0.0
"('#le-choeur', 'Qui le pratique ainsi fors que les seuls Grégeois ? ')",-,0.0
"('#cassandre', '» Un peuple ne faut point qui vit selon les lois. ')",-,0.0
"('#le-choeur', '» Nous faillons encor moins : car contre un adversaire,  » Toute défense est juste alors que nécessaire. ')",-,0.0
"('#cassandre', '» Des contraires partis il est toujours meilleur,  » Qui sur une revanche employe sa valeur. ')",-,0.0
"('#le-choeur', ""Le prétexte est commun, mais si pour cette Hélène  Nous sommes réservés à souffrir plus de peine,  Grands Dieux, pour amortir l'ardeur de nos combats  Éteignez sa lumière en la nuit du trépas.  Mais voici pas Hector ? C'est sans doute lui-même,  Qu'Andromaque poursuit échevelée et blême. "")",-,0.0
"('#andromaque', 'En fin, mon cher époux, ferez-vous rien pour moi ?  Sera donques la mort le paiement de ma foi. ')",-,0.0
"('#hector', ""L'honneur sauf, Andromaque, à toi, je m'abandonne,  Car à l'égal de toi je n'estime personne :  Mais pour un songe vain omettre son devoir,  C'est une loi, mon coeur, trop dure à recevoir. "")",-,0.0
"('#andromaque', ""Ha, mon fidèle Hector, mon tout, ma chère vie,  Allez de par moi libre où l'honneur vous convie ;  Mais n'étant point forcé de sortir aujourd'hui,  Dégagez mon esprit de ce mortel ennui.  Ce songe n'est point vain, et vous le devez croire  Si mes autres passés vous touchent la mémoire,  Las ! Trop à notre dam reconnus pour certains ;  » Aussi la voix de Dieu n'est point autre aux humains. "")",-,0.0
"('#hector', ""» Si nous prenons sujet de bien ou de mal faire  » De ces impressions qui troublent le vulgaire,  » Tous les plus beaux desseins d'un courage parfait  » Mourront dès leur naissance ou vivront sans effet.  » Non, l'homme aventureux qui choisira pour guide  » Le devoir qui nous sert d'éperon ou de bride,  » Suivra toujours sa pointe et toujours résolu  » Voudra ce qu'une fois il aura bien voulu,  » Sans que des accidents la suite entrelacée  » Puisse faire changer sa diverse pensée. "")",-,0.0
"('#andromaque', ""» Puisque notre discours est sujet à l'erreur,  » C'est une impiété conjointe à la fureur  » Qui les Dieux contre nous meut à colère extrême,  » Si nous les méprisons pour trop croire à nous-même,  » Nous aveugles mortels dont l'esprit est si court,  » Que sur les cas humains vainement il discourt. "")",-,0.0
"('#hector', ""» Cela qui nous advient par causes naturelles  » Ne doit nous tenir lieu de règles éternelles ;  » Et c'est vraiment fureur, non simple impiété,  » D'imputer aux bons Dieux notre légèreté,  » Qui tient l'âme de crainte et de douleur saisie,  » Pour un monstre forgé dedans la fantaisie. "")",-,0.0
"('#andromaque', ""Un jour quoi qu'il en soit sera bientôt passé. "")",-,0.0
"('#hector', ""» L'occasion fait tout, et son poing délaissé,  » On ne la voit plus rire à sa mode première.  » Il la faut prendre au front, elle est chauve derrière. "")",-,0.0
"('#andromaque', ""Presque deux fois cinq ans sur nos chefs ont tourné  Depuis que ce grand Ost d'un effort obstiné  Combat notre fortune, et toute la puissance  De la superbe Asie armée à sa défense  Ne l'a pu seulement éloigner de ces tours. "")",-,0.0
"('#hector', 'Le délai me fait peine en oyant ce discours.  Je veux avant la nuit vainqueur de cette armée  Réduire son espoir et sa flotte en fumée. ')",-,0.0
"('#andromaque', ""Ô Ciel ! Ô Déités de l'Éternel séjour !  Ce que n'ont pu dix ans comme le peut un jour ? "")",-,0.0
"('#hector', ""Ce que n'ont pu dix ans un moment le peut faire. "")",-,0.0
"('#andromaque', ""Et quoi s'il court se rendre en la main adversaire ?  » Car le Ciel en dispose : et puis le sort douteux  » Également chéri n'en peut épouser deux :  » Mais jusques à la fin on n'a point connaissance  » Devers qui tournera la faveur de sa chance. "")",-,0.0
"('#hector', ""J'accorde à ce discours sans y former débat.  Aussi me faut-il vaincre ou mourir au combat,  Satisfait à mon gré si ma chère patrie  Reçoit pour son salut l'offrande de ma vie. "")",-,0.0
"('#andromaque', ""Mais comme votre vie appuie sa grandeur,  Gardez que votre mort n'éteigne sa splendeur. "")",-,0.0
