,la-fontaine-climene,la-harpe-muses-rivales,Cost,Operation Type
0,"('#acanthe', ""Apollon se plaignait aux neuf Soeurs, l'autre jour, De ne voir presque plus de bons vers sur l'amour. Le siècle, disait-il, a gâté cette affaire : Lui nous parler d'amour ! Il ne la sait pas faire. Ce qu'on n'a point au coeur, l'a-t-on dans ses écrits ? J'ai beau communiquer de l'ardeur aux esprits ; Les belles n'ayant pas disposé la matière, Amours et vers, tout est fort à la cavalière. Adieu donc, ô beautés ! Je garde mon emploi Pour les surintendants sans plus, et pour le roi. Je viens pourtant de voir, au bord de l'Hippocrène, Acanthe fort touché de certaine Clymène. J'en sais qui sous ce nom font valoir leurs appas ; Mais, quant à celle-ci, je ne la connais pas : Sans doute qu'en province elle a passé sa vie."")","('#erato', ""C'est donc en ces beaux lieux, c'est dans ce sanctuaire, Aux arts de tout temps consacré, De leurs attributs décoré, Que les Muses bientôt vont recevoir Voltaire. Mercure qu'Apollon vient de lui dépêcher, Déjà dans l'Élysée est allé le chercher. Le puissant Dieu de l'harmonie Sépare ce mortel heureux De la foule des morts fameux, Qu'il surpassa pendant sa vie. Il l'appelle, et lui-même enfin Lui veut assurer un destin Unique, ainsi que son génie. Il prodigua tous ses bienfaits Sur ce rare écrivain que lui-même il admire ; Il prétend parmi nous le fixer à jamais : Avec lui du Parnasse il partage l'empire. Mercure ici doit l'amener. Mais d'un hôte si grand digne dépositaire, Qui de nous, ô ma soeur ! Présentera Voltaire Au Dieu qui va le couronner ? Nous briguons toutes cette gloire."")",0.45,Substitution
1,"('#erato', ""Sire, j'en puis parler ; c'est ma meilleure amie. La province, il est vrai, fut toujours son séjour ; Ainsi l'on n'en fait point de bruit en votre Cour."")",,1.0,Insertion
2,"('#uranie', 'Je la connais aussi.')",,1.0,Insertion
3,"('#apollon', ""Comment, vous, Uranie ! En ce cas, Terpsichore, Euterpe, et Polymnie, Qui n'ont pas des emplois du tout si relevés, M'en apprendront encor plus que vous n'en savez."")",,1.0,Insertion
4,"('#polymnie', 'Oui, sire, nous pouvons vous en parler chacune.')","('#uranie', ""Nous l'avons toutes inspiré."")",0.82,Substitution
5,"('#apollon', ""Si ma prière n'est aux Muses importune, Devant moi tour à tour chantez cette beauté ; Mais sur de nouveaux tons, car je suis dégoûté. Que chacune pourtant suive son caractère."")",,1.0,Insertion
6,"('#euterpe', 'Sire, nous nous savons toutes neuf contrefaire : Pour si peu laissez-nous libres sur ce point-là.')","('#erato', 'Mais à qui cet honneur sera-t-il déféré ? Qui doit obtenir la victoire ?')",1.53,Substitution
7,"('#apollon', ""Commencez donc, Euterpe, ainsi qu'il vous plaira."")",,1.0,Insertion
8,"('#euterpe', ""Que ma compagne m'aide, et puis en dialogue, Nous vous ferons entendre une espèce d'églogue."")",,1.0,Insertion
9,"('#apollon', ""Terpsichore, aidez-la mais surtout évitez Les traits que tant de fois l'églogue a répétés ; II me faut du nouveau, n'en fût-il point au monde."")",,1.0,Insertion
