,dufresny-adieux-des-officiers,la-fontaine-daphne,Cost,Operation Type
0,"('#le-tambour', 'À cheval, à cheval, Mars, vite à la guerre,  Prends ta rapière,  Il est temps,  Quand le coq a chanté : Mars déjà la gloire,  Et la victoire,  Sont aux champs. ')",,1.0,Insertion
1,"('#un-amour', 'Suivez la gloire et ses attraits,  Laissez Mars et Vénus en paix. ')","('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")",0.87,Substitution
2,"('#le-tambour', 'Le bruit de mon tambour et de la trompette,  Met la grisette  Aux abois.  Mais un brave guerrier doit de bonne grâce,  Céder la place  Au bourgeois. ')","('#venus', 'Charmante oisiveté, repos délicieux !')",1.57,Substitution
3,,"('#minerve', 'Ou plutôt, repos ennuyeux !')",1.0,Deletion
4,"('#l-amour', 'Vénus ne saurait consentir  À le laisser partir. ')","('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")",1.31,Substitution
5,,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",1.0,Deletion
6,,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")",1.0,Deletion
7,,"('#momus', ""Ne vous faites point tant d'affaires."")",1.0,Deletion
8,,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")",1.0,Deletion
9,,"('#promethee', 'Que me veut Jupiter ?')",1.0,Deletion
10,,"('#jupiter', 'Ouvre tes magasins.')",1.0,Deletion
11,,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")",1.0,Deletion
12,"('#le-tambour', 'Un jeune héros doit laisser sa faiblesse  À sa maîtresse  En partant.  Je lui permets de rire avec son hôtesse,  Mais sans tendresse,  En passant. ')","('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")",1.32,Substitution
13,,"('#promethee', 'Vous ne les connaissez pas.')",1.0,Deletion
14,,"('#momus', 'Fais-leur faire quelques pas.')",1.0,Deletion
