,quinault-persee,quinault-proserpine,Cost,Operation Type
0,"('#phronime', ""La Vertu veut choisir ce lieu pour sa retraite : C'est un heureux séjour ; tout y plaît à mes yeux."")",,1.0,Insertion
1,"('#megathyme', 'La Vertu fait trouver dans les plus tristes lieux Une félicité secrète')",,1.0,Insertion
2,"('#phronime', ""Sans la Vertu, sans son secours, On n'a point de bien véritable. Elle est toujours aimable ; Il faut l'aimer toujours."")","('#la-paix', ""Héros, dont la valeur étonne l'univers, Ah ! Quand briserez-vous nos fers ? La discorde nous tient ici sous sa puissance ; La barbare se plaît à voir couler nos pleurs ; Soyez touché de nos malheurs, Vous êtes dans nos maux notre unique espérance ; Héros, dont la valeur étonne l'univers, Ah quand briserez-vous nos fers ! La suite de la Paix répète ces deux derniers vers. La haine, la Rage, les Chagrins, la Jalousie, le Dépit, le Désespoir, et toute la suite de la Discorde, témoignent les douceurs qu'ils trouvent dans l'esclavage où ils ont réduit la Paix."")",0.73,Substitution
3,"('#megathyme', ""Elle éternise la mémoire D'un héros qui la suit. La gloire où la Vertu conduit Est la parfaite gloire."")","('#la-discorde', ""Soupirez, triste paix, malheureuse captive, Gémissez, et n'espérez-pas Qu'un héros que j'engage en de nouveaux combats Écoute votre voix plaintive. Plus il moissonne de lauriers, Plus j'offre de matière à ses travaux guerriers. J'anime les vaincus d'une nouvelle audace ; J'oppose à la vive chaleur De son indomptable valeur Mille fleuves profonds, cent montagnes de glace. La victoire empressée à conduire ses pas Se prépare à voler aux plus lointains climats ; Plus il la suit, plus il la trouve belle ; Il oublie aisément pour elle La paix et ses plus doux appas."")",0.6,Substitution
4,"('#phronime #megathyme', ""Suivons partout ses pas,  On ne peut la connaître  Sans aimer ses appas. Le bonheur ne peut être Où la Vertu n'est pas. La Vertu s'avance au milieu d'un troupe de suivants et de suivantes. L'innocence et les Plaisirs innocents accompagnent la Vertu."")","('#la-paix #suite-de-la-paix', 'Ô rigueurs inhumaines ! Faut-il ne voir jamais finir le triste cours De nos malheurs, et de nos peines ?')",1.23,Substitution
5,"('#phronime #megathyme #choeur', ""Ô Vertu charmante ! Votre empire est doux.  Avec vous, tout nous contente ; On n'est point heureux sans vous. Ô Vertu charmante, Votre empire est doux."")",,1.0,Insertion
6,"('#la-vertu', ""Ne vous abusez point par une vaine attente :  On n'a pas aisément les prix que je présente ; Ils coûtent mille efforts ils font mille jaloux. L'inconstante Fortune à ma nuire est constante ;  Lorsque l'on suit mes pas on s'expose à mes coups. On trouve en son fatal courroux Une hydre toujours renaissante."")","('#la-discorde #suite-de-la-discorde', ""Vos plaintes seront vaines N'espérez jamais de secours."")",1.23,Substitution
7,"('#megathyme', ""Avec vous rien n'épouvante."")",,1.0,Insertion
8,"('#phronime', ""On n'est point heureux sans vous."")",,1.0,Insertion
9,"('#phronime #megathyme #choeur', 'Ô Vertu charmante, etc.')",,1.0,Insertion
10,"('#la-vertu', ""Fuyons de la grandeur la pompe embarrassante ;  La retraite a des biens dont la douceur enchante Et qui sont réservés pour nous. Jouissons du bonheur d'une vie innocente ; C'est le bien le plus grand de tous."")","('#la-paix #suite-de-la-paix', 'Quel tourment de languir toujours Sous de cruelles chaînes !')",1.28,Substitution
11,"('#phronime #megathyme #choeur', ""Ô Vertu charmante, etc. L'innocence, les Plaisirs innocents, et toute la suite de la Vertu témoignent leur joie en dansant et en chantant."")",,1.0,Insertion
12,"('#phronime #megathyme', ""La grandeur brillante,  qui fait tant de bruit, N'a rien qui nous tente : Le repos la fuit. Malheureux qui la suit... ! Fortune volage, Laissez-nous en paix ! Vous ne donnez jamais Qu'un pompeux esclavage : Tous vos biens n'ont que de faux attraits. Dans un doux asile Nous bornons nos voeux : Notre sort est tranquille ; C'est un bien qui doit nous rendre heureux. La Vertu couronne Ses amants constant : Heureux qui lui donne Ses soins et son temps ; Ses voeux seront contents... Fortune volage, etc. Le lieu champêtre que la Vertu a choisi pour retraite est tout-à-coup embelli d'ornements magnifiques. On voit sortir de terre un parterre de fleurs, deux rangs de statues, des berceaux dorés et des fontaines jaillissantes."")","('#la-discorde #suite-de-la-discorde', ""Vos plaintes seront vaines N'espérez jamais de secours. On entend un bruit de trompettes et de timbales."")",1.1,Substitution
13,"('#la-vertu', ""Qui nous fait voir ici tant de magnificence.. ? C'est la Fortune qui s'avance. Me cherchez-vous quand je vous fuis. Fortune, je sais trop que vous m'êtes contraire. Non, ce n'est pas un soin qui vous soit ordinaire D'embellir les lieux où je suis. On entend le bruit éclatant d'un grand nombre d'instruments. La Fortune s'approche : l'Abondance et la Magnificence l'accompagnent, avec une suite richement parée. Tout se réjouit et tout danse autour de la Fortune."")","('#la-discorde', ""Ce bruit que la victoire en ces lieux fait entendre. M'avertit qu'elle y va descendre. Quel plaisir de lui faire voir Mon ennemie au désespoir ! La victoire descend, elle est accompagnée d'un grand nombre de victoires, et de héros."")",0.36,Substitution
14,"('#la-fortune', ""Effaçons du passé la mémoire importune ; J'ai toujours contre vous vainement combattu : Un auguste héros ordonne à la Fortune D'être en paix avec la Vertu."")","('#la-victoire', 'Venez aimable paix, le vainqueur vous appelle, La victoire devient votre guide fidèle ; Venez dans un heureux séjour. Vous, discorde affreuse et cruelle, Portez ses fers à votre tour.')",0.42,Substitution
15,"('#la-vertu', ""Ah ! je le reconnais sans peine ; C'est le héros qui calme l'Univers."")","('#la-victoire #suite-de-la-victoire', ""Venez, aimable paix, le vainqueur vous appelle. La suite de la Victoire déchaîne la Paix et les divinités qui l'accompagnent, et enchaîne la Discorde et sa suite."")",0.83,Substitution
16,"('#la-fortune', ""Lui seul pour vous pouvait vaincre ma haine ; Il vous révère, et je le sers. Je l'aime constamment, moi qui suis si légère. Partout suivant ses voeux avec ardeur je cours. Vous paraissez toujours sévère, Et vous êtes toujours Ses plus chères amours."")",,1.0,Insertion
17,"('#la-vertu', ""Mes biens brillent moins que les vôtres.  Vous trouverez tant de coeurs qui n'adorent que vous ! Vous les enchantez presque tous."")","('#la-paix #suite-de-la-paix', 'Ah ! Quel bonheur charmant !')",0.97,Substitution
18,"('#la-fortune', ""Vous régnez sur un coeur qui vaut seul tous les autres. Ah ! S'il m'eût voulu suivre, il eût tout surmonté. Tout tremblait, tout cédait à l'ardeur qui l'anime. C'est vous, Vertu trop magnanime ; C'est vous qui l'avez arrêté."")","('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')",1.45,Substitution
19,"('#la-vertu', ""Son grand coeur s'est mieux fait connaître, Il a fait sur lui-même un effort généreux : Il veut rendre le monde heureux. Il préfère au bonheur d'en devenir le maître, La gloire de montrer qu'il mérite de l'âtre."")",,1.0,Insertion
20,"('#la-vertu #la-fortune', 'Sans cesse combattons à qui servira mieux Ce héros glorieux.')","('#la-discorde', ""Orgueilleuse victoire, est-ce à toi d'entreprendre De mettre la Discorde aux fers ? À quels honneurs sans moi peux-tu jamais prétendre ?"")",0.9,Substitution
21,"('#la-vertu #la-fortune #choeurs', ""Les Dieux ne l'ont donné que pour le bien du monde, Que ses travaux sont grands ! que ses destins sont beaux ! Dans une paix profonde  Il trouve une source féconde De triomphes nouveaux. Les Dieux ne l'ont donné que pour le bien du monde."")","('#la-victoire', ""Ah ! Qu'il est beau de rendre La Paix à l'univers."")",0.19,Substitution
22,"('#la-vertu', ""Que jusque dans les jeux tout nous parle de lui. Les Dieux, qui méditaient leur plus parfait ouvrage, Autrefois dans Persée en tracèrent l'image : J'obtiendrai qu'Apollon le ranime aujourd'hui."")",,1.0,Insertion
