fuzelier-enfer-galant,la-fontaine-daphne,Score
"('#pan', ""C'est le charmant dieu du raisin, Il paraît en pointe de vin Fils de Sémélé, quelle affaire Vous conduit sur le mont Latmos ? Sous cet ombrage solitaire Venez-vous chercher le repos ? Que vois-je ? AIR : Toujours que si du Nouveau monde. Haut."")",-,0.0
"('#bacchus', 'Quoi, le dieu Pan !  Le dieu des forêts ne sait pas ce qui se passe ici dans le sein de son empire ?')",-,0.0
"('#pan', ""C'est que depuis un mois ou deux je me trouve souvent à Paris."")",-,0.0
"('#bacchus', 'Quoi !  Vous ignorez encore que Pluton est amoureux dans ces bois ?')",-,0.0
"('#pan', ""Pluton amoureux !  Cela ne lui sied pas, il ferait bien mieux d'aller chercher l'Indifférence à l'Opéra !"")",-,0.0
"('#bacchus', ""L'Indifférence !  Eh ! Que fait-elle là ?  Mon cher, je pense,  Vous inventez cela !  Que venez-vous conter ? Qui diantre songera.  Avec tant de prudence De mettre à l'Opéra L'Indifférence ? AIR : sur Radegonde"")",-,0.0
"('#pan', ""Eh !  Quelle est, s'il vous plaît, l'enchanteresse qui a métamorphosé Pluton si prodigieusement ?"")",-,0.0
"('#bacchus', ""Vous ne le devineriez jamais : c'est la régulière Diane."")",-,0.0
"('#pan', 'Comment le savez-vous ?')",-,0.0
"('#bacchus', ""La découverte de ce secret ne nous a pas beaucoup coûté : un faune curieux l'a surpris en rodant sous cet ombrage, ce faune l'a dit à Cérès, la maman Cérès n'a pas manqué de le rapporter à sa fille Proserpine qui a eu la discrétion de ne s'en plaindre qu'à Mercure dans le temps qu'il conduisait la dernière caravane des trépassés et Mercure à son retour n'en a fait confidence qu'à tous les dieux."")",-,0.0
"('#pan', ""Cette nouvelle n'a pas dû les ennuyer, Pluton amoureux ! Je n'en reviens pas."")",-,0.0
"('#bacchus', ""Tout l'Olympe en est réjoui J'en avons tant ri AIR : J'en avons tant ri"")",-,0.0
"('#pan', ""Ma foi Pluton pour ce coup-ci Mérite l'ellébore"")",-,0.0
"('#bacchus', ""J'en avons tant ri J'en rirons bien encore"")",-,0.0
"('#pan', ""J'approuve vos bonnes intentions."")",-,0.0
"('#bacchus', ""Et pour les bien remplir presque tous les dieux se sont donné aujourd'hui un rendez-vous général sur le Mont Latmos ; nous savons que Pluton doit y chercher Diane, nous avons formé le dessein de les surprendre et de les régaler d'une espèce de charivari."")",-,0.0
"('#pan', ""Vous vous arrangez à miracle, On ne peut pas vous critiquer ! Oh ! j'en jouirai ! L'Enfer galant est un spectacle Que je ne prétends pas manquer ! Comme les autres j'en veux rire Ta la lerita la retita la lerire. AIR : Mon mari est à la taverne."")",-,0.0
"('#bacchus', ""Ce C'en n'est pas trop à vous d'en rire, Ta la lerita la retita la lerire Dans le faubourg Saint-Germain Sur le théâtre romain Vous avez certaine intrigue ; AIR : Par bonheur ou par malheur."")",-,0.0
"('#pan', 'Mon acte a fort plu, vraiment. Il a réussi sans brigue.')",-,0.0
"('#bacchus', 'Oui, mais solidairement.')",-,0.0
"('#pan', ""Oh ! Que vous êtes pointilleux ! Est-ce que je n'ai pas de la voix ?  Est-ce que Doris ne chante pas joliment ? AIR : Landeriri."")",-,0.0
"('#bacchus', ""Ma foi sans L'Avare amoureux. Landeritte Pan vous auriez en vérité Bien déchanté."")",-,0.0
"('#pan', ""Vous ne vous connaissez pas qu'en gosiers de buveurs.  Adieu, je vais chercher Doris, je veux qu'elle ait sa part dans la fête d'aujourd'hui."")",-,0.0
"('#bacchus', ""On peut juger du reste Par cet échantillon. Je prévois, malepeste, Qu'il viendra sur ce mont Bien des dieux sans cervelle, Et de qui sans façon On peut dire la pelle Se moque du fourgon. Ceci ne commence pas mal ; Pan se mêle de vouloir faire le goguenard... Exemplum ut talpa, j'aperçois la Muse de la tragédie. AIR : j'ai fait à ma maîtresse"")",-,0.0
"('#bacchus', ""Comment gouvernez-vous Linus, Ce digne fils du blond Phébus ? D'une humeur si doucette, Je crois que cet amant chéri Doit être un bon mari ! Eh bien !  Grave Melpomène, vous venez donc en cothurne à une partie bouffonne ?  Mais... AIR : Lon lan la deriri."")",-,0.0
"('#melpomene', ""Aussi l'est-il."")",-,0.0
"('#bacchus', ""Vous lui fîtes une avanie Sur le chapitre d'Uranie Et bien lui en prend, car je ne vous trouve pas aisée à vivre !  Le pauvre Linus saurait bien qu'en dire. AIR : le joli jeu d'amour."")",-,0.0
"('#melpomene', 'Oh ! je le croyais dans ce jour...')",-,0.0
"('#bacchus', 'Toure loure, loure loure, loure loure loure lour.')",-,0.0
"('#melpomene', ""Oh ! Je le croyais dans ce jour Fripon au jeu d'amour."")",-,0.0
"('#bacchus', 'Vous êtes un peu trop prompte à soupçonner les bonnes gens.')",-,0.0
"('#melpomene', ""Comment ?  Je verrais de loin mon amant aux genoux d'une belle et ne soufflerais pas !"")",-,0.0
"('#bacchus', ""Mais !  Ce que vous preniez pour un rendez-vous n'était qu'une consultation.  Linus interrogeait Uranie sur votre mariage !"")",-,0.0
"('#melpomene', 'Il prenait là trop de soin ! AIR : la bonne aventure ô gué')",-,0.0
"('#bacchus', 'Je le conjecture.')",-,0.0
"('#melpomene', ""Aimé de moi, quel besoin Qu'on lui dise dans un coin Sa bonne aventure ô gué Sa bonne aventure ?"")",-,0.0
"('#bacchus', ""Linus parlait d'astrologie Mais qui diantre devinerait Que seul avec fille jolie Des astres on s'entretiendrait ? Au fond, vous n'avez pas absolument tort. AIR : tu croyais en aimant Colette"")",-,0.0
"('#melpomene', ""Oublions cela...  Je sens que ce discours rallumerait ma colère.  Mais plus de querelle, je vais rejoindre mon tendre Linus qui s'est écarté un moment dans ce bois pour me composer une élégie."")",-,0.0
"('#bacchus', ""Par vous en fut-il prié ? Son refus devrait vous plaire ! Lorsqu'un nouveau marié S'amuse à rimer ma chère Aïe, aïe, aïe Il pourrait mieux faire Ma chère, aïe, aïe, aïe. Une élégie ! AIR : Aïe ! Aïe ! Aïe ! Jeannette"")",-,0.0
"('#bacchus', ""Je ne m'y connais guère En mari fait à l'ordinaire. Pour les poètes, je sais bien Qu'en ménage ils ne valent rien. AIR : je ne m'y connais guère"")",-,0.0
"('#bacchus', ""À propos de poètes, voici leur beau directeur, d'où vient que la jeune Hébé l'accompagne ?"")",-,0.0
"('#apollon', ""Elle m'a prié de la conduire dans ce bois ; il est question de turlupiner un vieux galant, ceci est de sa compétence..."")",-,0.0
"('#hebe', ""C'est mon métier Que de me divertir sans cesse C'est mon métier De ne point faire de quartier Laissons radoter la vieillesse Rire sied bien à la jeunesse. C'est mon métier. AIR : du haut en bas"")",-,0.0
"('#bacchus', ""Jamais il n'a fait fortune Dans l'empire de Vénus. Passe pour vous, folâtre Hébé, mais Apollon ne devrait pas46, lui, être si enclin à dauber sur les amants malheureux ; ne se souvient-il déjà plus de Daphné et de Coronis ? AIR : Ton humeur est Cateraine."")",-,0.0
"('#apollon', ""Point d'apostrophe importune Doucement, Seigneur Bacchus !"")",-,0.0
"('#hebe', ""Vous n'avez pas le vin tendre."")",-,0.0
"('#bacchus', 'De quoi se plaint Apollon, Oserait-il se prétendre Aussi galant que Pluton ?')",-,0.0
"('#apollon', ""En aimant Diane il surprend, Sur les sentiments il raffine. Non assurément je ne prétends pas cela.  Je conviens que tout cède aujourd'hui à Pluton en fait de galanterie. AIR : on n'aime point dans nos forêts."")",-,0.0
"('#hebe', ""Oh ! Qu'il était bien différent Quand il enleva Proserpine ! C'était un amant très mal né, Il s'est depuis façonné Venez blond Phébus, il me tarde de voir Pluton faire l'amour en berger, cela doit être drôle."")",-,0.0
"('#bacchus', ""La petite a raison, il est temps que j'aille me cacher dans les bois ainsi que font tous les dieux qui s'y rendent...  Mais quelle est cette venue ?  Eh !  C'est Vénus en grand deuil !  Ceci mérite attention. Bonjour aimable souveraine de Paphos.... Êtes-vous en noir par affliction ou par coquetterie ? À Vénus."")",-,0.0
-,"('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")",0.0
-,"('#venus', 'Charmante oisiveté, repos délicieux !')",0.0
-,"('#minerve', 'Ou plutôt, repos ennuyeux !')",0.0
-,"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")",0.0
-,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",0.0
-,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")",0.0
-,"('#momus', ""Ne vous faites point tant d'affaires."")",0.0
-,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")",0.0
-,"('#promethee', 'Que me veut Jupiter ?')",0.0
-,"('#jupiter', 'Ouvre tes magasins.')",0.0
-,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")",0.0
-,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")",0.0
-,"('#promethee', 'Vous ne les connaissez pas.')",0.0
-,"('#momus', 'Fais-leur faire quelques pas.')",0.0
-,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")",0.0
-,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")",0.0
-,"('#promethee', ""C'est l'idole d'un sage."")",0.0
-,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')",0.0
-,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")",0.0
-,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')",0.0
-,"('#minerve', 'Laissez-moi régler ces transports.')",0.0
-,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")",0.0
-,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",0.0
-,"('#venus', ""C'est l'amour."")",0.0
-,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")",0.0
-,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")",0.0
-,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")",0.0
-,"('#venus', ""Amour, qu'il est doux de te suivre !"")",0.0
-,"('#jupiter', 'Vivez, nouveaux humains.')",0.0
-,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",0.0
-,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",0.0
-,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",0.0
-,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",0.0
-,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",0.0
-,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",0.0
