,dufresny-depart-des-comediens,regnard-coquette,Cost,Operation Type
0,"('#arlequin', ""Déserts, affreux déserts, sombres loges, parterre,  Balcons inhabités, théâtre solitaire ;  Et vous fidèles bancs, qui seuls depuis six mois,  Demeurez attentifs à nos comiques voix ;  Je viens vous raconter les malheurs de ma bourse.  De ces malheurs, hélas ! Le printemps est la source.  Le cruel mois de Mai, qui devrait tous les ans  Fournir nos coquettes d'amants,  Les effarouche et les écarte :  Il n'est officier qui ne parte.  Ô renouveau fatal, qui fais couler nos pleurs !  Pendant qu'on voit briller les parterres de fleurs,  Le nôtre languissant, ne pousse  Que des chardons et de la mousse.  Oui, le printemps qui vient peupler les arbrisseaux  De mille différents oiseaux,  Dépeuple de plumets, théâtres et ruelles,  Et fait nicher les hirondelles  Tranquillement dans nos plafonds.  On voit reverdir les buissons,  Et sécher sur pied les grisettes.  Le printemps vient enfin désoler nos cassettes.  À ce mot, mon coeur se saisit. Déjà vox faucibus haesit.  Qu'êtes-vous devenus, jeunes foudres de guerre,  Qui triomphiez jadis dans ce vaste parterre ?  Hélas ! Je n'y vois plus  Ce doux flux et reflux  De têtes ondoyantes,  Qui rend en plein hiver nos moissons abondantes,  Quand le troupeau guerrier et terrestre et marin,  Vient piétiner notre terrain ;  En y semant quelques paroles,  Nous recueillons force pistoles.  À présent nous semons dans la concavité.  Notre voix n'y produit qu'un écho répété ;  Écho fatal, qui va jusques dans nos marmites  Prouver le vide aux parasites.  Je le prouverais au Docteur entêté,  Que ma bourse est vide en été.  Depuis six mois entiers, à peine le dimanche  Arlequin tire-t-il les frais de son éclanche.  Aussi faute d'émolument  On voit que le relâchement  Se met dans la troupe comique :  Mezzetin s'en va voyager,  Le docteur quitte la boutique,  Pasquariel nous fait enrager ;  Octave fait l'amour, et Cinthe a la colique :  Notre caissier s'endort en faisant la recette,  Et le portier lit la gazette.  Le théâtre représente une solitude. "")","('#arlequin', ""Vous en avez menti, messieurs les commis de la barrière, je ne dois rien : vous êtes des fripons.  On est plus assuré au milieu des bois que dans ce maudit pays-ci : on ne saurait faire un pas qu'on ne trouve un filou.  Il n'y a pas une demi-heure que je suis arrivé dans Paris, et me voilà déjà presque tout déshabillé...  Au voleur !  Au voleur !  Quelle maudite nation !  À peine suis-je entré dans la ville, qu'on fait derrière mon cheval l'opération à ma valise ; on en tire les hardes, et on la fait accoucher avant terme.  En descendant à l'hôtellerie, on m'escamote ma casaque.  Je fais deux pas dans la rue, un fiacre me couvre de boue depuis les pieds jusqu'à la tête ; un porteur de chaise me donne d'un de ses bâtons dans le dos : il vient un homme me saluer ; je lui ôte mon chapeau, un coquin par derrière m'arrache ma perruque ; et, pour comble de friponneries, on veut me faire payer l'entrée à la porte comme bête à cornes, parce que je viens pour me marier...  Attendez donc que je sois... "")",0.57,Substitution
1,"('#colombine', ""À quoi diantre s'amuse Arlequin, pendant que la troupe tient conseil sur les affaires présentes ?"")","('#arlequin', ""Monsieur, n'êtes-vous pas un coupeur de bourses ?  Au lieu de répondre, Mezzetin tourne autour de lui, l'examine en se moquant de lui ; et Arlequin fait des lazzis de frayeur. Le restant de cette scène consiste dans un jeu italien. "")",0.59,Substitution
2,,"('#colombine', ""Holà, quelqu'un !  N'ai-je là personne ?  Cascaret, Jasmin, Pierrot, Bagatelle, Bagatelle ! "")",1.0,Deletion
3,,"('#colombine', ""D'où vient, petit garçon, qu'il faut vous appeler tant de fois ? "")",1.0,Deletion
4,"('#arlequin', ""Je racontais nos malheurs aux échos et aux bois d'alentour."")","('#bagatelle', ""Mademoiselle, c'est que j'achevais ma main au lansquenet. "")",1.6,Substitution
5,,"('#colombine', ""N'est-il venu personne me demander ? "")",1.0,Deletion
6,,"('#bagatelle', ""Il est venu cinq ou six personnes ; mais j'ai oublié leurs noms et ce qu'elles m'ont dit. "")",1.0,Deletion
7,,"('#colombine', 'Le petit étourdi !')",1.0,Deletion
8,,"('#pierrot', ""Monsieur le conseiller a dit qu'il allait revenir.  Il est venu aussi cette grande femme qui a le visage si creux, qui vous viendra voir tantôt, quand elle aura été chez son libraire. "")",1.0,Deletion
9,,"('#colombine', ""C'est notre bel esprit ; je la tiens quitte de sa visite dès à présent. Venez çà ; allez chez ma couturière, et dites-lui que je veux avoir mon habit aujourd'hui.  À Bagatelle. "")",1.0,Deletion
10,,"('#bagatelle', 'Ne lui dirai-je pas aussi de nous faire des culottes ?  La mienne est toute déchirée entre les jambes, et ma chemise passe, révérence parler, par... ')",1.0,Deletion
11,,"('#colombine', 'Taisez-vous, petit sot, et faites ce que je vous dis.')",1.0,Deletion
12,,"('#isabelle', 'Hé bien, cousine, as-tu bientôt mis la dernière main à ton visage ? ')",1.0,Deletion
13,"('#colombine', 'Tu ferais bien mieux de chercher quelque remède à nos maux.')","('#colombine', ""Dis-moi, je te prie, comment me trouves-tu aujourd'hui ? "")",0.94,Substitution
14,,"('#isabelle', 'À charmer. ')",1.0,Deletion
15,,"('#colombine', ""J'ai beau arranger mes traits, il me semble qu'il y en a toujours quelqu'un qui se révolte contre mon économie. "")",1.0,Deletion
16,,"('#isabelle', ""Je t'assure que tu es d'un air à faire payer contribution à tous les coeurs de la ville. "")",1.0,Deletion
17,,"('#colombine', ""Je sais bien, sans vanité, que j'ai quelque agrément ; mais avec un peu de beauté, et trois ou quatre mouches sur le nez, une fille ne va pas loin dans le siècle où nous sommes.  Il faut de cela pour plaire ... Et pour attraper un époux, qui est le point difficile.  Nous commençons tout doucement à monter en graine, et nous sommes assez fortes pour bien soutenir une thèse en mariage.  Elle se touche le front. "")",1.0,Deletion
18,,"('#isabelle', ""J'en tombe d'accord.  Crois-tu, cousine, que j'aie le coeur plus dur que toi ?  Je sens quelquefois qu'une fille n'est pas née pour vivre seule ; je t'avouerai même que j'emploie tout mon esprit pour attirer quelque amant dans le filet conjugal.  Mais les hommes sont des pestes de poissons rusés qui viennent badiner autour de l'appât, et qui mordent rarement à l'hameçon.  Le mariage se décrie de jour en jour ; je crois, pour moi, que nous allons voir la fin du monde. "")",1.0,Deletion
19,,"('#colombine', ""Que tu es folle !  Quoique le mariage ne soit plus guère à la mode, les hommes ont beau faire, ils ne sauraient se passer de nous.  Leur répugnance pour le mariage vient de la simplicité des filles qui ne savent pas jouer leur rôle.  L'homme est un animal qui veut être trompé. "")",1.0,Deletion
20,"('#arlequin', ""Hélas !  Nous sommes les malades, et voilà les médecins... Il n'y a que la quantité de médecins qui puisse guérir notre maladie. Montrant le parterre."")","('#isabelle', ""Je ne m'applique nuit et jour à autre chose.  Je relève, avec art, les agréments que la nature m'a donnés : je joins à quelque brillant d'esprit les talents de la poésie et de la musique : pour mes manières, elles sont douces et insinuantes ; et, avec tout cela, point d'épouseurs. "")",1.28,Substitution
21,"('#colombine', 'Nous prendrions notre mal en patience, si nous pouvions avoir ici tous les jours une consultation de cinq à six cents médecins.')","('#colombine', 'Mais que prétendent donc tous ces petits messieurs-là ? ')",1.49,Substitution
22,"('#arlequin', 'Oh, ces médecins-là ne sont pas si âpres aux consultations, que ceux de la faculté.')","('#isabelle', ""C'est ce que je ne conçois pas.  On sait bien qu'il y a de certaines avances qui accrochent quelquefois.  Mais vous en aurez menti, messieurs les soupirants ; et si j'accorde quelque faveur, ce ne sera, ma foi, que par-devant notaire, et en vertu d'un bon parchemin bien signé. "")",1.43,Substitution
23,"('#colombine', ""J'en sais bien la raison : c'est qu'on donne de l'argent à ceux-là ; et ceux-ci au contraire payent à la porte le droit de dire leur avis."")","('#colombine', ""Cependant ce n'est pas une chose si difficile que tu le penses, d'engager un homme.  Savoir risquer un billet dans son temps, marcher sur le pied à l'un, tendre la main à l'autre, se brouiller avec celui-ci, se raccommoder avec celui-là : crois-moi, avec ce petit manège-là, il faut, bon gré, mal gré, que quelque bête donne dans les toiles. "")",1.41,Substitution
24,,"('#isabelle', ""Il me semble que tu copies assez bien une coquette d'après nature.  Prends-y garde, au moins : on ne fait plus guère de fortune à ce métier-là. "")",1.0,Deletion
25,,"('#colombine', ""Bon !  Il n'y a plus que les sottes qui se persuadent d'attraper des hommes par des airs composés.  Cousine, le monde m'en a plus appris qu'à toi, et je te suis caution qu'une fille n'est piquante qu'autant qu'elle a pris sel dans la coquetterie. "")",1.0,Deletion
26,,"('#isabelle', ""Vraiment !  Ce ne sont pas là les maximes de ma mère, qui me prône tous les jours que la coquetterie est l'antipode du mariage ; et j'ai ouï dire cent fois à mon oncle qu'une fille coquette ressemble à ces vins pétillants dont tout le monde veut tâter, et dont personne ne veut acheter pour son ordinaire. "")",1.0,Deletion
27,,"('#colombine', ""Voilà-t-il pas mes contes de grand'mères, qui condamnent dans leurs enfants les plaisirs que l'âge leur refuse !  Je veux, moi, te donner des conseils pour le mariage, plus courts et plus faciles : et afin que tu les retiennes mieux, je vais te les lire en vers. "")",1.0,Deletion
28,,"('#isabelle', ""En vers, ma petite !  Ah !  C'est ma folie. "")",1.0,Deletion
29,,"('#colombine', ""Une fille qui veut se faire  Un époux parmi ses amants,  Doit changer à tous les moments  Et de visage et de manière ;  Tantôt, d'un air modeste, elle entre dans un coeur,  Sous un faux semblant de sagesse ;  Et tantôt, rallumant un feu de belle humeur,  Elle y porte à la fois la joie et la tendresse ;  Elle sait finement, par un mélange heureux,  Délaver la douceur avecque la rudesse ;  Du frein ou de l'épron usant avec adresse,  Suivant que l'animal est vif ou paresseux. N'en perds pas une syllabe.  Portrait d'une Coquette, ou la vraie morale d'une Fille à marier. Elle lit. "")",1.0,Deletion
30,"('#arlequin', ""C'est pour cela qu'ils le disent si librement."")","('#isabelle', 'Je ne sais pas comment sera le reste, mais le début est fort vif. ')",1.67,Substitution
31,"('#colombine', ""Mon pauvre Arlequin, puisque la saison de l'été est si contraire au tempérament des comédiens, puisque nous sommes desséchés, atténués, languissants, agonisants ; en un mot puisque nous sommes abandonnés des médecins, il faut tirer le rideau, c'est-à-dire fermer notre théâtre, et prendre congé de la compagnie."")","('#colombine', ""Pour conserver les coeurs qu'elle a su préparer,  Elle tient toujours la balance  Entre la crainte et l'espérance,  Laissant un pauvre amant doucement s'enferrer.  Si quelqu'un, rebuté de son trop long martyre,  Cherche à s'échapper du filet,  Par de fausses bontés alors on le retire :  On écrit, et Dieu sait le style du billet !  Un roi ne paierait pas tout ce qu'on lui promet :  On se désespère, on soupire ;  Trac, l'oiseau rentre au trébuchet.  Rien ne se démentira.  Elle continue de lire. "")",0.77,Substitution
32,,"('#isabelle', ""Au trébuchet !  Un mari ne se prend pas comme un oiseau ; il faut bien d'autres piéges. "")",1.0,Deletion
33,,"('#colombine', ""Je te dis qu'en amour ils sont si niais, qu'une fille qui sait un peu son métier en va duper trente à la fois. Lui parle-t-on d'amour...  Elle poursuit sa lecture. "")",1.0,Deletion
34,,"('#isabelle', 'Encore ? ')",1.0,Deletion
35,"('#arlequin', ""Avant que de mourir, nous avons encore l'émétique, et la petite bagatelle que nous jouons sera peut-être un émétique salutaire."")","('#colombine', ""Lui parle-t-on d'amour, vante-t-on ses appas,  Elle impose silence en faisant la novice ;  Elle fait expliquer ceux qui n'en parlent pas,  Et sait se démonter à visse :  D'un rire obéissant son visage est paré ;  Le robinet des pleurs s'ouvre et ferme à son gré ;  Et, dispensant ainsi la rigueur, la tendresse,  Crois-moi, cousine, en cet état,  C'est jouer de malheur, après tant de souplesse,  Si quelque dupe enfin ne tâte du contrat. Voici le dernier.  Dame !  Il entre bien des ingrédients dans la composition d'une coquette."")",0.85,Substitution
36,,"('#isabelle', ""Savante comme tu l'es, tu devrais te mettre à montrer le coquettisme en ville : tu serais bientôt riche. "")",1.0,Deletion
37,"('#colombine', ""Bagatelle.  L'émétique le plus fin n'a point de vertu en automne.  En un mot, il faut quitter le jeu quand il ne vaut pas la chandelle."")","('#colombine', ""Je n'y gagnerais pas de l'eau : toutes les filles savent cela.  Dans le fond, on n'a que de bonnes intentions.  Et quel reproche peut faire un homme quand une fille ne le trompe qu'en vue de mariage ? "")",1.09,Substitution
38,,"('#bagatelle', 'Mademoiselle, voilà monsieur le comte Octave. ')",1.0,Deletion
39,,"('#colombine', ""Qu'il entre."")",1.0,Deletion
40,,"('#isabelle', ""Je te laisse avec lui ; car apparemment c'est un épouseur : et ma mère m'attend. "")",1.0,Deletion
41,,"('#colombine', ""Bon !  Ta mère t'attend : va, va, elle est la maîtresse, elle attendra tant qu'elle voudra : demeure ici ; tu en apprendras plus avec moi en un quart d'heure, que tu ne feras en toute ta vie avec ta mère.  C'est une façon de mari. "")",1.0,Deletion
42,,"('#isabelle', ""Tu l'aimeras donc ? "")",1.0,Deletion
43,,"('#colombine', ""Que tu es sotte !  Ne t'ai-je pas dit cent fois que j'aime tout le monde sans aimer personne.  Mon père m'a défendu de le voir, parce qu'il me destine à un bailli du Maine, qui doit arriver dans peu.  Ne suis-je pas bien malheureuse !  Car imagine-toi ce que c'est qu'un bailli, et un bailli du Maine !  Mais voici Octave."")",1.0,Deletion
44,,"('#octave', ""Malgré la rigueur de votre père, je viens vous assurer, mademoiselle, que je perdrai plutôt la vie que l'espérance d'être un jour votre époux. "")",1.0,Deletion
