la-fontaine-daphne,moliere-psyche,Score
"('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")",-,0.0
"('#venus', 'Charmante oisiveté, repos délicieux !')",-,0.0
"('#minerve', 'Ou plutôt, repos ennuyeux !')",-,0.0
"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")",-,0.0
"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",-,0.0
"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")",-,0.0
"('#momus', ""Ne vous faites point tant d'affaires."")",-,0.0
"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")",-,0.0
"('#promethee', 'Que me veut Jupiter ?')",-,0.0
"('#jupiter', 'Ouvre tes magasins.')",-,0.0
"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")",-,0.0
"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")",-,0.0
"('#promethee', 'Vous ne les connaissez pas.')",-,0.0
"('#momus', 'Fais-leur faire quelques pas.')",-,0.0
"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")",-,0.0
"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")",-,0.0
"('#promethee', ""C'est l'idole d'un sage."")",-,0.0
"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')",-,0.0
"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")",-,0.0
"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')",-,0.0
"('#minerve', 'Laissez-moi régler ces transports.')",-,0.0
"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")",-,0.0
"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",-,0.0
"('#venus', ""C'est l'amour."")",-,0.0
"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")",-,0.0
"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")",-,0.0
"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")",-,0.0
"('#venus', ""Amour, qu'il est doux de te suivre !"")",-,0.0
"('#jupiter', 'Vivez, nouveaux humains.')",-,0.0
"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",-,0.0
"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",-,0.0
"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",-,0.0
