dancourt-comedie-comediens,regnard-divorce,Score
"('#marton', ""Votre bonhomme de mari ne cherche qu'à vous faire plaisir, comme vous voyez ; il a dessein apparemment de vous donner aujourd'hui quelque fête, quelque espèce de bal, et de vous faire trouver chez vous, pour vous y fixer, les innocents amusements que vous aviez coutume de prendre en public, comme les autres."")",-,0.0
"('#lucile', ""C'est un fort bonhomme, un fort galant homme que Monsieur Grichardin, Marton ; et comme il n'y a que douze ou quinze jours que nous sommes mariés, je m'accommode encore de ses manières."")",-,0.0
"('#marton', ""Je m'en étonne, je craignais que vous n'en fussiez dégoûtée dès le premier jour."")",-,0.0
"('#lucile', 'Pourquoi cela, Marton ?')",-,0.0
"('#marton', ""Pourquoi ?  C'est qu'il n'y a pas entre vous et lui grande symétrie, ni pour l'âge, ni pour l'humeur."")",-,0.0
"('#lucile', 'Il fait tout ce que je veux, Marton.')",-,0.0
"('#marton', 'Cela ne durera pas.')",-,0.0
"('#lucile', 'Hé, la raison ?')",-,0.0
"('#marton', ""La raison ?  C'est que vous ne tarderez peut-être pas à faire ce qu'il ne voudra point."")",-,0.0
"('#lucile', ""J'aurai toujours les mêmes égards, s'il a toujours la même complaisance."")",-,0.0
"('#marton', ""Vous exigerez peut-être qu'il la pousse plus loin, et qu'il devienne un peu des amis de Léandre, qui depuis longtemps est si fort des nôtres."")",-,0.0
"('#lucile', 'Monsieur Guichardin ne paraît pas le haïr.')",-,0.0
"('#marton', ""Non : mais je suis sûre qu'il ne l'aime guère, et je ne sais même s'il ne commence pas à en devenir jaloux."")",-,0.0
"('#lucile', ""La jalousie serait mal fondée, l'estime et l'amitié que j'ai pour Léandre…"")",-,0.0
"('#marton', ""Simple habitude, amitié d'enfance : qui le sait mieux que moi ?  Nous avons été tous trois élevés ensemble, nos familles étaient amies, nos pères se sont ruinés de compagnie, le vôtre en repas, le mien au jeu, et celui de Léandre avec les femmes.  Oh, pour cela c'était trois Bourgeois bien distingués dans le quartier."")",-,0.0
"('#lucile', ""Nos fortunes n'en sont pas meilleures."")",-,0.0
"('#marton', 'Oh, pour cela non.  Victimes de leur éclatante conduite, nous nous sommes trouvés tous trois sans établissement.  Monsieur Grichardin vient de faire le vôtre en vous épousant : je trouve un asile auprès de vous en attendant mieux.')",-,0.0
"('#lucile', 'Autant que je pourrai contribuer à votre bonheur, ma chère Marton…')",-,0.0
"('#marton', ""Mes vues sont bornées, Madame, je veux faire comme Léandre ; il a tenté fortune par plusieurs routes, il a été écolier en droit, apprentif notaire, façon d'abbé, régent de sixième, commis de la douane, avocat, maître à danser : il s'est fait depuis peu comédien, ce n'est pas le plus mauvais parti qu'il pouvait prendre."")",-,0.0
"('#lucile', 'Mais tes vues ne sont pas de passer par tous ces grades-là, Marton ?')",-,0.0
"('#marton', ""Non, Madame, mais d'arriver au but : ma grande fureur est de jouer la Comédie."")",-,0.0
"('#lucile', ""Je ne blâme point en toi cette passion, non plus qu'en Léandre."")",-,0.0
"('#marton', ""Vous auriez bonne grâce de la blâmer !  Jeune et bien fait comme est Léandre, avec de l'esprit et des talents, il se fera connaître et estimer peut-être ; il passera du moins ses plus beaux jours dans les plaisirs, et s'approchera des personnes les plus distinguées, dont la naissance et la fortune semblaient pour toujours l'éloigner."")",-,0.0
"('#lucile', ""Je vois bien, ma chère Marton, que ta passion dominante est de t'approcher aussi des personnes de distinction."")",-,0.0
"('#marton', 'Je ne manque pas de talents pour cela, et je ne ferais pas une mauvaise recrue pour une Troupe.')",-,0.0
"('#lucile', 'Ne serais-tu point amoureuse de Léandre ?')",-,0.0
"('#marton', 'Ces fantaisies-là nous ont passé !  Mais vous…')",-,0.0
"('#lucile', 'Le voici, je crois, Marton.')",-,0.0
"('#marton', ""C'est lui-même, il vient ici souvent ; ce n'est pas pour moi, quelque autre raison l'y attire."")",-,0.0
"('#lucile', 'Que tu es extravagante !')",-,0.0
"('#lucile', ""Bonjour Léandre, vous me faites bien plaisir de me venir voir.  Ne jouez-vous point aujourd'hui ?  Et passerez-vous avec nous toute la journée ?"")",-,0.0
"('#leandre', ""J'y voudrais passer toute ma vie.  Je suis trop sensible à l'accueil que vous me faites, et au plaisir de vous voir jouir d'une fortune brillante, quoique fort au-dessous de celle que vous méritez…"")",-,0.0
"('#lucile', 'Oh, pour une fortune brillante, retranchez cela, je vous prie, Léandre.')",-,0.0
"('#marton', ""Comment donc !  Comptez-vous pour rien d'être la femme d'un riche Ex-Apothicaire, qui passe la vie la plus agréable aux dépens de quantité de pauvres défunts qu'il a envoyés dans l'autre monde ?"")",-,0.0
"('#leandre', ""Vous êtes contente, et vous devez l'être, et je ne négligerai jamais d'être le témoin de votre bonheur, le plus souvent et le plus longtemps qu'il me sera possible."")",-,0.0
"('#marton', ""Ma foi, Madame, cette Comédie donne de l'esprit ; et Léandre ne parlait pas si bien à ma fantaisie, quand il n'était que Régent de Sixième, ou Commis de la Douane."")",-,0.0
"('#leandre', ""Comment suis-je avec Monsieur Grichardin ?  J'ai grand intérêt d'y être bien."")",-,0.0
"('#lucile', ""Je n'ai point remarqué qu'il vous vît à regret ici."")",-,0.0
"('#marton', ""Je n'ai point remarqué qu'il vous y vît de trop bon oeil, moi"")",-,0.0
"('#leandre', 'Que je serais malheureux !')",-,0.0
"('#lucile', 'Pourquoi donc ?')",-,0.0
"('#leandre', ""Je vais vous faire une confidence d'où dépend absolument le bonheur de ma vie…  Je suis amoureux."")",-,0.0
"('#lucile', 'Vous, amoureux !  Hé !  De qui, Léandre ?')",-,0.0
"('#leandre', ""D'Angélique, Madame."")",-,0.0
"('#lucile', 'De ma belle-fille ?')",-,0.0
"('#marton', 'Cela suffira pour vous brouiller avec Monsieur Guichardin.')",-,0.0
"('#lucile', 'Angélique vous aime-t-elle ?')",-,0.0
"('#leandre', ""Je m'en flatte : mais je n'en ai nulle certitude."")",-,0.0
"('#marton', ""Il faut commencer par s'en éclaircir."")",-,0.0
