,moissy-goute,moissy-petit-paysan,Cost,Operation Type
0,,"('#lucas', ""Oui, morgué, vive la hardiesse !  J'étais embarrassé par où entrer, m'est avis que j'ai trouvé la bonne porte. Me voilà ici bien à mon aise ; c'est ce qu'ils appelions le Thiâtre : me voilà voirement fort à mon aise, mais ce n'est que jusqu'à ce qu'on me chasse, car ils vont venir pour représenter leurs fariboles de Comédie, et le premier de ces Monsieus qui me verra, va me mettre à la porte ; ça m'est aussi sûr que des malédictions à un collecteus : t'as biau être du Village, mon pauvre Lucas, ils te chasseront, je t'en avartis ; tiens, mon enfant, crois-moi, allons nous en. Il s'assied dans le fauteuil. "")",1,Deletion
1,,"('#monsieur-d-audicour', 'Ah ! Bonjour, mon ami, que faites-vous donc ici tout seul ?')",1,Deletion
2,,"('#lucas', ""Moi, Monsieu, rien.  Je me disais tant-seulement de m'en aller, pour vous éviter la peine de me mettre à la porte."")",1,Deletion
3,,"('#monsieur-d-audicour', ""Vous mettre à la porte !  N'êtes-vous pas de ce pays-ci ?"")",1,Deletion
4,,"('#lucas', ""Oui, je suis de Saint-Just né natif ; mon père et ma mère en font ; leurs père et mère en étions, et mes enfants en seront, s'il plaît à Dieu de m'en donner queuque jour."")",1,Deletion
5,,"('#monsieur-d-audicour', ""Eh bien !  Mon ami, dès que vous êtes de ce pays-ci, vous n'avez rien à craindre ; maintenant je suis aussi du pays moi, et j'espère, en cette qualité, qu'on aura ici des attentions pour nous."")",1,Deletion
6,,"('#lucas', ""Comment !  Des attentions pour nous ; n'êtes-vous pas de la Compagnie du Châtiau ?"")",1,Deletion
7,,"('#monsieur-d-audicour', ""Un peu, oui, mais je n'en suis pas moins du pays."")",1,Deletion
8,,"('#lucas', ""J'ons biau vous envisager, m'est avis que je ne vous connois pas plus que si je ne vous avais jamais vu."")",1,Deletion
9,,"('#monsieur-d-audicour', ""Cela peut être ; mon père n'en est pourtant pas moins le premier laboureur du Canton."")",1,Deletion
