,leclerc-iphigenie,rotrou-iphigenie,Cost,Operation Type
0,"('#oronte', 'Quoi Seigneur, voulez-vous sans cesse soupirer ?')","('#agamemnon', ""Non je n'avouerai point, cette lâche écriture Conseillère importune, indiscrète nature, Ton avis vient trop tard, il n'est plus de saison. Et tu n'as point de voix où parle la raison Et toi trop aimable, aux tendresses d'un père : Ma main de mes pensées si prompte secrétaire, Consulte-moi deux fois, et de ton mouvement Ne prévient pas ton ordre, et mon commandement. La guerre à d'autres soins appelle ton usage, Néglige ma pitié pour sévir mon courage. Sois sourde à la Nature et soutiens bien mon rang N'écrit que d'une épée, et qu'en lettre de sang. En moi seul aujourd'hui toute la Grèce espère Sers-moi comme bon chef, et non comme bon père. Mais songes-tu cruel que ce raisonnement, Ôte à l'humanité son premier sentiment, Que le devoir du sang souffre en cette aventure, Que le premier des droits est celui de nature, Que les enfants d'un Roi sont ses premiers sujets Et de sa passion les plus dignes objets : Quel siège entreprends-tu, si ta fille est la proie Par où doit commencer le pillage de Troie, Si pour répandre un jour le sang des Phrygiens, Il faut dès à présent verser celui des tiens ; Si te voyant encor si loin de leur murailles Déjà dans ton armée il font des funérailles , Et si déjà vainqueurs et déjà triomphants. Ils portent de si loin la mort à tes enfants Encor serait-ce peu, mais que pour ce carnage Il me faille servir d'instrument à leur rage : Que le premier des traits dont ils me vont blesser, Attende de ma main le soin de l'adresser, Et que plus qu'eux enfin bourreau de ma famille, Je conduise leurs coups dans le sein de ma fille Plutôt subsiste Troie et ses murs orgueilleux D'immortels artisans ouvrages merveilleux, Des hommes et des Dieux défiant les tempêtes : Aillent percer le ciel ; de leurs superbes têtes : Achevons donc Nature, achevons ton dessein À ma fille innocente ôtons le fer du sein, Que le fort se déclare, ou nuisible ou prospère, Je serai mauvais chef, plutôt que mauvais père, Voyez, si Damyntas par mon ordre rendu À quelque pas d'ici je suis pas attendu. Il rêve longtemps. Reprenant du papier et une plume. Deux valets entrent, il dit à un. Il écrit."")",1.43,Substitution
1,"('#agamemnon', ""Hélas ! C'est bien assez de ne pas murmurer. Tu vois toujours les vents malgré leur inconstance, Dans ce funeste port obstinés au silence. Ce calme plus cruel que les flots irrités, Tient avec nos vaisseaux nos desseins arrêtés. L'oisiveté forcée où la flotte est réduite,  Fait gémir les héros qui sont sous ma conduite ; J'ai redoublé mes soins, et j'ai fait mille efforts Pour donner un cours libre à leurs nobles transports, J'ai cru que mes voeux forçant cette barrière Pourraient aux grands exploits nous ouvrir la carrière, Mais j'ai perdu mes voeux, mes soins et mes travaux, Et ce n'est pas encor le plus grand de mes maux."")","('#amyntas', ""N'allons pas plus avant je reconnais sa tente, Je ne puis deviner quelle affaire importante L'oblige a me parler à telle heure de nuit, Mais observons son ordre attendons-le sans bruit, Il faut sans pénétrer dans le secret des Princes, Croire qu'ils ont pour but le bien de leurs Provinces : C'est un trésor sacré, que le penser d'un Roi, Où nul ne doit toucher, si ce n'est par sa Loi, Qui le veut expliquer sans aveu légitime, Et fouiller ses trésors, commet un même crime, J'ois du bruit approchons."")",0.0,Match
2,,"('#le-valet-de-chambre', 'Est-ce vous Amyntas ?')",1.0,Deletion
3,,"('#amyntas', 'Oui, moi-même.')",1.0,Deletion
4,,"('#le-valet-de-chambre', 'Attendez, le Roi vient de ce pas.')",1.0,Deletion
5,"('#oronte', ""Quelle infortune est jointe à ce clame funeste, Où j'avais cru, Seigneur, que le courroux céleste Avait jusqu'à ce jour borné tous nos ennuis ?"")","('#agamemnon', ""Il semble qu'à ma main mon discours se refuse, Et que de lâcheté chaque lettre m'accuse, Et mon coeur balançant à choisir son devoir, Veut, et puis ne veut plus ce qu'il vient de vouloir."")",0.69,Substitution
6,"('#agamemnon', ""Ah ! Que je suis à plaindre en l'état où je suis, Oronte, tu me vois le chef de tant de princes Que la Grèce a choisis de toutes nos provinces, Un camp presque innombrable obéit à mes lois, Et marchant sur mes pas se règle par ma voix, Mais de tant de malheur cette gloire est suivie, Quelle devient fatales au repos de ma vie, Et j'achète bien cher l'éclat de ce haut rang, Puisqu'il faut malgré moi le payer de mon sang."")","('#amyntas', ""Qui vit jamais les vents, à l'Empire de l'onde, Accorder une paix si calme et si profonde, Du moindre mouvement ne se sent friser, Zéphyre seulement ne l'oserait baiser, Et les mille vaisseaux qui coururent cette plaine, Ont pour leur plus grand vent celui de notre haleine : Mais cette paix nous nuit, ce long repos des eaux, Arrête nos desseins avecque nos vaisseaux, Ainsi, mortels ainsi, dans le cours de notre âge, Le calme quelquefois est pire que l'orage, Et tel de qui le Ciel entreprend le support, Se sauve sur un banc, qui périrait au port."")",0.0,Match
7,,"('#agamemnon', 'Et bien.')",1.0,Deletion
8,,"('#le-valet-de-chambre', 'Il vous attend.')",1.0,Deletion
9,,"('#agamemnon', ""Près d'ici ?"")",1.0,Deletion
