,chabanon-toison-d-or,rousseaujb-jason,Cost,Operation Type
0,"('#medee', ""Oui, ce que j'éprouve Nérine, Ce trouble de mes sens, ce désordre inconnu, Effet impérieux du sort qui me domine, L'enfer me l'annonçait, mon art l'avait prévu. Quand j'ai voulu des temps sonder la nuit obscure, L'enfer me répondait avec un long murmure : « Par toi doit s'accomplir un grand événement Tes voeux, ta volonté, ton âme toute entière, Des décrets du destin, sont l'aveugle instrument. » Jason vient d'aborder cette rive étrangère ; Je n'ai pu soutenir un regard de ses yeux : Frappé d'une soudaine atteinte, Mon coeur a tressailli de désir et de crainte. J'ai dit : voilà l'instant que m'annonçaient les Dieux."")","('#pan', ""Un doux repos suspend les troubles de la guerre Dans nos tranquilles champs les jeux vont revenir; Et Mars, las d'alarmer la terre Leur permet de se réunir. Vous, qui du Dieu des bois révérez la puissance, Et vous, peuples heureux qui vivez sur ces bords, Par vos chants de réjouissance Faites éclater vos transports. Chantez la valeur et la gloire Du héros qui vous rend heureux Et qu'une éternelle mémoire Consacre dans vos coeurs ses bienfaits généreux"")",0.53,Substitution
1,"('#nerine', ""Eh bien ! Médée en ce désordre extrême, Qu'avez-vous résolu ?"")",,1.0,Insertion
2,"('#medee', ""De triompher du sort et de moi-même ; De garder sur mes sens un empire absolu. Qu'une âme faible et sans courage Impute à la nécessité, L'erreur où son penchant l'engage. Qu'une âme faible et sans courage, Laisse enchaîner sa liberté. Le sort eût-il arrêté Que je vivrais criminelle, Ma constante fermeté Résisterait à la fatalité. Et se croirait encor plus immuable qu'elle. Air."")",,1.0,Insertion
3,"('#aetes', ""Jason en nous servant, vient d'illustrer son bras; Les Scythes sont défaits, l'indomptable Athamas Ne ravagera plus cette heureuse contrée Nous possédons en paix la dépouille sacrée, L'immortelle Toison, trésor de ces climats, Où restent attachés par la main des Dieux même, Du trône où je m'assieds, la fortune suprême Et le destin de mes États."")","('#le-choeur', ""Chantons la valeur et la gloire Du héros qui nous rend heureux, Et qu'une éternelle mémoire Consacre dans nos coeurs ses bienfaits généreux."")",0.3,Substitution
4,"('#medee', ""Ce triomphe m'enchante il ne m'étonne pas. De quel prix votre justice Récompensera-t-elle un si noble service ?"")",,1.0,Insertion
5,"('#aetes', ""Les désirs du vainqueur ont réglé mes desseins ; Il t'aime, et veut t'unir à ses brillants destins."")","('#pan', ""Quel bruit harmonieux ici se fait entendre? a Quelle douce clarté se répand dans les airs? Ces nuages brillants ces aimables concerts M'annoncent que la paix en ces lieux va se rendre. Déesse des plaisirs, douce et charmante Paix, Quel destin fortuné vous rend à nos souhaits? Un roi que le ciel a fait naître, Pour partager tes soins et )e pou voir des Dieux, Fixe mon séjour en ces lieux; C'est lui qui sur ces bords m'ordonne de paraître La guerre contre moi ligue tous les mortels: Leur perfide coeur m'abandonne Pour suivre la fière Bellone, Et leur main sacrilège a brisé mes autels Mais contre leur rage funeste, Ce héros m'offre un sûr appui; Et son empire est aujourd'hui Le seul asile qui me reste."")",0.12,Substitution
6,"('#medee', 'Ciel !')",,1.0,Insertion
7,"('#aetes', ""D'où peut naître ta surprise ?"")",,1.0,Insertion
8,"('#medee', ""J'étais loin de prévoir un semblable projet."")",,1.0,Insertion
9,"('#aetes', ""Ma fille, je l'approuve et ta main est promise."")",,1.0,Insertion
10,"('#medee', ""Ô mon père qu'avez-vous fait ? Je fuis d'importunes chaînes ; Ma vie exempte de peines, S'écoule comme un beau jour: Cette paisible jouissance, Ce doux repos de l'innocence, Faut-il les voir céder aux troubles de l'amour ? CAVATINE."")","('#pan', ""Vainqueur de cent peuples jaloux, Il ne porte chez eux le flambeau de la guerre, Que pour forcer leur injuste courroux D'accepter le repos qu'il veut rendre à la terre."")",0.82,Substitution
11,"('#aetes', ""Cet effroi de l'amour, qui peut le faire naître ?"")","('#la-paix', ""C'est en vain qu'à ses ennemis Son coeur se montre favorable Leur orgueil, mille fois soumis, Renaît du malheur qui l'accable."")",1.2,Substitution
12,"('#medee', ""Je redoute mon coeur, et crains de me connaître. Loin des périls que je prévois, Ma raison calme et souveraine, Tient mes passions à la chaîne, Et leur fait respecter ses lois : Mais dans cet esclavage où j'ai su les contraindre, Je sens ces fiers tyrans prêts à se soulever ; Leur silence menace, et m'avertit de craindre Tout ce que leur fureur peut me faire éprouver. DUO vif."")","('#pan', ""Quel est de cet orgueil le déplorable fruit De leurs derniers efforts tout l'effet se réduit À pouvoir immoler leurs peuples en alarmes À toutes les horreurs de Mars ; Et contre leurs propres remparts Tourner la fureur de leurs armes."")",0.0,Match
13,"('#aetes', ""Écarte une chimère Dont l'erreur te séduit."")",,1.0,Insertion
14,"('#medee', ""Cet effroi salutaire La raison l'a produit."")",,1.0,Insertion
15,"('#aetes', ""L'hymen ne détruit pas la paix des coeurs sensibles."")",,1.0,Insertion
16,"('#medee', ""L'amour a quelquefois fait verser bien des pleurs !"")",,1.0,Insertion
17,"('#aetes', 'Combien tu chériras des noeuds doux et paisibles.')","('#la-paix', ""Laissons-les s'égarer dans leurs vagues projets, Et goûtons les douceurs d'un repos plein d'attraits."")",0.78,Substitution
18,"('#medee', ""Combien vous gémirez d'avoir fait mes malheurs !"")","('#pan #la-paix', ""Préparons des fêtes nouvelles: Rappelons en ces lieux l'amour et les plaisirs; Et par des chansons immortelles Signalons le bonheur qui s'offre à nos desirs. Le choeur répète ces quatre derniers vers ; la suite de la Paix et celle de Pan forment une entrée, au milieu de laquelle deux bergers chantent séparément les deux couplets qui suivent."")",1.49,Substitution
19,"('#aetes', ""Ô sagesse ! Ô prodige Quand son refus m'afflige, Je suis contraint à l'admirer. ENSEMBLE."")","('#premier-berger', ""Tôt ou tard l'amour nous engage. C'est un juste tribut qu'on doit à ce vainqueur; Quand la raison nous dit que nous avons un coeur, L'amour nous en apprend l'usage."")",1.08,Substitution
20,"('#aetes', ""Ô sagesse ! Ô prodige! Quand ton refus m'afflige, Je suis contraint à l'admirer."")",,1.0,Insertion
21,"('#medee', ""Ô tendresse ! Ô prodige ! Quand son pouvoir m'afflige. Je suis contrainte à l'adorer."")","('#second-berger', ""En vain, pour fuir l'amour, un coeur veut se contraindre : C'est un feu qu'on ne peut calmer; Et tout ce qu'on fait pour l'éteindre, Ne sert souvent qu'à l'allumer.."")",0.71,Substitution
22,"('#aetes', ""Jeune héros, qui, des champs de la Grèce, Êtes venu dans un monde nouveau, Pour épargner à ma vieillesse, L'affront qui l'eût mise au tombeau : Je remets avec joie, au vengeur de l'empire, Le prix que son amour avait sollicité : Ce prix est la vertu, la grâce, et la beauté."")","('#la-paix', ""Retraçons aujourd'hui la célèbre entreprise Qui conduisit Jason sur les bords de Colchos Et montrons ce que peut la vertu d'un héros, Lorsque le ciel la favorise."")",1.17,Substitution
23,"('#jason', ""Princesse, confirmez le bonheur où j'aspire."")","('#le-choeur', ""Charmants plaisirs jeux pleins d'appas, Venez, rassemblez-vous dans ces heureux climats."")",0.86,Substitution
