,regnard-coquette,regnard-filles-errantes,Cost,Operation Type
0,"('#arlequin', ""Vous en avez menti, messieurs les commis de la barrière, je ne dois rien : vous êtes des fripons.  On est plus assuré au milieu des bois que dans ce maudit pays-ci : on ne saurait faire un pas qu'on ne trouve un filou.  Il n'y a pas une demi-heure que je suis arrivé dans Paris, et me voilà déjà presque tout déshabillé...  Au voleur !  Au voleur !  Quelle maudite nation !  À peine suis-je entré dans la ville, qu'on fait derrière mon cheval l'opération à ma valise ; on en tire les hardes, et on la fait accoucher avant terme.  En descendant à l'hôtellerie, on m'escamote ma casaque.  Je fais deux pas dans la rue, un fiacre me couvre de boue depuis les pieds jusqu'à la tête ; un porteur de chaise me donne d'un de ses bâtons dans le dos : il vient un homme me saluer ; je lui ôte mon chapeau, un coquin par derrière m'arrache ma perruque ; et, pour comble de friponneries, on veut me faire payer l'entrée à la porte comme bête à cornes, parce que je viens pour me marier...  Attendez donc que je sois... "")",,1.0,Insertion
1,"('#arlequin', ""Monsieur, n'êtes-vous pas un coupeur de bourses ?  Au lieu de répondre, Mezzetin tourne autour de lui, l'examine en se moquant de lui ; et Arlequin fait des lazzis de frayeur. Le restant de cette scène consiste dans un jeu italien. "")","('#isabelle', 'Que vous plaît-il, monsieur ?')",1.24,Substitution
2,,"('#arlequin', ""Écoute, Claudine ; voici un gentilhomme qui vient loger chez moi avec sa soeur ; il faut que tu leur donnes deux chambres l'une contre l'autre."")",1.0,Deletion
3,"('#colombine', ""Holà, quelqu'un !  N'ai-je là personne ?  Cascaret, Jasmin, Pierrot, Bagatelle, Bagatelle ! "")","('#isabelle', ""Ciel !  Que vois-je ?  Cinthio avec une autre que moi, qu'il fait passer pour sa soeur !"")",1.34,Substitution
4,"('#colombine', ""D'où vient, petit garçon, qu'il faut vous appeler tant de fois ? "")",,1.0,Insertion
5,"('#bagatelle', ""Mademoiselle, c'est que j'achevais ma main au lansquenet. "")",,1.0,Insertion
6,"('#colombine', ""N'est-il venu personne me demander ? "")","('#arlequin', 'Claudine, tu ne me réponds point.')",1.23,Substitution
7,"('#bagatelle', ""Il est venu cinq ou six personnes ; mais j'ai oublié leurs noms et ce qu'elles m'ont dit. "")",,1.0,Insertion
8,"('#colombine', 'Le petit étourdi !')",,1.0,Insertion
9,"('#pierrot', ""Monsieur le conseiller a dit qu'il allait revenir.  Il est venu aussi cette grande femme qui a le visage si creux, qui vous viendra voir tantôt, quand elle aura été chez son libraire. "")","('#isabelle', ""Le traître !  Il ne fait pas semblant de me connaître.  J'ai tout quitté pour le chercher, et il ne daigne pas seulement me regarder."")",1.36,Substitution
