dancourt-desolation-des-joueuses,dancourt-femme-d-intrigues,Score
"('#lisette', ""Quand Madame votre mère en devrait enrager cent fois davantage, je ne saurais m'empêcher d'en être ravie, et je gage que vous en êtes pour le moins aussi contente que moi."")",-,0.0
"('#angelique', ""Je t'avoue, Lisette, que je voudrais de tout mon coeur que ce ne fût point uue fausse nouvelle, et que ce qu'on nous en disait hier au soir se confirmât aujourd'hui."")",-,0.0
"('#lisette', ""Cela est tout confirmé, il n'est encore venu ni joueur ni joueuse d'aujourd'hui.  Voilà déjà la cohue écartée, Dieu merci !  Et je sais bien pour moi, que si j'avais gouverné la police, il y a longtemps que l'affaire serait faite, et qu'on ne parlerait plus de ces maudits jeux, qui causent tant de désordre, et qui m'ont fait passer tant de nuits sans me coucher."")",-,0.0
"('#angelique', ""Ce ne sont point les veilles qui me fatiguent, et le jeu même ne me déplairait pent-être point si fort, si l'on jouait ailleurs que chez ma mère mais, que cette maison soit une Académie ouverte à toutes sortes de gens ; que tout ce qu'il y a de fainéants, de ridicules et d'extravagants, pour ne rien dire de plus fâcheux, soient les bienvenus dans ce logis ; que dans mon cabinet, à ma toilette même, je sois éternellement obsédée de quelque visage désagréable, à qui je n'ose dire : vous me fatiguez, parce qu'il perd quelquefois son argent avec ma mère en vérité : c'est un supplice dont je serai bien aise d'être débarrassée."")",-,0.0
"('#lisette', ""À propos de cet argent qu'on perd quelquefois contre Madame votre mère je n'y faisais pas réflexion d'abord, et je ne sais si vous avez tout à fait raison d'être bien aise de ce nouveau règlement.  Le lansquenet défendu va rogner ses rentes et son équipage, et vous n'en serez peut-être pas mieux.  Je commence à n'être plus si réjouie."")",-,0.0
"('#angelique', ' Ah !  Plût au ciel, Lisette, être la plus malheureuse demoiselle du royaume, et que ma mère ne fût jamais entrée dans ce commerce.')",-,0.0
"('#lisette', ""Voilà des sentiments fort nobles, assurément, et je ne doute point que Dorante n'ait beaucoup contribué à vous les inspirer.  Franchement, Madame, c'est un fort honnête homme, et il faut qu'il vous aime bien tendrement, pour ne s'être point rebuté des manières de Madame votre mère et du refus qu'elle fit à la personne qui vous demanda pour lui il y a quelques mois."")",-,0.0
"('#angelique', ""Je ne sais ; il me semble que dans l'état où sont les choses, si la nouvelle est vraie, il devrait être ici."")",-,0.0
"('#lisette', ""Vous avez raison, Dorante devrait être ici.  Je l'ai fait avertir dès le matin, comme vous me l'avez commandé et il viendra bientôt, assurément."")",-,0.0
"('#angelique', 'Le voici, Lisette.')",-,0.0
"('#lisette', ""Je vous disais-je pas bien qu'il ne tarderait guère ?"")",-,0.0
"('#dorante', ""Hé bien !  Madame, puis-je espérer que le changement dont on parle aujourd'hui dans tout Paris, fera changer les sentiments de Madame votre mère, et croyez-vous qu'elle me pardonne maintenant de n'être pas joueur de profession ?"")",-,0.0
"('#lisette', ""Je le crois, pour moi, et il me semble qu'il n'y a pas lieu d'en douter, puisque voilà vos sentiments justifiés par arrêt."")",-,0.0
"('#angelique', ""Je vous réponds de mon coeur, Dorante ; mais je ne puis vous répondre de ma mère.  Je vous ai déjà dit les raisons, qui jusqu'ici, je crois, l'ont rendue contraire à votre amour.  Elle m'a parlé tant de fois, et en des termes si avantageux, du chevalier de Bellemonte, que je la soupçonne de m'avoir destinée pour lui, dans l'espérance de quelque fortune considérable, qu'il lui avait promis de faire au lansquenet."")",-,0.0
"('#lisette', ""Oh !  Bien, bien !  Votre mère n'a eu que cette visée, vos affaires vont le mieux du monde, et voilà les espérances et la fortune du chevalier bien aventurées."")",-,0.0
"('#dorante', ""Le chevalier est un aventurier tombé des nues, qu'on ne connaît que par le jeu, et qui ne subsistait que par là, comme mille autres de son caractère."")",-,0.0
"('#lisette', ""Voilà bien des chevaliers à l'hôpital.  Que de banqueroutes !"")",-,0.0
"('#dorante', ""Le chevalier de Bellemonte !  Si cela est, je suis bien vengé de Madame votre mère, par l'indignité du rival qu'elle me préférait."")",-,0.0
"('#lisette', ""Oh !  ça, ça, laissons là la bagatelle, s'il vous plaît, et venons au fait.  Comment nous y prendrons-nous ?  Qui ferons-nous parler à Madame ?"")",-,0.0
"('#dorante', 'Tu sais de quel air mon oncle fut refusé ?')",-,0.0
"('#lisette', ""D'accord ; mais Monsieur votre oncle se portait à merveille quand on le refusa, et il est fort mal à présent."")",-,0.0
"('#dorante', ""Il ne peut pas vivre longtemps encore.  Je viens d'envoyer chez lui, et l'on m'en viendra dire ici des nouvelles."")",-,0.0
"('#lisette', ""Voilà des conjectures merveilleuses, au moins.  Le lansquenet défendu, et un oncle presque à l'agonie !  Vos affaires ne sont point désespérées, vous dis-je."")",-,0.0
"('#dorante', 'Eh bien ! Crois-tu que je puisse hasarder une seconde demande ?')",-,0.0
"('#lisette', 'Oui ; mais par qui la ferons-nous faire, cette demande ?')",-,0.0
"('#dorante', 'Je ne sais.')",-,0.0
"('#lisette', ""Si vous aviez quelque riche grand'mère sur le bord de sa fosse, cela serait d'un fort grand poids."")",-,0.0
"('#dorante', ""Je n'en ai point."")",-,0.0
"('#lisette', ""Faites parler par le médecin de votre oncle, et qu'il lui promette de le dépêcher incessamment."")",-,0.0
