beissier-proprietaire-et-locataire,beissier-locataire,Score
"('#guignol', ""Plus moyen de trouver un sou !  C'est fini.  Mon pauvre Guignol, tu y es.  Mais là, en plein, dans la panade.  J'ai visité tous mes amis ; ceux qui avaient ne voulaient pas ; ceux qui voulaient, n'avaient pas.  Comment faire ?  Ce qui me gêne le plus, c'est mon propriétaire.  Voilà trois fois qu'il envoie le concierge ; et voilà trois fois que je prie cet estimable fonctionnaire de revenir.  Et il revient toujours !  Il y a des gens qui ont vraiment de la constance.  Et puis payer, c'est bien facile à dire.  Il faut pouvoir.  Quelle invention bête que les créanciers, et que ces gens-là sont vraiment mal appris de venir nous réclamera tout instant ce qu'on a eu la faiblesse de leur emprunter !  En attendant je vais me coucher.  Je rêverai peut-être que je suis millionnaire, et que c'est moi qui suis à mon tour le créancier de ma propriétaire.  Il passerait un joli quart d'heure, je ne vous dis que ça.  Allons !  On frappe !  Qui peut bien venir à cette heure ?  Si c'était la fortune !  Elle ne s'annoncerait pas autrement. On y va !  On y va !  Le concierge !  Encore.  Ah !  Il m'ennuie à la fin ! Au moment où il va pour sortir, on entend frappera la porte. On frappe encore. Il va ouvrir."")","('#guignol', ""Plus moyen de trouver un sou !  C'est fini.  Mon pauvre Guignol, tu y es.  Mais là, en plein, dans la panade.  J'ai visité tous mes amis ; ceux qui avaient ne voulaient pas; ceux qui voulaient, n'avaient pas.  Comment faire ?  Ce qui me gêne le plus, c'est mon propriétaire.  Voilà trois fois qu'il envoie le concierge ; et voilà trois fois que je prie cet estimable fonctionnaire de revenir.  Et il revient toujours !  Il y a des gens qui ont vraiment de la constance.  Et puis payer, c'est bien facile à dire.  Il faut pouvoir.  Quelle invention bête que les créanciers, et que ces gens-là sont vraiment mal appris de venir nous réclamera tout instant ce qu'on a eu la faiblesse de leur emprunter !  En attendant je vais me coucher.  Je rêverai peut-être que je suis millionnaire, et que c'est moi qui suis à mon tour le créancier de ma propriétaire.  Il passerait un joli quart d'heure, je ne vous dis que ça.  Allons ! On frappe !  Qui peut bien venir à cette heure ?  Si c'était la fortune !  Elle ne s'annoncerait pas autrement. On y va !  On y va !  Le concierge !  Encore.  Ah !  Il m'ennuie à la fin ! Au moment où il va pour sortir, on entend frappera la porte. On frappe encore. Il va ouvrir."")",0.9989630579948425
"('#guignol', 'Encore vous !')","('#guignol', 'Encore vous !')",0.9999997019767761
"('#le-concierge', 'Encore moi !  Tout à votre service.')","('#le-concierge', 'Encore moi !  Tout à votre service.')",0.9999998807907104
"('#guignol', ""Et quel heureux hasard me procure l'honneur de votre visite ?"")","('#guignol', ""Et quel heureux hasard me procure l'honneur de votre visite ?"")",1.0
"('#le-concierge', ""Oh !  Mon_Dieu, pas grand'chose. Ceci. Lui montrant un papier."")","('#le-concierge', ""Oh !  Mon_Dieu, pas grand'chose. Ceci. Lui montrant un papier."")",1.000000238418579
"('#guignol', 'Quoi ?')","('#guignol', 'Quoi ?')",0.9999997615814209
"('#le-concierge', 'Votre quittance de loyer.')","('#le-concierge', 'Votre quittance de loyer.')",0.9999998807907104
"('#guignol', 'Je ne lis jamais ces choses-là.')","('#guignol', 'Je ne lis jamais ces choses-là.')",0.9999999403953552
"('#le-concierge', ""Il ne s'agit pas de lire, mais de payer."")","('#le-concierge', ""Il ne s'agit pas de lire, mais de payer."")",0.9999996423721313
"('#guignol', 'Payer ? Pourquoi faire ?')","('#guignol', 'Payer ?  Pourquoi faire ?')",1.0000001192092896
"('#le-concierge', 'Comment !  Pourquoi faire ?')","('#le-concierge', 'Comment !  Pourquoi faire ?')",0.9999999403953552
"('#guignol', 'Oui, expliquez-moi !  Parce que, au fond, voyez-vous, moi je ne demande pas mieux que de payer.')","('#guignol', 'Oui, expliquez-moi !  Parce que, au fond, voyez-vous, moi je ne demande pas mieux que de payer.')",0.9999998211860657
"('#le-concierge', 'Vous allez payer !')","('#le-concierge', 'Vous allez payer !')",1.0
"('#guignol', 'Je ne dis pas cela.')","('#guignol', 'Je ne dis pas cela.')",0.9999999403953552
"('#le-concierge', 'Mais vous devez ?')","('#le-concierge', 'Mais vous devez ?')",1.0
"('#guignol', ""Je ne l'ai jamais nié."")","('#guignol', ""Je ne l'ai jamais nié."")",0.9999997615814209
"('#le-concierge', 'Ainsi vous ne voulez pas payer !')","('#le-concierge', 'Ainsi vous ne voulez pas payer !')",1.000000238418579
"('#guignol', 'Oh !  Fi, le vilain homme, qui me parle dans le nez.')","('#guignol', 'Oh !  Fi, le vilain homme, qui me parle dans le nez.')",0.9999999403953552
"('#le-concierge', 'Une fois, deux fois, trois fois, vous ne voulez pas !')","('#le-concierge', 'Une fois, deux fois, trois fois, vous ne voulez pas !')",1.0
"('#guignol', 'Si...')","('#guignol', 'Si...')",0.9999998807907104
"('#le-concierge', 'Ah !')","('#le-concierge', 'Ah !')",0.9999999403953552
"('#guignol', 'Combien dois-je ?')","('#guignol', 'Combien dois-je ?')",1.0
"('#le-concierge', 'Trente-deux_francs.')","('#le-concierge', 'Trente-deux_francs.')",0.9999998211860657
"('#guignol', ""Parfait.  Payez pour moi, prêtez m'en dix-huit et ce sera cinquante francs que je vous devrai."")","('#guignol', ""Parfait.  Payez pour moi, prêtez m'en dix-huit et ce sera cinquante_francs que je vous devrai."")",0.9724132418632507
"('#le-concierge', ""Ah !  C'est ainsi !  Vous voulez vous moquer de moi !  Vous allez voir. Entrez, maître Furet. Se tournant vers la porte. Maître Furet entre."")","('#le-concierge', ""Ah !  C'est ainsi !  Vous voulez vous moquer de moi !  Vous allez voir. Entrez, maître_Furet. Se tournant vers la porte. Maître Furet entre."")",0.9765306115150452
"('#guignol', ""Qu'est-ce que c'est que ça !"")","('#guignol', ""Qu'est-ce que c'est que ça !"")",1.0
"('#le-concierge', ""Ça !  C'est un huissier."")","('#le-concierge', ""Ça !  C'est un huissier."")",0.9999998807907104
"('#guignol', ""Il en a bien l'air."")","('#guignol', ""Il en a bien l'air."")",1.0000001192092896
"('#maitre-furet', 'Insolent !')","('#maitre-furet', 'Insolent !')",1.0000004768371582
"('#guignol', ""Ah !  Tu sais, toi !  Ne m'échauffe pas la bile, ou je cogne."")","('#guignol', ""Ah !  Tu sais, toi !  Ne m'échauffe pas la bile, ou je cogne."")",1.0000001192092896
"('#le-concierge', 'Ne prêtez pas attention à ce que dit cet homme, et faites votre devoir.')","('#le-concierge', 'Ne prêtez pas attention à ce que dit cet homme, et faites votre devoir.')",1.0
"('#maitre-furet', 'Je vais inventorier.')","('#maitre-furet', 'Je vais inventorier.')",1.0000001192092896
"('#guignol', 'Inven... quoi !')","('#guignol', 'Inven... quoi !')",1.000000238418579
"('#le-concierge', 'Inventorier votre mobilier.')","('#le-concierge', 'Inventorier votre mobilier.')",1.0
"('#guignol', 'Mon mobilier ?')","('#guignol', 'Mon mobilier ?')",0.9999998211860657
"('#maitre-furet', 'Aux fins de saisie. Item : une table, dito.. Il écrit.')","('#maitre-furet', 'Aux fins de saisie. Item : une table, dito.. Il écrit. ')",1.0
"('#guignol', ""Attends, je vais t'en donner de l'item et du dito."")","('#guignol', ""Attends, je vais t'en donner de l'item et du dito."")",1.000000238418579
"('#le-concierge', ""Et surtout n'oubliez rien."")","('#le-concierge', ""Et surtout n'oubliez rien."")",0.9999998807907104
"('#maitre-furet', ""Soyez tranquille...  Rien ne m'échappe !"")","('#maitre-furet', ""Soyez tranquille...  Rien ne m'échappe !"")",1.0
"('#guignol', ""Tu ne m'échapperas pas, non plus, vieux melon I"")","('#guignol', ""Tu ne m'échapperas pas, non plus, vieux melon !"")",0.931937575340271
