,quinault-alceste,quinault-isis,Cost,Operation Type
0,"('#la-nymphe-de-la-seine', ""LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  On n'entend plus d'Oiseau qui chante,  On ne voit plus de Fleurs qui naissent sous nos pas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  L'herbe naissante  Paraît mourante,  Tout languit avec moi dans ces lieux plein d'appas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Bruit de Guerre. Quel bruit de guerre m'épouvante ?  Quelle Divinité va descendre ici-bas. "")","('#la-renommee #suite', 'Publions en tous lieux Du plus grand des héros la valeur triomphante. Que la Terre et les cieux  Retentissent du bruit de sa gloire éclatante.')",1.19,Substitution
1,"('#la-nymphe-de-la-seine', ""Hélas ! Superbe Gloire, hélas !  Ne dois-tu point être contente !  LE HEROS que j'attends, ne reviendra-t-il pas ?  Il ne te suit que trop dans l'horreur des Combats ;  Laisse en paix un moment sa Valeur triomphante  LE HEROS que j'attends, ne reviendra-t-il pas ? "")","('#la-renommee', ""C'est lui dont les Dieux ont fait choix  Pour combler le bonheur de l'Empire François, En vain pour le troubler, tout s'unit, tout conspire, C'est en vain que l'Envie a ligué tant de rois. Heureux l'Empire  Qui suit ses lois !"")",0.88,Substitution
2,,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
3,"('#la-gloire', ""Pourquoi tant de murmure ? Nymphe, ta plainte est vaine,  Tu ne peux voir sans moi LE HEROS que tu sers,  Si son éloignement te coûte tant de peine,  Il récompense assez les douceurs que tu perds,  Vois ce qu'il fait pour Toi, quand la Gloire l'emmène ;  Vois comme sa Valeur a soumis à la Seine  Le Fleuve le plus fier qui soit dans l'Univers. "")","('#la-renommee', ""Il faut que partout on l'admire Parlons de ses vertus racontons ses exploits, A peine y pourrons nous suffire Avec toutes nos voix;"")",0.6,Substitution
4,,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
5,"('#la-nymphe-de-la-seine', 'On ne voit plus ici paraître  Que des Ornements imparfaits ;  Ah ! Rends-nous notre AUGUSTE MAITRE,  Tu nous rendras tous nos attraits. ')","('#la-renommee', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",1.27,Substitution
6,,"('#le-choeur', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",1.0,Deletion
7,"('#la-gloire', ""Il revient, et tu dois m'en croire ;  Je lui sers de guide avec soin :  Puisque tu vois la Gloire,  Ton Héros n'est pas loin.  Il laisse respirer tout le Monde qui tremble ;  Soyons ici d'accord pour combler ses désirs. "")","('#deux-tritons', ""C'est le Dieu des eaux qui va paraître Rangeons nous près de notre Maître Enchaînons les vents les plus terribles Que le bruit des flots cède à nos chants. Régnez Zéphirs paisibles, Ramenez le doux printemps."")",0.35,Substitution
8,"('#ensemble', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")","('#neptune', ""Mon empire a servi de théâtre à la guerre, Publiez des exploits nouveaux C'est le même vainqueur Si fameux sur la terre Qui triomphe encor sur les eaux."")",1.58,Substitution
9,"('#la-nymphe-de-la-seine', ""Naïades, Dieux des Bois, Nymphes, que tout s'assemble,  Qu'on entende nos chants après tant de soupirs. "")","('#la-renommee #neptune', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",0.86,Substitution
10,"('#choeur', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")","('#choeurs', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",1.6,Substitution
11,"('#la-nymphe-des-tuileries', ""L'art d'accord avec la Nature  Sert l'Amour dans ces lieux charmants :  Ces Eaux qui font rêver par un si doux murmure,  Ces Tapis où les Fleurs forment tant d'ornements,  Ces Gazons, ces Lits de verdure,  Tout n'est fait que pour les Amants."")","('#calliope', 'Cessez pour quelque temps bruit terrible des armes Qui troublez le repos de cent climats divers  Ne troublez point les charmes De nos divins concerts.')",0.74,Substitution
12,"('#la-nymphe-de-la-marne', ""L'onde se presse  D'aller sans cesse  Jusqu'au bout de son cours :  S'il faut qu'un coeur suive une pente,  En est-il qui soit plus charmante  Que le doux penchant des Amours ?  On danse."")","('#calliope #thalie #apollon', 'Ne troublez point les charmes De nos divins concerts.')",0.9,Substitution
13,"('#la-gloire #la-nymphe-de-la-seine', 'Que tout retentisse,  Que tout réponde à nos voix. ')","('#calliope', 'Recommençons nos chants, Allons les faire entendre.')",0.29,Substitution
14,,"('#melpomene', 'Dans une auguste Cour.')",1.0,Deletion
15,"('#la-nymphe-de-la-tuileries', 'Que tout fleurisse  Dans nos jardins et dans nos bois. ')","('#thalie', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.76,Substitution
16,"('#la-nymphe-de-la-marne', ""Que le Chant des Oiseaux s'unisse  Avec le doux son des Hautbois. "")","('#calliope', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.6,Substitution
17,,"('#calliope #thalie #apollon', 'Près du Vainqueur allons attendre son bienheureux retour.')",1.0,Deletion
18,"('#tous-ensemble', ""Que tout retentisse,  Que tout réponde à nos voix :  Que le Chant des Oiseaux s'unisse  Avec le doux son des hautbois. Que tout retentisse,  Que tout réponde à nos voix.  On danse."")","('#apollon', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux. Les Muses et les Arts  Vont signaler leur zèle, Je vais favoriser leurs voeux Nous préparons une fête nouvelle Pour le Héros qui les appelle Dans cet asile heureux')",0.92,Substitution
19,"('#choeur', ""Quel coeur sauvage  Ici ne s'engage ?  Quel coeur sauvage  Ne sent point l'amour ?  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  Ah, quel dommage  De fuir ce rivage !  Ah, quel dommage  De perdre un beau jour !  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  On danse."")","('#le-choeur', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux.')",0.81,Substitution
20,"('#choeurs', 'Revenez, Plaisirs exilés,  Volez de toutes parts, volez.  Les Plaisirs volent, et viennent préparer des Divertissements.')","('#la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",0.06,Substitution
21,"('#choeur', 'Vivez, vivez, heureux époux. ')","('#apollon #neptune #la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",1.03,Substitution
22,"('#licas', 'Votre Ami le plus cher, épouse la Princesse  La plus charmante de la Grèce :  Lorsque chacun les suit, Seigneur, les fuyez-vous ? ')",,1.0,Insertion
23,"('#choeur', 'Vivez, vivez, heureux Époux. ')","('#le-choeur', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",0.66,Substitution
24,"('#licas', ""Vous paraissez troublé des cris qui retentissent ?  Quand deux Amants heureux s'unissent  Le coeur du grand Alcide en serait-il jaloux ? "")","('#hierax', ""Cessons d'aimer une infidèle, Évitons la honte cruelle De servir, d'adorer qui ne nous aime plus. Achevons de briser les noeuds qu'elle a rompus. Dégageons nous, sortons d'un si funeste empire. Hélas ! Malgré moi je soupire ! Ah ! Mon coeur quelle lâcheté ! Quel charme te retient dans un honteux martyre ? Tu n'as pas craint des fers qui nous ont tant coûté As-tu peur de ta liberté ? Revenez, revenez Liberté charmante Vous n'êtes que trop diligente Lorsqu'il faut dans un coeur faire place à l'Amour; Mais que vous êtes lente Lorsqu'un juste dépit presse votre retour."")",0.93,Substitution
