,musset-lorenzaccio,rostand-cyrano,Cost,Operation Type
0,,"('#le-portier', 'Holà ! Vos quinze sols !')",1.0,Deletion
1,"('#le-duc', ""Qu'elle se fasse attendre encore un quart d'heure, et je m'en vais.  Il fait un froid de tous les diables."")","('#le-cavalier', ""J'entre gratis !"")",1.46,Substitution
2,"('#lorenzo', 'Patience, altesse, patience.')","('#le-portier', 'Pourquoi ?')",1.59,Substitution
3,,"('#le-cavalier', 'Je suis chevau-léger de la maison du Roi !')",1.0,Deletion
4,,"('#le-portier', 'Vous ?')",1.0,Deletion
5,,"('#deuxieme-cavalier', 'Je ne paye pas !')",1.0,Deletion
6,,"('#le-portier', 'Mais...')",1.0,Deletion
7,,"('#deuxieme-cavalier', 'Je suis mousquetaire.')",1.0,Deletion
8,"('#le-duc', 'Elle devait sortir de chez sa mère à minuit ; il est minuit, et elle ne vient pourtant pas.')","('#premier-cavalier', ""On ne commence qu'à deux heures. Le parterre Est vide. Exerçons-nous au fleuret. Ils font des armes avec des fleurets qu'ils ont apportés."")",1.57,Substitution
9,,"('#un-laquais', 'Pst... Flanquin...')",1.0,Deletion
10,"('#lorenzo', 'Si elle ne vient pas, dites que je suis un sot, et que la vieille mère est une honnête femme.')",,1.0,Insertion
11,"('#le-duc', ""Entrailles du pape !  Avec tout cela je suis volé d'un millier de ducats !"")","('#un-laquais', 'Champagne ?...')",1.2,Substitution
12,,"('#premier-cavalier', ""Cartes. Dés. Jouons. Il s'assied par terre."")",1.0,Deletion
13,,"('#deuxieme-cavalier', 'Oui, mon coquin.')",1.0,Deletion
14,,"('#premier-laquais', ""J'ai soustrait à mon maître un peu de luminaire."")",1.0,Deletion
15,"('#lorenzo', ""Nous n'avons avancé que moitié.  Je réponds de la petite.  Deux grands yeux languissants, cela ne trompe pas.  Quoi de plus curieux pour le connaisseur que la débauche à la mamelle ?  Voir dans une enfant de quinze ans la rouée à venir ; étudier, ensemencer, infiltrer paternellement le filon mystérieux du vice dans un conseil d'ami, dans une caresse au menton ; tout dire et ne rien dire, selon le caractère des parents ; - habituer doucement l'imagination qui se développe à donner des corps à ses fantômes, à toucher ce qui l'effraye, à mépriser ce qui la protège !  Cela va plus vite qu'on ne pense ; le vrai mérite est de frapper juste.  Et quel trésor que celle-ci !  Tout ce qui peut faire passer une nuit délicieuse à Votre Altesse !  Tant de pudeur !  Une jeune chatte qui veut bien des confitures, mais qui ne veut pas se salir la patte.  Proprette comme une Flamande !  La médiocrité bourgeoise en personne.  D'ailleurs, fille de bonnes gens, à qui leur peu de fortune n'a pas permis une éducation solide ; point de fond dans les principes, rien qu'un léger vernis ; mais quel flot violent d'un fleuve magnifique sous cette couche de glace fragile qui craque à chaque pas !  Jamais arbuste en fleur n'a promis de fruits plus rares, jamais je n'ai humé dans une atmosphère enfantine plus exquise odeur de courtisanerie."")","('#un-garde', ""C'est gentil de venir avant que l'on éclaire !... Il lui prend la taille."")",0.85,Substitution
16,,"('#un-bretteur', 'Touche !')",1.0,Deletion
17,,"('#un-joueur', 'Trèfle !')",1.0,Deletion
18,,"('#le-garde', 'Un baiser !')",1.0,Deletion
19,"('#le-duc', ""Sacrebleu !  Je ne vois pas le signal.  Il faut pourtant que j'aille au bal chez Nasi ; c'est aujourd'hui qu'il marie sa fille."")","('#la-bouquetiere', 'On voit !...')",1.64,Substitution
20,,"('#le-garde', 'Pas de danger !')",1.0,Deletion
21,"('#giomo', ""Allons au pavillon, monseigneur.  Puisqu'il ne s'agit que d'emporter une fille qui est à moitié payée, nous pouvons bien taper aux carreaux."")","('#un-homme', ""Lorsqu'on vient en avance, on est bien pour manger."")",1.63,Substitution
