corneillep-cid,corneillep-cid-37,Score
"('#chimene', ""Elvire, m'as-tu fait un rapport bien sincère ? Ne déguises-tu rien de ce qu'a dit mon père ?"")",-,0.0
-,"('#elvire', ""Entre tous ces amants dont la jeune ferveur Adore votre fille, et brigue ma faveur, Don Rodrigue et Don Sanche à l'envi font paraître Le beau feu qu'en leurs coeurs ses beautés ont fait naître, Ce n'est pas que Chimène écoute leurs soupirs, Ou d'un regard propice anime leurs désirs, Au contraire pour tous dedans l'indifférence Elle n'ôte à pas un, ni donne d'espérance, Et sans les voir d'un oeil trop sévère, ou trop doux, C'est de votre seul choix qu'elle attend un époux."")",0.0
-,"('#le-comte', ""Elle est dans le devoir, tous deux sont dignes d'elle, Tous deux formés d'un sang, noble, vaillants, fidèle, Jeunes, mais qui font lire aisément dans leurs yeux L'éclatante vertu de leurs braves aïeux. Don Rodrigue sur tout n'a trait en son visage Qui d'un homme de coeur ne soit la haute image, Et sort d'une maison si féconde en guerriers, Qu'ils y prennent naissance au milieu des lauriers, La valeur de son père, en son temps sans pareille, Tant qu'a duré sa force a passé pour merveille, Ses rides sur son front ont gravé ses exploits, Et nous disent encor ce qu'il fut autrefois : Je me promets du fils ce que j'ai vu du père, Et ma fille en un mot peut l'aimer et me plaire. Va l'en entretenir, mais dans cet entretien Cache mon sentiment et découvre le sien, Je veux qu'à mon retour nous en parlions ensemble ; L'heure à présent m'appelle au conseil qui s'assemble, Le Roi doit à son fils choisir un Gouverneur, Ou plutôt m'élever à ce haut rang d'honneur, Ce que pour lui mon bras chaque jour exécute, Me défend de penser qu'aucun me le dispute."")",0.0
-,"('#elvire', 'Quelle douce nouvelle à ces jeunes amants ! Et que tout se dispose à leurs contentements !')",0.0
-,"('#chimene', ""Et bien, Elvire, enfin, que faut-il que j'espère ? Que dois-je devenir, et que t'as dit mon père ?"")",0.0
"('#elvire', ""Tous mes sens à moi-même en sont encor charmés, Il estime Rodrigue autant que vous l'aimez, Et si je ne m'abuse à lire dans son âme, Il vous commandera de répondre à sa flamme."")","('#elvire', ""Deux mots dont vos sens doivent être charmés, Il estime Rodrigue autant que vous l'aimez."")",0.6597567200660706
"('#chimene', ""Dis-moi donc, je te prie, une seconde fois Ce qui te fait juger qu'il approuve mon choix, Apprends-moi de nouveau quel espoir j'en dois prendre ; Un si charmant discours ne se peut trop entendre, Tu ne peux trop promettre aux feux de notre amour La douce liberté de se montrer au jour. Que t'a-t-il répondu sur la secrète brigue Que font auprès de toi Don_Sanche et Don_Rodrigue ? N'as-tu point trop fait voir quelle inégalité Entre ces deux amants me penche d'un côté ?"")","('#chimene', ""L'excès de ce bonheur me met en défiance, Puis-je à de tels discours donner quelque croyance ?"")",0.6055259704589844
"('#elvire', ""Non, j'ai peint votre coeur dans une indifférence Qui n'enfle d'aucun d'eux, ni détruit l'espérance, Et sans les voir d'un oeil trop sévère ou trop doux, Attend l'ordre d'un père à choisir un époux. Ce respect l'a ravi, sa bouche et son visage M'en ont donné sur l'heure un digne témoignage, Et puisqu'il vous en faut encor faire un récit, Voici d'eux et de vous ce qu'en hâte il m'a dit. « Elle est dans le devoir ; tous deux sont dignes d'elle, Tous deux formés d'un sang, noble, vaillant, fidèle, Jeunes, mais qui font lire aisément dans leurs yeux L'éclatante vertu de leurs braves aïeux. Don_Rodrigue surtout n'a trait en son visage Qui d'un homme de coeur ne soit la haute image, Et sort d'une maison si féconde en guerriers, Qu'ils y prennent naissance au milieu des lauriers. La valeur de son père en son temps sans pareille, Tant qu'a duré sa force, a passé pour merveille, Ses rides sur son front ont gravé ses exploits, Et nous disent encor ce qu'il fut autrefois. Je me promets du fils ce que j'ai vu du père, Et ma fille en un mot peut l'aimer et me plaire. » Il allait au Conseil, dont l'heure qui pressait A tranché ce discours qu'à peine il commençait, Mais à ce peu de mots je crois que sa pensée Entre vos deux amants n'est pas fort balancée. Le roi doit à son fils élire un gouverneur, Et c'est lui que regarde un tel degré d'honneur, Ce choix n'est pas douteux, et sa rare vaillance Ne peut souffrir qu'on craigne aucune concurrence. Comme ses hauts exploits le rendent sans égal, Dans un espoir si juste il sera sans rival, Et puisque Don_Rodrigue a résolu son père Au sortir du Conseil à proposer l'affaire, Je vous laisse à juger s'il prendra bien son temps, Et si tous vos désirs seront bientôt contents."")","('#elvire', ""Il passe bien plus outre, il approuve ses feux, Et vous doit commander de répondre à ses voeux. Jugez après cela puisque tantôt son père  Au sortir du Conseil doit proposer l'affaire, S'il pouvait avoir lieu de mieux prendre son temps, Et si tous vos désirs seront bientôt contents."")",0.6278884410858154
"('#chimene', ""Il semble toutefois que mon âme troublée Refuse cette joie, et s'en trouve accablée, Un moment donne au sort des visages divers, Et dans ce grand bonheur je crains un grand revers."")","('#chimene', ""Il semble toutefois que mon âme troublée Refuse cette joie, et s'en trouve accablée, Un moment donne au sort des visages divers, Et dans ce grand bonheur je crains un grand revers."")",0.9999998807907104
"('#elvire', 'Vous verrez cette crainte heureusement déçue.')","('#elvire', 'Vous verrez votre crainte heureusement déçue.')",0.9134761095046997
"('#chimene', ""Allons, quoi qu'il en soit, en attendre l'issue."")","('#chimene', ""Allons, quoiqu'il en soit, en attendre l'issue."")",0.9876377582550049
"('#l-infante', ""Page, allez avertir Chimène de ma part Qu'aujourd'hui pour me voir elle attend un peu tard, Et que mon amitié se plaint de sa paresse."")","('#l-infante', ""Va-t-en trouver Chimène, et lui dit de ma part Qu'aujourd'hui pour me voir elle attend un peu tard, Et que mon amitié se plaint de sa paresse. La page rentre."")",0.8852111101150513
"('#leonor', 'Madame, chaque jour même désir vous presse, Et dans son entretien je vous vois chaque jour Demander en quel point se trouve son amour.')","('#leonor', ""Madame, chaque jour même désir vous presse, Et je vous vois pensive et triste chaque jour L'informer avec soin comme va son amour."")",0.7868537902832031
"('#l-infante', ""Ce n'est pas sans sujet, je l'ai presque forcée À recevoir les traits dont son âme est blessée ; Elle aime Don_Rodrigue, et le tient de ma main, Et par moi Don_Rodrigue a vaincu son dédain. Ainsi de ces amants ayant formé les chaînes, Je dois prendre intérêt à voir finir leurs peines."")","('#l-infante', ""J'en dois bien avoir soin, je l'ai presque forcée À recevoir les coups dont son âme est blessée, Elle aime Don Rodrigue, et le tient de ma main, Et par moi Don Rodrigue a vaincu son dédain, Ainsi de ces amants ayant formé les chaînes, Je dois prendre intérêt à la fin de leurs peines."")",0.923221230506897
"('#leonor', ""Madame, toutefois parmi leurs bons succès Vous montrez un chagrin qui va jusqu'à l'excès. Cet amour, qui tous deux les comble d'allégresse Fait-il de ce grand coeur la profonde tristesse, Et ce grand intérêt que vous prenez pour eux Vous rend-il malheureuse alors qu'ils sont heureux ? Mais je vais trop avant, et deviens indiscrète."")","('#leonor', ""Madame, toutefois parmi leurs bons succès On vous voit un chagrin qui va jusqu'à l'excès. Cet amour qui tous deux les comble d'allégresse Fait-il de ce grand coeur la profonde tristesse ? Et ce grand intérêt que vous prenez pour eux Vous rend-il malheureuse alors qu'ils sont heureux ? Mais je vais trop avant, et deviens indiscrète."")",0.9856898784637451
"('#l-infante', ""Ma tristesse redouble à la tenir secrète. Écoute, écoute enfin comme j'ai combattu, Écoute quels assauts brave encor ma vertu. L'amour est un tyran qui n'épargne personne : Ce jeune cavalier, cet amant que je donne, Je l'aime."")","('#l-infante', ""Ma tristesse redouble à la tenir secrète. Écoute, écoute enfin comme j'ai combattu, Et plaignant ma faiblesse admire ma vertu. L'amour est un tyran qui n'épargne personne, Ce jeune chevalier, cet amant que je donne, Je l'aime."")",0.9332479238510132
"('#leonor', ""Vous l'aimez !"")","('#leonor', ""Vous l'aimez !"")",0.9999998807907104
"('#l-infante', 'Mets la main sur mon coeur, Et vois comme il se trouble au nom de son vainqueur, Comme il le reconnaît.')","('#l-infante', 'Mets la main sur mon coeur, Et vois comme il se trouble au nom de son vainqueur, Comme il le reconnaît.')",1.0000001192092896
"('#leonor', ""Pardonnez-moi, Madame, Si je sors du respect pour blâmer cette flamme. Une grande princesse à ce point s'oublier, Que d'admettre en son coeur un simple cavalier ! Et que dirait le Roi ? Que dirait la Castille ? Vous souvient-il encor de qui vous êtes fille ?"")","('#leonor', ""Pardonnez-moi, Madame, Si je sors du respect pour blâmer cette flamme. Choisir pour votre amour un simple Chevalier ! Une grande Princesse à ce point s'oublier ! Et que dira le Roi ? Que dira la Castille ? Vous souvenez-vous bien de qui vous êtes fille !"")",0.9071360230445862
