,quinault-atys,quinault-isis,Cost,Operation Type
0,"('#temps', ""En vain j'ai respecté la célèbre mémoire Des héros des siècles passés ; C'est en vain que leurs noms si fameux dans l'histoire, Du sort des noms communs ont été dispensés : Nous voyons un héros dont la brillante gloire Les a presque tous effacés."")","('#la-renommee #suite', 'Publions en tous lieux Du plus grand des héros la valeur triomphante. Que la Terre et les cieux  Retentissent du bruit de sa gloire éclatante.')",0.6,Substitution
1,,"('#la-renommee', ""C'est lui dont les Dieux ont fait choix  Pour combler le bonheur de l'Empire François, En vain pour le troubler, tout s'unit, tout conspire, C'est en vain que l'Envie a ligué tant de rois. Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
2,,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
3,"('#heures', ""Ses justes lois, Ses grands exploits Rendront sa mémoire éternelle : Chaque jour, chaque instant Ajoute encor à son nom éclatant Une gloire nouvelle. La déesse Flore conduite par un des zéphyrs s'avance avec une troupe de nymphes qui portent divers ornements de fleurs."")","('#la-renommee', ""Il faut que partout on l'admire Parlons de ses vertus racontons ses exploits, A peine y pourrons nous suffire Avec toutes nos voix;"")",0.36,Substitution
4,,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
5,,"('#la-renommee', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",1.0,Deletion
6,,"('#le-choeur', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",1.0,Deletion
7,"('#temps', ""La saison des frimas peut-elle nous offrir Les fleurs que nous voyons paraître ? Quel dieu les fait renaître Lorsque l'hiver les fait mourir ? Le froid cruel règne encore ; Tout est glacé dans les champs, D'où vient que Flore Devance le printemps ?"")","('#deux-tritons', ""C'est le Dieu des eaux qui va paraître Rangeons nous près de notre Maître Enchaînons les vents les plus terribles Que le bruit des flots cède à nos chants. Régnez Zéphirs paisibles, Ramenez le doux printemps."")",0.83,Substitution
8,"('#flore', ""Quand j'attends les beaux jours, je viens toujours trop tard, Plus le printemps s'avance, et plus il m'est contraire ; Son retour presse le départ Du héros à qui je veux plaire. Pour lui faire ma cour, mes soins ont entrepris De braver désormais l'hiver le plus terrible, Dans l'ardeur de lui plaire on a bientôt appris À ne rien trouver d'impossible."")","('#neptune', ""Mon empire a servi de théâtre à la guerre, Publiez des exploits nouveaux C'est le même vainqueur Si fameux sur la terre Qui triomphe encor sur les eaux."")",0.96,Substitution
9,"('#temps #flore', ""Les plaisirs à ses yeux ont beau se présenter, Sitôt qu'il voit Bellone, il quitte tout pour elle ; Rien ne peut l'arrêter Quand la gloire l'appelle. Le choeur des heures répète ces deux derniers vers. La suite de Flore commence des jeux mêlés de danses et de chants."")","('#la-renommee #neptune', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",1.04,Substitution
10,"('#zephir', ""Le printemps quelquefois est moins doux qu'il ne semble, Il fait trop payer ses beaux jours ; Il vient pour escorter les jeux et les amours, Et c'est l'hiver qui les rassemble. Melpomène qui est la muse qui préside à la tragédie, vient accompagnée d'une troupe de héros, elle est suivie d'Hercule, d'Antaee, de Castor, de Pollux, de Lyncée, d'Idas, d'Étéocle, et de Polynice."")","('#choeurs', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",1.61,Substitution
11,"('#melpomene', ""Retirez-vous, cessez de prévenir le temps ; Ne me dérobez point de précieux instants : La puissante Cybele Pour honorer Atys qu'elle a privé du jour, Veut que je renouvelle Dans une illustre cour Le souvenir de son amour. Que l'agrément rustique De Flore et de ses jeux, Cède à l'appareil magnifique De la muse tragique, Et de ses spectacles pompeux. La suite de Melpomène prend la place de la suite de Flore. Les héros recommencent leurs anciennes querelles. Hercule combat et lutte contre Antaee, Castor et Pollux combattent contre Lyncée et Idas, et Etéocle combat contre son frère Polynice. Iris, par l'ordre de Cybele, descend assise sur son arc, pour accorder Melpomène et Flore."")","('#calliope', 'Cessez pour quelque temps bruit terrible des armes Qui troublez le repos de cent climats divers  Ne troublez point les charmes De nos divins concerts.')",0.21,Substitution
12,"('#iris', ""Cybele veut que Flore aujourd'hui vous seconde. Il faut que les plaisirs viennent de toutes parts, Dans l'empire puissant, où règne un nouveau Mars, Ils n'ont plus d'autre asile au monde. Rendez-vous, s'il se peut, dignes de ses regards ; Joignez la beauté vive et pure Dont brille la nature, Aux ornements des plus beaux arts. Iris remonte au ciel sur son arc, et la suite de Melpomène s'accorde avec la suite de Flore. "")","('#calliope #thalie #apollon', 'Ne troublez point les charmes De nos divins concerts.')",0.78,Substitution
13,"('#melpomene #flore', ""Rendons-nous, s'il se peut, dignes de ses regards ; Joignons la beauté vive et pure Dont brille la nature, Aux ornements des plus beaux arts."")","('#calliope', 'Recommençons nos chants, Allons les faire entendre.')",1.06,Substitution
14,,"('#melpomene', 'Dans une auguste Cour.')",1.0,Deletion
15,,"('#thalie', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.0,Deletion
16,,"('#calliope', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.0,Deletion
17,"('#le-temps #les-heures', 'Préparez de nouvelles fêtes, Profitez du loisir du plus grand des héros ;')","('#calliope #thalie #apollon', 'Près du Vainqueur allons attendre son bienheureux retour.')",1.09,Substitution
18,"('#temps #flore #melpomene', 'Préparez de nouvelles fêtes Préparons de nouvelles fêtes Profitez du loisir du plus grand des héros Profitons du loisir du plus grand des héros.')","('#apollon', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux. Les Muses et les Arts  Vont signaler leur zèle, Je vais favoriser leurs voeux Nous préparons une fête nouvelle Pour le Héros qui les appelle Dans cet asile heureux')",0.55,Substitution
19,"('#ensemble', 'Le temps des jeux, et du repos, Lui sert à méditer de nouvelles conquêtes.')","('#le-choeur', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux.')",0.84,Substitution
20,"('#atys', ""Allons, allons, accourez tous, Cybele va descendre. Trop heureux phrygiens, venez ici l'attendre. Mille peuples seront jaloux Des faveurs que sur nous Sa bonté va répandre."")","('#la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",0.7,Substitution
21,"('#idas #atys', 'Allons, allons, accourez tous, Cybèle va descendre.')",,1.0,Insertion
22,"('#atys', ""Le soleil peint nos champs des plus vives couleurs, Il a séché les pleurs Que sur l'émail des prés a répandu l'aurore ; Et ses rayons nouveaux ont déjà fait éclore Mille nouvelles fleurs."")","('#apollon #neptune #la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",0.83,Substitution
23,"('#idas', ""Vous veillez lorsque tout sommeille ; Vous nous éveillez si matin, Que vous ferez croire à la fin Que c'est l'amour qui vous éveille."")","('#le-choeur', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",0.92,Substitution
24,"('#atys', ""Non, tu dois mieux juger du parti que je prends. Mon coeur veut fuir toujours les soins et les mystères ; J'aime l'heureuse paix des coeurs indifférents ; Si leurs plaisirs ne sont pas grands, Au moins leurs peines sont légères."")","('#hierax', ""Cessons d'aimer une infidèle, Évitons la honte cruelle De servir, d'adorer qui ne nous aime plus. Achevons de briser les noeuds qu'elle a rompus. Dégageons nous, sortons d'un si funeste empire. Hélas ! Malgré moi je soupire ! Ah ! Mon coeur quelle lâcheté ! Quel charme te retient dans un honteux martyre ? Tu n'as pas craint des fers qui nous ont tant coûté As-tu peur de ta liberté ? Revenez, revenez Liberté charmante Vous n'êtes que trop diligente Lorsqu'il faut dans un coeur faire place à l'Amour; Mais que vous êtes lente Lorsqu'un juste dépit presse votre retour."")",0.15,Substitution
25,"('#idas', ""Tôt ou tard l'amour est vainqueur, En vain les plus fiers s'en défendent, On ne peut refuser son coeur À de beaux yeux qui le demandent. Atys, ne feignez plus, je sais votre secret. Ne craignez rien, je suis discret. Dans un bois solitaire et sombre, L'indifférent Atys se croyait seul, un jour ; Sous un feuillage épais où je rêvais à l'ombre, Je l'entendis parler d'amour."")","('#pirante', ""C'est trop entretenir Ces tristes rêveries; Venez, tournez vos pas sur ces rives fleuries Regardez ces flots argentés, Qui dans ces vallons écartés,  Font briller l'émail des prairies Interrompez vos soupirs Tout doit être ici; Ce beau séjour est l'asile Du repos et des plaisirs."")",0.23,Substitution
26,"('#atys', ""Si je parle d'amour, c'est contre son empire, J'en fais mon plus doux entretien."")","('#hierax', ""Depuis qu'une nymphe inconstante A trahi mon amour et m'a manqué de foy Ces lieux jadis si beaux n'ont plus rien qui m'enchante; Ce que j'aime a changé, tout est changé pour moi."")",1.41,Substitution
27,"('#idas', ""Tel se vante de n'aimer rien, Dont le coeur en secret soupire. J'entendis vos regrets, et je les sais si bien Que si vous en doutez je vais vous les redire. Amants qui vous plaignez, vous êtes trop heureux : Mon coeur de tous les coeurs est le plus amoureux, Et tout près d'expirer je suis réduit à feindre ; Que c'est un tourment rigoureux De mourir d'amour sans se plaindre ! Amants qui vous plaignez, vous êtes trop heureux."")","('#pirante', ""La fille d'Inachus hautement vous préfère A mille autres amants de votre sort jaloux; Vous avez l'aveu de son père En faveur d'Argus votre frère, La puissante Junon se déclare pour vous."")",0.85,Substitution
28,"('#atys', ""Idas, il est trop vrai, mon coeur n'est que trop tendre, L'amour me fait sentir ses plus funestes coups. Qu'aucun autre que toi n'en puisse rien apprendre."")","('#hierax', ""Si l'ingrate m'aimait, je serais son époux. Cette nymphe légère De jour en jour diffère Un hymen qu'autrefois elle avait cru si doux. L'inconstante n'a plus l'empressement extrême De cet amour naissant qui répondait au mien. Son changement paraît en dépit d'elle même Je ne le connais que trop bien, Sa bouche quelquefois dit encor qu'elle m'aime; Mais son coeur ni ses yeux ne m'en disent plus rien."")",0.33,Substitution
