chabanon-toison-d-or,rousseaujb-jason,Score
"('#medee', ""Oui, ce que j'éprouve Nérine, Ce trouble de mes sens, ce désordre inconnu, Effet impérieux du sort qui me domine, L'enfer me l'annonçait, mon art l'avait prévu. Quand j'ai voulu des temps sonder la nuit obscure, L'enfer me répondait avec un long murmure : « Par toi doit s'accomplir un grand événement Tes voeux, ta volonté, ton âme toute entière, Des décrets du destin, sont l'aveugle instrument. » Jason vient d'aborder cette rive étrangère ; Je n'ai pu soutenir un regard de ses yeux : Frappé d'une soudaine atteinte, Mon coeur a tressailli de désir et de crainte. J'ai dit : voilà l'instant que m'annonçaient les Dieux."")",-,0.0
"('#nerine', ""Eh bien ! Médée en ce désordre extrême, Qu'avez-vous résolu ?"")",-,0.0
"('#medee', ""De triompher du sort et de moi-même ; De garder sur mes sens un empire absolu. Qu'une âme faible et sans courage Impute à la nécessité, L'erreur où son penchant l'engage. Qu'une âme faible et sans courage, Laisse enchaîner sa liberté. Le sort eût-il arrêté Que je vivrais criminelle, Ma constante fermeté Résisterait à la fatalité. Et se croirait encor plus immuable qu'elle. Air."")",-,0.0
"('#aetes', ""Jason en nous servant, vient d'illustrer son bras; Les Scythes sont défaits, l'indomptable Athamas Ne ravagera plus cette heureuse contrée Nous possédons en paix la dépouille sacrée, L'immortelle Toison, trésor de ces climats, Où restent attachés par la main des Dieux même, Du trône où je m'assieds, la fortune suprême Et le destin de mes États."")",-,0.0
"('#medee', ""Ce triomphe m'enchante il ne m'étonne pas. De quel prix votre justice Récompensera-t-elle un si noble service ?"")",-,0.0
"('#aetes', ""Les désirs du vainqueur ont réglé mes desseins ; Il t'aime, et veut t'unir à ses brillants destins."")",-,0.0
"('#medee', 'Ciel !')",-,0.0
"('#aetes', ""D'où peut naître ta surprise ?"")",-,0.0
"('#medee', ""J'étais loin de prévoir un semblable projet."")",-,0.0
"('#aetes', ""Ma fille, je l'approuve et ta main est promise."")",-,0.0
"('#medee', ""Ô mon père qu'avez-vous fait ? Je fuis d'importunes chaînes ; Ma vie exempte de peines, S'écoule comme un beau jour: Cette paisible jouissance, Ce doux repos de l'innocence, Faut-il les voir céder aux troubles de l'amour ? CAVATINE."")",-,0.0
"('#aetes', ""Cet effroi de l'amour, qui peut le faire naître ?"")",-,0.0
"('#medee', ""Je redoute mon coeur, et crains de me connaître. Loin des périls que je prévois, Ma raison calme et souveraine, Tient mes passions à la chaîne, Et leur fait respecter ses lois : Mais dans cet esclavage où j'ai su les contraindre, Je sens ces fiers tyrans prêts à se soulever ; Leur silence menace, et m'avertit de craindre Tout ce que leur fureur peut me faire éprouver. DUO vif."")",-,0.0
"('#aetes', ""Écarte une chimère Dont l'erreur te séduit."")",-,0.0
"('#medee', ""Cet effroi salutaire La raison l'a produit."")",-,0.0
"('#aetes', ""L'hymen ne détruit pas la paix des coeurs sensibles."")",-,0.0
"('#medee', ""L'amour a quelquefois fait verser bien des pleurs !"")",-,0.0
"('#aetes', 'Combien tu chériras des noeuds doux et paisibles.')",-,0.0
"('#medee', ""Combien vous gémirez d'avoir fait mes malheurs !"")",-,0.0
"('#aetes', ""Ô sagesse ! Ô prodige Quand son refus m'afflige, Je suis contraint à l'admirer. ENSEMBLE."")",-,0.0
"('#aetes', ""Ô sagesse ! Ô prodige! Quand ton refus m'afflige, Je suis contraint à l'admirer."")",-,0.0
"('#medee', ""Ô tendresse ! Ô prodige ! Quand son pouvoir m'afflige. Je suis contrainte à l'adorer."")",-,0.0
"('#aetes', ""Jeune héros, qui, des champs de la Grèce, Êtes venu dans un monde nouveau, Pour épargner à ma vieillesse, L'affront qui l'eût mise au tombeau : Je remets avec joie, au vengeur de l'empire, Le prix que son amour avait sollicité : Ce prix est la vertu, la grâce, et la beauté."")",-,0.0
"('#jason', ""Princesse, confirmez le bonheur où j'aspire."")",-,0.0
"('#medee', ""Aux ordres paternels, c'est à moi de souscrire ; Mais connaissez le coeur qu'à vos lois je soumets. L'hymen épouvantait ma fière indépendance, Et je ne pensais pas qu'un mortel dût jamais Triompher de ma résistance. Jason vous avez seul adouci ma fierté ; Mai lorsqu'à vos verras, je rends cette justice, Prêt d'engager pour vous, ses voeux, sa liberté, Mon coeur s'étonne encor d'un si grand sacrifice."")",-,0.0
"('#aetes', 'Ce sacrifice est doux quand il est mérité. TRIO.')",-,0.0
"('#medee #aetes #jason', ""Jour heureux ! Jour plein de gloire ! Tu combles tous nos désirs : À l'ivresse de la victoire, Tu joins l'ivresse des plaisirs."")",-,0.0
"('#aetes', 'Jason, je vous dois ma couronne.')",-,0.0
"('#jason', 'Je tiens de vous un bien plus grand.')",-,0.0
"('#aetes', ""Vous l'obtenez en conquérant, Et c'est l'amour qui vous le donne."")",-,0.0
"('#aetes #medee', ""Oui, c'est l'amour qui vous le donne."")",-,0.0
"('#medee #aetes #jason', 'Jour heureux, etc.')",-,0.0
"('#aetes', 'Sans Médée, et sans ses attraits, Ma stérile reconnaissance Ne pouvoir payer vos bienfaits.')",-,0.0
"('#jason', ""Sans Médée, et sans ses attraits, Tous les dons de votre puissance, N'étaient que des dons imparfaits."")",-,0.0
"('#medee #aetes #jason', 'Jour heureux etc.')",-,0.0
"('#jason', ""Des beaux arts dont les Dieux ont enrichi la Grèce, Déployons sur ces bords, la pompe enchanteresse. On danse. SEXTUOR chanté par les Argonautes et accompagné de la lyre d'Orphée."")",-,0.0
"('#orphee', ""Ô mère de la volupté ! Vénus ! Descends sur ce rivage ; Viens y couronner la beauté, Viens y sourire à ton image. Au nom de Vénus, l'air sépare La terre s'émaille de fleurs ; Et leurs parfums enchanteurs, Sont l'encens que la nature Offre à la Divinité Qui d'un seul regard lui procure Le calme, et la sérénité. SEXTUOR. On danse."")",-,0.0
"('#medee', ""Beaux-arts, enfants du ciel ! J'ai donc connu vos charmes : Vous prêtez à l'Amour ses plus puissantes armes. Par un magique enchantement, J'ai cru me voir en un moment, Loin de ces rives transportée ; J'avais franchi les vastes mers, J'habitais un autre univers,  Séjour des Dieux, terre enchantée ; Là, tout invite à s'enflammer, Et l'on ne vit que pour aimer. Beaux-arts etc. On danse."")",-,0.0
"('#aetes', ""Venez, Jason, venez ; hâtons l'instant heureux, Qui par un noeud charmant, doit vous unir tous deux."")",-,0.0
"('#pollux', ""Amis, n'êtes-vous plus les enfants de la gloire ? Ne sommes-nous venus dans cet affreux séjour, Que pour y consacrer des fêtes à l'Amour ?"")",-,0.0
"('#idamas', 'Ces jeux seront suivis des jeux de la victoire.')",-,0.0
"('#pollux', ""Dis plutôt que Jason s'apprête à nous trahir."")",-,0.0
"('#idamas', 'Lui !')",-,0.0
"('#pollux', ""L'amant de Médée est un Grec infidèle ; Prêt à s'unir avec elle, Il est traître envers nous, où va le devenir. Pollux ne sera pas complice De cette lâche trahison. Air."")",-,0.0
"('#idamas', 'Eh ! Que prétend ton injustice ?')",-,0.0
"('#pollux', ""Sauver d'un amoureux caprice, La conquête de la Toison. Entre la Grèce et la Colchide Que le fils d'OEson se décide."")",-,0.0
"('#choeur', ""Oui, qu'il prononce, et dès ce jour."")",-,0.0
"('#idamas', 'Pourquoi cette épreuve inutile ?')",-,0.0
"('#pollux', 'Le choix est-il si difficile ?')",-,0.0
"('#choeur', ""Non ; qu'il prononce, et dès ce jour."")",-,0.0
"('#idamas', 'Dieux ! Que je crains pour son amour !')",-,0.0
"('#pollux', 'Si ce faible guerrier balance.')",-,0.0
"('#choeur', ""Nous commettons à ta vaillance, L'espoir de nos brillants succès."")",-,0.0
"('#pollux', 'Ô douce ! Ô flatteuse espérance !')",-,0.0
"('#idamas', 'Quittez ces dangereux projets.')",-,0.0
"('#pollux', 'Ô douce ! Ô flatteuse espérance !')",-,0.0
"('#pollux', ""Si le faible Jason balance Ne commettez qu'à ma vaillance, L'espoir de vos brillants succès."")",-,0.0
"('#choeur', ""Si le faible Jason balance Nous commettons à ta vaillance, L'espoir de nos brillants succès."")",-,0.0
"('#idamas', ""Jason vous verra avec prudence. Ne commettez qu'à ma vaillance. L'espoir de vos brillants succès."")",-,0.0
"('#aetes', ""J'aime à voir sur ton front embelli par la joie, Cette sérénité que l'amour y déploie. Air."")",-,0.0
"('#medee', ""Quelle était mon erreur ! D'un noeud plein de douceur, Vous me vantiez le charme et l'innocence ; Mon aveugle imprudence Se refusait aux leçons du bonheur. Les biens dont je jouis, vous les avez fait naître Pour un jeune héros mon coeur s'est enflammé J'ai honte des moments perdus sans le connaître, Je déteste les jours où je n'ai point aimé."")",-,0.0
"('#aetes', ""Témoin de ton bonheur, je veux l'accroître encore."")",-,0.0
"('#medee', 'Non ; tout votre pouvoir le tenterait en vain.')",-,0.0
"('#aetes', ""Prends ma couronne, et que ta main L'attache sur le front du héros qui t'adore."")",-,0.0
"('#medee', 'Conservez vos grandeurs, notre amour nous suffit.')",-,0.0
"('#aetes', ""Quand je te place au rang suprême Au don de tes appas, j'ajoute un diadème À de pareil présents, l'amour même applaudit. Il la place sur le trône et lui met la couronne sur la tête."")",-,0.0
"('#aetes', 'Médée est votre souveraine, Obéissez tous à sa loi.')",-,0.0
"('#choeur', 'Médée est notre Souveraine, Obéissons tous à sa loi.')",-,0.0
"('#aetes', 'Que sous son joug heureux le devoir vous enchaîne.')",-,0.0
"('#choeur', 'Médée est notre Souveraine.')",-,0.0
"('#aetes', ""Conservez lui l'amour que vous eûtes pour moi."")",-,0.0
"('#choeur', 'Médée est notre Souveraine.')",-,0.0
"('#aetes', 'Médée est votre Souveraine,. Et Jason sera votre roi.')",-,0.0
"('#choeur', 'Oui, que Jason soit notre roi. On danse.')",-,0.0
"('#aetes', 'Jason nous devient nécessaire ; Il fixe dans ces lieux Le don mystérieux Que Phrixus a daigné nous faire.')",-,0.0
"('#choeur', 'Gage longtemps disputé, De notre félicité, Fais le bonheur de la Colchide ; Repose en sûreté, Sous le bras redouté Qui te couvre de son égide,')",-,0.0
"('#jason', ""Non, peuples jusques-là je ne puis vous servir, Et ma bouche et mon coeur sont loin de le promettre : Le trésor qu'à mes soins vous prétendez commettre, Je ne viens à Colchos que pour vous le ravir."")",-,0.0
"('#aetes', ""Qu'entends-je !"")",-,0.0
"('#medee', 'Ciel !')",-,0.0
-,"('#pan', ""Un doux repos suspend les troubles de la guerre Dans nos tranquilles champs les jeux vont revenir; Et Mars, las d'alarmer la terre Leur permet de se réunir. Vous, qui du Dieu des bois révérez la puissance, Et vous, peuples heureux qui vivez sur ces bords, Par vos chants de réjouissance Faites éclater vos transports. Chantez la valeur et la gloire Du héros qui vous rend heureux Et qu'une éternelle mémoire Consacre dans vos coeurs ses bienfaits généreux"")",0.0
-,"('#le-choeur', ""Chantons la valeur et la gloire Du héros qui nous rend heureux, Et qu'une éternelle mémoire Consacre dans nos coeurs ses bienfaits généreux."")",0.0
-,"('#pan', ""Quel bruit harmonieux ici se fait entendre? a Quelle douce clarté se répand dans les airs? Ces nuages brillants ces aimables concerts M'annoncent que la paix en ces lieux va se rendre. Déesse des plaisirs, douce et charmante Paix, Quel destin fortuné vous rend à nos souhaits? Un roi que le ciel a fait naître, Pour partager tes soins et )e pou voir des Dieux, Fixe mon séjour en ces lieux; C'est lui qui sur ces bords m'ordonne de paraître La guerre contre moi ligue tous les mortels: Leur perfide coeur m'abandonne Pour suivre la fière Bellone, Et leur main sacrilège a brisé mes autels Mais contre leur rage funeste, Ce héros m'offre un sûr appui; Et son empire est aujourd'hui Le seul asile qui me reste."")",0.0
-,"('#pan', ""Vainqueur de cent peuples jaloux, Il ne porte chez eux le flambeau de la guerre, Que pour forcer leur injuste courroux D'accepter le repos qu'il veut rendre à la terre."")",0.0
-,"('#la-paix', ""C'est en vain qu'à ses ennemis Son coeur se montre favorable Leur orgueil, mille fois soumis, Renaît du malheur qui l'accable."")",0.0
-,"('#pan', ""Quel est de cet orgueil le déplorable fruit De leurs derniers efforts tout l'effet se réduit À pouvoir immoler leurs peuples en alarmes À toutes les horreurs de Mars ; Et contre leurs propres remparts Tourner la fureur de leurs armes."")",0.0
-,"('#la-paix', ""Laissons-les s'égarer dans leurs vagues projets, Et goûtons les douceurs d'un repos plein d'attraits."")",0.0
-,"('#pan #la-paix', ""Préparons des fêtes nouvelles: Rappelons en ces lieux l'amour et les plaisirs; Et par des chansons immortelles Signalons le bonheur qui s'offre à nos desirs. Le choeur répète ces quatre derniers vers ; la suite de la Paix et celle de Pan forment une entrée, au milieu de laquelle deux bergers chantent séparément les deux couplets qui suivent."")",0.0
-,"('#premier-berger', ""Tôt ou tard l'amour nous engage. C'est un juste tribut qu'on doit à ce vainqueur; Quand la raison nous dit que nous avons un coeur, L'amour nous en apprend l'usage."")",0.0
-,"('#second-berger', ""En vain, pour fuir l'amour, un coeur veut se contraindre : C'est un feu qu'on ne peut calmer; Et tout ce qu'on fait pour l'éteindre, Ne sert souvent qu'à l'allumer.."")",0.0
-,"('#la-paix', ""Retraçons aujourd'hui la célèbre entreprise Qui conduisit Jason sur les bords de Colchos Et montrons ce que peut la vertu d'un héros, Lorsque le ciel la favorise."")",0.0
-,"('#le-choeur', ""Charmants plaisirs jeux pleins d'appas, Venez, rassemblez-vous dans ces heureux climats."")",0.0
-,"('#orphee', ""C'est trop garder un timide silence Nos Grecs, si longtemps abusés, Ne souffrent plus qu'avec impatience Cet indigne repos où vous les réduisez. De la riche Toison ils cherchent la conquête; Colchos garde en ses murs ce dépôt précieux Le ciel nous y conduit : leur troupe est toute prête ; Et vous seul retardez ce dessein glorieux."")",0.0
-,"('#jason', ""Au milieu des horreurs d'une guerre effroyable, Dois-je accabler encore un roi trop déplorable, Qui nous a comblés de bienfaits ? Le Scythe sur ces bords a porté t'épouvante D'un combat furieux nous voyons les apprêts. Ce prince espère en nous remplissons son attente ; Combattons pour ses intérêts, Et que de notre zèle une preuve éclatante Puisse autoriser nos projets."")",0.0
-,"('#orphee', ""Pour nous engager à vous croire, Cessez de prendre un vain détour Le voile pompeux de la gloire Sert souvent à cacher l'amour. Aux rives de Lemnos une reine charmante A long-temps arrêté vos pas; Et lorsqu'un sort heureux répond à notre attente, La beauté de Médée amuse votre bras. Ah quand la gloire nous appelle Est-il temps de languir dans une amour nouvelle? N'en suspendrez-vous point le cours trop odieux ?a Tant d'illustres guerriers n'ont-ils quitté la Grèce, Que pour venir être en ces lieux Les témoins de votre faiblesse ?"")",0.0
-,"('#jason', 'Hélas')",0.0
-,"('#orphee', 'Vous soupirez?')",0.0
