,diderot-est-il-bon-est-il-mechant,diderot-piece-prologue,Cost,Operation Type
0,"('#madame-de-chepy', ""Picard.  Écoutez-moi.  Je vous défends d'ici à huit jours d'aller chez votre femme."")","('#madame-de-chepy', ""Picard, écoutez-moi. Je vous défends d'ici à huit jours d'aller chez votre femme ; entendez-vous ?"")",0.0,Match
1,"('#picard', ""Huit jours !  C'est bien long."")","('#picard', ""Huit jours !  C'est bien long."")",0.0,Match
2,"('#madame-de-chepy', ""En effet, c'est fort pressé de faire un gueux de plus, comme si l'on en manquait."")","('#madame-de-chepy', ""En effet, c'est fort pressé d'aller faire un gueux de plus ; comme si l'on en manquait."")",0.0,Match
3,"('#picard', ""Si l'on nous ôte la douceur de caresser nos femmes, qu'est-ce qui nous consolera de la dureté de nos maîtres."")","('#picard', ""Si l'on nous ôte la douceur de caresser nos femmes, qu'est-ce qui nous consolera de la dureté de nos maîtres ?\n"")",0.0,Match
4,"('#madame-de-chepy', ""Et vous, Flamand, retenez bien ce que je vais vous dire...  Mademoiselle, la Saint-Jean n'est-elle pas dans huit jours."")","('#madame-de-chepy', ""Et vous, Flamand, retenez bien ce que je vais vous dire...  Mademoiselle, la Saint-Jean n'est-elle pas dans huit jours ?"")",0.0,Match
5,"('#mademoiselle-beaulieu', ""Non, Madame ; c'est dans quatre."")","('#mademoiselle-beaulieu', ""Non, Madame, c'est dans quatre."")",0.0,Match
6,"('#madame-de-chepy', ""Miséricorde !  Je n'ai pas un moment à perdre...  Si d'ici à quatre jours (le terme est court) je découvre que vous ayez mis le pied au cabaret, je vous chasse.  Il faut que je vous aie tous sous ma main, et que je ne vous trouve pas hors d'état de faire un pas et de prononcer un mot.  Songez qu'il n'en serait pas cette fois comme de vendredi dernier.  L'opéra fini, nous quittons la loge avant le ballet ; nous descendons Madame de Malves et moi.  Nous voilà sous le vestibule.  On appelle.  On crie.  Personne ne vient ; l'un est je ne sais où ; l'autre est mort yvre ; et sans un galant homme qui nous prit en pitié, je ne scais ce que nous serions devenues."")","('#madame-de-chepy', ""Miséricorde !  Je n'ai pas un moment à perdre...  Si d'ici à quatre jours (le terme est court), je découvre que vous ayez mis le pied au cabaret, je vous chasse.  Il faut que je vous aie tous sous ma main, et que je ne vous trouve pas hors d'état de faire un pas et de dire un mot.  Songez qu'il n'en serait pas cette fois comme de vendredi dernier.  L'opéra fini, nous descendons, Madame de Blalves et moi ; nous voilà sous le vestibule : on appelle, on crie; personne ne vient.  L'un est je ne sais où ; l'autre est mort-ivre ; et, sans un galant homme qui nous prit en pitié, je ne sais ce que nous serions devenues."")",0.0,Match
7,"('#picard', 'Madame, est-ce là tout ?')","('#picard', 'Madame, est-ce là tout ?')",0.0,Match
8,"('#madame-de-chepy', ""Vous Picard, allez chez le tapissier, le décorateur, les musiciens.  Soyez de retour en un clin d'oeil, et s'il se peut, amenez-moi tous ces gens-là.  Vous Flamand,...  Quelle heure est-il ?"")","('#madame-de-chepy', ""Vous, Picard, allez chez le tapissier, le décorateur, les musiciens ; soyez de retour en un clin d'oeil ; et, s'il se peut, amenez-moi tous ces gens-là.  Vous, Flamand...  Quelle heure est-il ?"")",0.0,Match
9,"('#flamand', 'Il est midi.')","('#flamand', 'Il est midi.')",0.0,Match
10,"('#madame-de-chepy', 'Midi ?  Il ne sera pas encore levé.  Courez chez lui...  Allez donc.')","('#madame-de-chepy', 'Midi !  Il ne sera pas encore levé.  Courez chez lui...  Allez donc...')",0.0,Match
11,"('#flamand', 'Qui ?  lui.')","('#flamand', 'Qui, lui ?')",0.29,Substitution
12,"('#madame-de-chepy', ""Ô que cela est bête !...  Monsieur Hardouin.  Dites-lui qu'il vienne, qu'il vienne sur-le-champ ; que je l'attends, et que c'est pour chose importante."")","('#madame-de-chepy', ""Oh !  Que cela est bête !...  Monsieur Hardouin.  Dites-lui qu'il vienne, qu'il vienne sur-le-champ, que je l'attends, et que c'est pour chose importante."")",0.0,Match
13,"('#madame-de-chepy', '... Beaulieu, par hasard, sauriez-vous lire ?')","('#madame-de-chepy', 'Beaulieu, par hasard, sauriez-vous lire ?')",0.0,Match
14,"('#mademoiselle-beaulieu', 'Oui, madame.')","('#mademoiselle-beaulieu', 'Oui, madame.')",0.0,Match
15,"('#madame-de-chepy', 'Avez-vous jamais joué la comédie ?')","('#madame-de-chepy', ""N'avez-vous jamais joué la comédie ?"")",0.0,Match
16,"('#mademoiselle-beaulieu', 'Plusieurs fois.')","('#mademoiselle-beaulieu', ""Plusieurs fois.  C'est la folie de ma province."")",1.04,Substitution
17,"('#madame-de-chepy', 'Vous déclameriez donc un peu ?')","('#madame-de-chepy', 'Vous déclameriez donc un peu ?')",0.0,Match
18,"('#mademoiselle-beaulieu', 'Un peu.')","('#mademoiselle-beaulieu', 'Un peu.')",0.0,Match
19,"('#madame-de-chepy', ""C'est vous !  Quand je vous aurais appelée, vous ne m'arriveriez pas plus à propos."")",,1.0,Insertion
20,"('#madame-de-vertillac', 'À quoi vous serais-je bonne ?')",,1.0,Insertion
21,"('#madame-de-chepy', ""Embrassons-nous d'abord...  embrassons-nous encore...  Mademoiselle, approchez une chaise ; laissez-nous faire, et revenez, avec plumes, encre, papier ; il faut qu'il trouve tout préparé."")",,1.0,Insertion
22,"('#madame-de-vertillac', ""Je descends de ma chaise ; je m'informe de votre demeure, et je viens.  Je suis brisée.  Un temps horrible ; des chemins abominables, des maîtres de postes insolents ; les chevaux de l'Apocalypse ; des postillons polis ; oui polis ; mais d'une lenteur à périr.  « Allons donc, postillon: nous « n'avançons pas.  À quelle heure, veux-tu que nous arrivions ? »  Ils sont sourds ; ils n'en donnent pas un coup de fouet de plus, et nous avons mis trois journées, trois mortelles journées, à faire une route de quinze heures."")",,1.0,Insertion
23,"('#madame-de-chepy', ""Et pourrait-on, sans être indiscrète, vous demander quelle importante affaire vous amène ici, dans cette saison.  Ce n'est rien de fâcheux, j'espère."")",,1.0,Insertion
24,"('#madame-de-vertillac', 'Je fuis devant un amant.')",,1.0,Insertion
25,"('#madame-de-chepy', ""Quand on fuit devant un amant, ce n'est pas de la lenteur des postillons qu'on se plaint."")",,1.0,Insertion
26,"('#madame-de-vertillac', ""Si c'était devant un amant de moi, vous auriez raison ; mais c'est devant un amant de ma fille."")",,1.0,Insertion
27,"('#madame-de-chepy', ""Votre fille est en âge d'être mariée ; et c'est une enfant trop raisonnable pour avoir fait un mauvais choix."")",,1.0,Insertion
28,"('#madame-de-vertillac', 'Son amant est charmant ; une figure intéressante, de la naissance, de la considération, de la fortune, des moeurs, mon amie !  Des moeurs !')",,1.0,Insertion
29,"('#madame-de-chepy', ""Ce n'est donc pas votre fille qui est folle."")",,1.0,Insertion
30,"('#madame-de-vertillac', 'Non.')",,1.0,Insertion
31,"('#madame-de-chepy', ""C'est donc vous ?"")",,1.0,Insertion
32,"('#madame-de-vertillac', 'Peut-être.')",,1.0,Insertion
33,"('#madame-de-chepy', 'Et pourrait-on savoir ce qui empêche ce mariage ?')",,1.0,Insertion
34,"('#madame-de-vertillac', 'La famille du jeune homme.  Enterrez-moi, ce soir, toute cette ennuyeuse, impertinente et triste famille, toute cette clique maussade de Cranceys, et je marie ma fille demain.')",,1.0,Insertion
35,"('#madame-de-chepy', 'Je connais peu les Cranceys ; mais ils passent pour les meilleurs gens du monde.')",,1.0,Insertion
36,"('#madame-de-vertillac', ""Qui le leur dispute ?  Je commence à vieillir et je me flattais de passer le reste de mes jours, avec des gens aimables ; et me voilà condamnée à entendre un vieux grand-père, radoter des sièges et des batailles ; une belle-mère m'excéder de la litanie des grandes passions qu'elle a inspirées, sans en avoir jamais partagé aucune, cela va sans dire ; et du matin au soir deux fanatiques bigotes de soeurs se haïr, s'injurier, s'arracher les yeux sur des questions de religion auxquelles elles ne comprennent pas plus que leurs chiens.  Et puis un grand benêt de magistrat, plein de morgue, idolâtre de sa figure, qui vous raconte, en tirant son jabot et ses manchettes, et en grasseyant, des histoires de la ville ou du palais qui m'intéresseront encore moins que lui ; et vous me croyez femme à supporter le ton familier et goguenard de son frère le militaire.  Point d'assemblée ; point de bal ; je gage qu'on n'use pas là deux sizains de cartes dans toute une année.  Tenez, mon amie ; la seule pensée de cette vie et de ces personnages me fait soulever le coeur."")",,1.0,Insertion
37,"('#madame-de-chepy', ""Mais il s'agit du bonheur de votre fille."")",,1.0,Insertion
38,"('#madame-de-vertillac', 'Et du mien aussi, ne vous déplaise.')",,1.0,Insertion
39,"('#madame-de-chepy', 'Et vous avez pensé que votre fille perdrait ici sa passion.')",,1.0,Insertion
40,"('#madame-de-vertillac', ""Je m'attends bien qu'ils s'écriront, qu'ils se jureront une constance éternelle, et que ces belles protestations iront et reviendront par la poste un mois, deux mois, mettons un an : mais l'amour ne tient pas contre l'absence.  Un peu plutôt, un peu plus tard ; il se présentera un homme aimable qu'on rebutera d'abord ; qui me conviendra, et qui finira par lui convenir."")",,1.0,Insertion
41,"('#madame-de-chepy', 'Et par faire son malheur.')",,1.0,Insertion
42,"('#madame-de-vertillac', ""Malheureuse par l'un ou par l'autre, qu'importe."")",,1.0,Insertion
43,"('#madame-de-chepy', 'Il importe beaucoup que ce soit de sa faute et non de la vôtre.')",,1.0,Insertion
44,"('#madame-de-vertillac', ""Mais laissons cela ; nous aurons le temps de traiter cette affaire plus à fond.  Je vous supplie seulement de ne pas achever d'entêter ma fille ; je vous connais ; vous en seriez bien capable.  Et mon petit Hardouin, dites-moi ; le voyez-vous."")",,1.0,Insertion
45,"('#madame-de-chepy', 'Rarement.')",,1.0,Insertion
46,"('#madame-de-vertillac', ""Qu'en faites-vous ?"")",,1.0,Insertion
47,"('#madame-de-chepy', ""Rien qui vaille.  Il court le monde.  Il pourchasse trois ou quatre femmes à la fois.  Il fait des soupers.  Il joue.  Il s'endette ; il fréquente chez les grands, et perd son tems et son talent peut-être un peu plus agréablement que la pluspart des gens de lettres."")",,1.0,Insertion
48,"('#madame-de-vertillac', 'Où loge-t-il ?')",,1.0,Insertion
49,"('#madame-de-chepy', 'Est-ce que vous vous y intéresseriez encore ?')",,1.0,Insertion
50,"('#madame-de-vertillac', ""J'en ai peur.  Je comptais lui trouver, sinon une réputation faite, du moins en bon train."")",,1.0,Insertion
51,"('#madame-de-chepy', 'Si vous désirez le voir, il sera ici dans un moment, et je crois, pour toute la journée.')",,1.0,Insertion
