regnard-arlequin-bonnes-fortunes,regnard-filles-errantes,Score
"('#le-vicomte', ""Holà, quelqu'un de mes gens !  Champagne, Picard, la Violette, Tortillon, Basque, mes pantoufles, ma robe de chambre, mon carrosse, à dîner, un bouillon. Ne suis-je pas bien malheureux qu'un homme de ma qualité soit obligé d'éveiller ses gens lui-même ?  Où sont donc ces marauds-là ?  Ouais ! Et toi, ne te lèveras-tu point ?  Si je prends un bâton, maraud, je te ferai bien lever.  C'est un trésor en hiver qu'un laquais au pied d'un lit ; son ventre sert de bassinoire.  Il sort du lit avec une robe d'aveugle des Quinze-Vingts.  À Mezzetin. Il donne un coup de pied à Mezzetin, qui est encore couché. Mezzetin, s'éveillant en sursaut, baille et se lève.  À part. "")",-,0.0
"('#mezzetin', ""Vous faites l'entendu, parce que les bonnes fortunes vous suivent partout ; mais souvenez-vous que nous sommes deux laquais, et qu'il n'y a point d'autre différence entre nous que celle que j'y veux bien mettre : ainsi, un peu plus de douceur, s'il vous plaît, et un peu moins d'emportement avec votre camarade. "")",-,0.0
"('#le-vicomte', ""Ce n'est point pour te quereller, Mezzetin, que je t'éveille de si bon matin ; c'est seulement pour te dire que toutes ces bonnes fortunes me donnent fort à penser.  À l'égard de celles qui me viennent par les présents que l'on m'envoie de toutes parts, passe ; mais pour celles que nous faisons en volant des montres, en enfonçant des boutiques, et en coupant des bourses ; ma foi, j'ai peur que toutes ces bonnes fortunes-là ne nous fassent faire notre mauvaise fortune à la Grève. "")",-,0.0
"('#mezzetin', 'Hé !  Nous travaillons pour cela. ')",-,0.0
"('#le-vicomte', 'Voila une méchante besogne. ')",-,0.0
"('#mezzetin', 'Tenez, voilà-t-il pas encore la robe que vous volâtes à cet aveugle des Quinze-Vingts, qui vous sert de robe de chambre ? ')",-,0.0
"('#le-vicomte', ""Il y a longtemps qu'elle était neuve.  J'ai déjà dit trois ou quatre femmes que j'avais besoin d'un surtout de toilette : il y a bien du relâchement dans la galanterie ; et les femmes commencent à se décrier furieusement dans mon esprit.  Oh !  Nous ne vivrons pas longtemps bien ensemble. "")",-,0.0
"('#mezzetin', 'À propos de robe de chambre, tandis que vous dormiez, madame la marquise de Noirchignon vous en a envoyé une. ')",-,0.0
"('#le-vicomte', 'Voyons-la. ')",-,0.0
"('#mezzetin', ""Passe.  La pauvre créature fait tout ce qu'elle peut pour m'égratigner le coeur, "")",-,0.0
"('#mezzetin', ""Il est aussi venu' un laquais de la part de madame la comtesse de Charbonglacé, qui a laissé un paquet dans une toilette.  Diable !  Celle-ci est bien mieux étoffée que l'autre.  La Comtesse pourrait bien me faire faire la sottise de l'aimer.  Mais il ne fait pas si cher vivre à Paris ; tout s'y donne.  Il tire une toilette où est encore une robe de chambre.  On frappe rudement à la porte. "")",-,0.0
"('#mezzetin', ""Monsieur, c'est le laquais de la Veuve de ce procureur. "")",-,0.0
"('#le-vicomte', 'Laisse-le entrer. ')",-,0.0
"('#le-vicomte', 'Que diable me veut-elle ? ')",-,0.0
"('#le-laqauis', ""Monsieur, voilà ce que madame vous envoie ; elle dit comme çà que vous aurez l'honneur de la voir bientôt. "")",-,0.0
"('#le-vicomte', ""Mon enfant, dis-lui qu'elle ne s'en donne pas la peine. Je vais prendre un remède pour me débrouiller le teint.  Le laquais sort. "")",-,0.0
"('#le-vicomte', 'Comment !  Encore une robe de chambre !  Il faut avouer que les femmes nous aiment bien en déshabillé.  On frappe à la porte. ')",-,0.0
"('#mezzetin', ""Monsieur, c'est la Marquise. "")",-,0.0
"('#le-vicomte', 'Donne-moi vite la robe de chambre de la Marquise. Mezzetin prend la robe de chambre de la Marquise, et le Vicomte la met par-dessus la sienne. On refrappe à la porte. ')",-,0.0
"('#mezzetin', ""Ce n'est pas la Marquise, monsieur, c'est la Comtesse.  Il faut remarquer qu'à chaque fois que l'on heurte, Mezzetin va voir à la porte, et revient sur-le-champ."")",-,0.0
