,corneillet-festin-pierre,moliere-dom-juan,Cost,Operation Type
0,"('#sganarelle', ""Quoi qu'en dise Aristote, et sa docte Cabale, Le Tabac est divin, il n'est rien qui l'égale. Et par les fainéants, pour fuir l'oisiveté, Jamais amusement ne fut mieux inventé. Ne saurait-on que dire, on prend la tabatière, Soudain à gauche, à droit, par devant, par derrière, Gens de toutes façons, connus et non connus, Pour y demander part, sont les très bien venus. Mais c'est peu qu'à donner instruisant la jeunesse, Le tabac l'accoutume à faire ainsi largesse. C'est dans la médecine un remède nouveau ; Il purge, réjouit, conforte le cerveau, De toute noire humeur promptement le délivre, Et qui vit sans tabac n'est pas digne de vivre. Ô tabac, ô tabac, mes plus chères amours ! Mais reprenons un peu notre premier discours. Si bien, mon cher Gusman, qu'Elvire ta Maîtresse, Pour Don Juan mon maître a pris tant de tendresse, Qu'apprenant son départ, l'excès de son ennui L'a fait mettre en campagne, et courir après lui ? Le soin de le chercher est obligeant sans doute, C'est aimer fortement, mais tout voyage coûte, Et j'ai peur, s'il te faut expliquer mon souci, Qu'on l'indemnise mal des frais de celui-ci."")","('#sganarelle', ""Quoi que puisse dire Aristote et toute la Philosophie, il n'est rien d'égal au tabac : c'est la passion des honnêtes gens, et qui vit sans tabac n'est pas digne de vivre ; non seulement il réjouit et purge les cerveaux humains ; mais encore il instruit les âmes à la vertu, et l'on apprend avec lui à devenir honnête homme.  Ne voyez-vous pas bien, dès qu'on en prend, de quelle manière obligeante on en use avec tout le monde, et comme on est ravi d'en donner à droit et à gauche, partout où l'on se trouve ?  On n'attend pas même qu'on en demande, et l'on court au-devant du souhait des gens : tant il est vrai, que le tabac inspire des sentiments d'honneur, et de vertu, à tous ceux qui en prennent.  Mais c'est assez de cette matière, reprenons un peu notre discours.  Si bien donc, cher Gusman, que Done Elvire, ta maîtresse, surprise de notre départ, s'est mise en campagne après nous ; et son coeur, que mon maître a su toucher trop fortement, n'a pu vivre, dis-tu, sans le venir chercher ici ? Veux-tu qu'entre nous je te dise ma pensée ; j'ai peur qu'elle ne soit mal payée de son amour, que son voyage en cette ville produise peu de fruit, et que vous eussiez autant gagné à ne bouger de là. "")",0.0,Match
1,"('#gusman', ""Et la raison encor ? Dis-moi, je te conjure, D'où te vient une peur de si mauvais augure ? Ton maître là-dessus t'a-t-il ouvert son coeur ? T'a-t-il fait remarquer pour nous quelque froideur, Qui d'un départ si prompt..."")","('#gusman', ""Et la raison encore, dis-moi, je te prie, Sganarelle, qui peut t'inspirer une peur d'un si mauvais augure ?  Ton maître t'a-t-il ouvert son coeur là-dessus, et t'a-t-il dit qu'il eût pour nous quelque froideur qui l'ait obligé à partir ? "")",0.0,Match
2,"('#sganarelle', ""Je n'en sais point les causes. Mais, Gusman, à peu près je vois le train des choses, Et sans que Don Juan m'ait rien dit de cela, Tout franc, je gagerais que l'affaire va là. Je pourrais me tromper, mais j'ai peine à le croire."")","('#sganarelle', ""Non pas, mais, à vue de pays, je connais à peu près le train des choses, et sans qu'il m'ait encore rien dit je gagerais presque que l'affaire va là.  Je pourrais peut-être me tromper ; mais enfin, sur de tels sujets, l'expérience m'a pu donner quelques lumières. "")",0.0,Match
3,"('#gusman', ""Quoi, ton maître ferait cette tache à sa gloire ? Il trahirait Elvire, et d'un crime si bas..."")","('#gusman', 'Quoi, ce départ si peu prévu, serait une infidélité de Don Juan ?  Il pourrait faire cette injure aux chastes feux de Done Elvire ? ')",0.33,Substitution
4,"('#sganarelle', ""Il est trop jeune encor, il n'oserait."")","('#sganarelle', ""Non, c'est qu'il est jeune encore, et qu'il n'a pas le courage. "")",0.27,Substitution
5,"('#gusman', ""Hélas ! Ni d'un si lâche tour l'infamie éternelle, Ni de sa qualité..."")","('#gusman', 'Un homme de sa qualité ferait une action si lâche ? ')",0.58,Substitution
6,"('#sganarelle', ""La raison en est belle. Sa qualité ! C'est là ce qui l'arrêterait."")","('#sganarelle', ""Eh oui, sa qualité !  La raison en est belle, et c'est par là qu'il s'empêcherait des choses. "")",0.0,Match
7,"('#gusman', 'Tant de voeux...')",,1.0,Insertion
8,"('#sganarelle', ""Rien pour lui n'est trop chaud ni trop froid. Voeux, serments, sans scrupule il met tout en usage."")",,1.0,Insertion
9,"('#gusman', ""Mais ne songe-t-il pas à l'hymen qui l'engage ? Croit-il le pouvoir rompre ?"")","('#gusman', 'Mais les saints noeuds du mariage le tiennent engagé.')",0.86,Substitution
10,"('#sganarelle', 'Hé, mon pauvre Gusman, Tu ne sais pas encor quel homme est Don Juan.')","('#sganarelle', 'Eh !  Mon pauvre Gusman, mon ami, tu ne sais pas encore, crois-moi, quel homme est Don Juan. ')",0.0,Match
11,"('#gusman', ""S'il est ce que tu dis, le moyen de connaître, De tous les scélérats, le plus grand, le plus traître ? Le moyen de penser qu'après tant de serments, Tant de transports d'amour, d'ardeurs, d'empressements, De protestations des plus passionnées, De larmes, de soupirs, d'assurances données, Il ait réduit Elvire à sortir du couvent, À venir l'épouser, et tout cela, du vent ?"")","('#gusman', ""Je ne sais pas, de vrai, quel homme il peut être, s'il faut qu'il nous ait fait cette perfidie ; et je ne comprends point comme après tant d'amour et tant d'impatience témoignée, tant d'hommages pressants, de voeux, de soupirs, et de larmes, tant de lettres passionnées, de protestations ardentes et de serments réitérés ; tant de transports, enfin, et tant d'emportements qu'il a fait paraître, jusqu'à forcer dans sa passion l'obstacle sacré d'un couvent, pour mettre Done Elvire en sa puissance ; je ne comprends pas, dis-je, comme après tout cela il aurait le coeur de pouvoir manquer à sa parole. "")",0.0,Match
