moliere-dom-juan,moliere-festin-de-pierre,Score
"('#sganarelle', ""Quoi que puisse dire Aristote et toute la Philosophie, il n'est rien d'égal au tabac : c'est la passion des honnêtes gens, et qui vit sans tabac n'est pas digne de vivre ; non seulement il réjouit et purge les cerveaux humains ; mais encore il instruit les âmes à la vertu, et l'on apprend avec lui à devenir honnête homme.  Ne voyez-vous pas bien, dès qu'on en prend, de quelle manière obligeante on en use avec tout le monde, et comme on est ravi d'en donner à droit et à gauche, partout où l'on se trouve ?  On n'attend pas même qu'on en demande, et l'on court au-devant du souhait des gens : tant il est vrai, que le tabac inspire des sentiments d'honneur, et de vertu, à tous ceux qui en prennent.  Mais c'est assez de cette matière, reprenons un peu notre discours.  Si bien donc, cher Gusman, que Done Elvire, ta maîtresse, surprise de notre départ, s'est mise en campagne après nous ; et son coeur, que mon maître a su toucher trop fortement, n'a pu vivre, dis-tu, sans le venir chercher ici ? Veux-tu qu'entre nous je te dise ma pensée ; j'ai peur qu'elle ne soit mal payée de son amour, que son voyage en cette ville produise peu de fruit, et que vous eussiez autant gagné à ne bouger de là. "")","('#sganarelle', ""Quoi que puisse dire Aristote et toute la Philosophie, il n'est rien d'égal au tabac, c'est la passion des honnêtes gens, et qui vit sans tabac n'est pas digne de vivre ; non seulement il réjouit, et purge les cerveaux humains ; mais encore il instruit les âmes à la vertu, et l'on apprend avec lui à demeurer honnête homme.  Ne voyez vous pas bien dès qu'on en prend, de quelle manière obligeante on en use avec tout le monde, et comme on est ravi d'en donner à droit[e] et à gauche, partout où l'on se trouve ?  On n'attend pas même qu'on en demande, et l'on court au-devant du souhait des gens : tant il est vrai que le tabac inspire des sentiments d'honneur, et de vertu, à tous ceux qui en prennent.  Mais c'est assez de cette matière, reprenons notre discours.  Si bien donc, cher Gusman que Don Juan Elvire, ta Maîtresse, surprise de notre départ, s'est mise en campagne après ; et son coeur, que mon Maître a su toucher trop fortement, n'a pu depuis vivre sans le venir chercher ici ?  Veux-tu qu'entre nous, je te dise ma pensée ; j'ai peur qu'elle soit mal payée de son amour, que son voyage en cette ville produise peu de fruit, et que vous eussiez autant gagné à ne bouger de là."")",0.98276287317276
"('#gusman', ""Et la raison encore, dis-moi, je te prie, Sganarelle, qui peut t'inspirer une peur d'un si mauvais augure ?  Ton maître t'a-t-il ouvert son coeur là-dessus, et t'a-t-il dit qu'il eût pour nous quelque froideur qui l'ait obligé à partir ? "")","('#gusman', ""Et la raison encore, dis-moi, je te prie, Sganarelle, qui peut t'inspirer d'un si mauvais augure ?  Ton Maître t'a-t-il ouvert son coeur là-dessus, et t'a t-il dit qu'il eût pour nous quelque froideur qui l'ait obligé à partir ?"")",0.9741231799125671
"('#sganarelle', ""Non pas, mais, à vue de pays, je connais à peu près le train des choses, et sans qu'il m'ait encore rien dit je gagerais presque que l'affaire va là.  Je pourrais peut-être me tromper ; mais enfin, sur de tels sujets, l'expérience m'a pu donner quelques lumières. "")","('#sganarelle', ""Non pas, mais à vue de pays, je connais à peu près le train des choses, et sans qu'il m'ait encore rien dit, je gagerais presque que l'affaire va là.  Je pourrais peut-être me tromper, mais enfin sur de tels sujets, l'expérience m'a donné quelque lumière."")",0.954196572303772
"('#gusman', 'Quoi, ce départ si peu prévu, serait une infidélité de Don Juan ?  Il pourrait faire cette injure aux chastes feux de Done Elvire ? ')","('#gusman', 'Quoi, ce départ si peu prévu, serait une infidélité de Don Juan !  Il pourrait faire cette injure aux chastes feux de Don Juan Elvire !')",0.936048686504364
"('#sganarelle', ""Non, c'est qu'il est jeune encore, et qu'il n'a pas le courage. "")","('#sganarelle', ""Non, c'est qu'il est trop jeune encore, et qu'il n'a pas le courage."")",0.9609713554382324
"('#gusman', 'Un homme de sa qualité ferait une action si lâche ? ')","('#gusman', 'Un homme de sa qualité ferait une action si lâche ?')",1.0000001192092896
"('#sganarelle', ""Eh oui, sa qualité !  La raison en est belle, et c'est par là qu'il s'empêcherait des choses. "")","('#sganarelle', ""Eh oui ; sa qualité ! La raison en est belle, et c'est par là qu'il s'empêcherait des choses."")",0.9748324155807495
"('#gusman', 'Mais les saints noeuds du mariage le tiennent engagé.')","('#gusman', 'Mais les saints noeuds du mariage le tiennent engagé.')",0.9999997615814209
"('#sganarelle', 'Eh !  Mon pauvre Gusman, mon ami, tu ne sais pas encore, crois-moi, quel homme est Don Juan. ')","('#sganarelle', 'Eh !  Mon pauvre Gusman, mon ami, tu ne sais pas encore, crois-moi, quel homme est Don Juan.')",0.9999999403953552
"('#gusman', ""Je ne sais pas, de vrai, quel homme il peut être, s'il faut qu'il nous ait fait cette perfidie ; et je ne comprends point comme après tant d'amour et tant d'impatience témoignée, tant d'hommages pressants, de voeux, de soupirs, et de larmes, tant de lettres passionnées, de protestations ardentes et de serments réitérés ; tant de transports, enfin, et tant d'emportements qu'il a fait paraître, jusqu'à forcer dans sa passion l'obstacle sacré d'un couvent, pour mettre Done Elvire en sa puissance ; je ne comprends pas, dis-je, comme après tout cela il aurait le coeur de pouvoir manquer à sa parole. "")","('#gusman', ""Je ne sais pas de vrai quel homme il peut être, s'il faut qu'il nous ait fait cette perfidie ; et je ne comprends point comme après tant d'amour et tant d'impatience témoignée, tant d'hommages pressants, de voeux, de soupirs, et de larmes, tant de lettres passionnées, de protestations ardentes et de serments réitérés, tant de transports, enfin, et tant d'emportements qu'il a fait paraître, jusqu'à forcer dans sa passion l'obstacle sacré d'un Couvent, pour mettre Don Juan Elvire en sa puissance ; je ne comprends pas, dis-je, comme après tout cela il aurait le coeur de pouvoir manquer à sa parole."")",0.9582511186599731
