,moliere-amants-magnifiques,quinault-thesee,Cost,Operation Type
0,,"('#un-plaisir', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")",1.0,Deletion
1,"('#clitidas', 'Il est attaché à ses pensées ?')","('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",1.79,Substitution
2,"('#sostrate', ""Non, Sostrate, je ne vois rien où tu puisses avoir recours, et tes maux sont d'une nature à ne te laisser nulle espérance d'en sortir."")","('#un-plaisir', ""C'était dans ces jardins, au bord de ces fontaines, Que l'aimable mère d'amour Espérait d'établir sa bienheureuse cour : Mais ses espérances sont vaines."")",1.33,Substitution
3,"('#clitidas', 'Il raisonne tout seul.')","('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",1.89,Substitution
4,,"('#un-des-jeux', ""Ne nous écartons pas de ces charmantes plaines, Allons nous retirer dans les bois d'alentour."")",1.0,Deletion
5,"('#sostrate', 'Hélas !')","('#trois-jeux', 'Ah ! Quelles peines De quitter un si beau séjour !')",1.21,Substitution
6,"('#clitidas', 'Voilà des soupirs qui veulent dire quelque chose, et ma conjecture se trouvera véritable.')","('#trois-plaisirs', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")",1.39,Substitution
7,"('#sostrate', ""Sur quelles chimères, dis-moi, pourrais-tu bâtir quelque espoir, et que peux-tu envisager, que l'affreuse longueur d'une vie malheureuse, et des ennuis à ne finir que par la mort."")","('#le-choeur-graces', 'Les jeux et les amours Ne règnent pas toujours. Les amours, les grâces, les plaisirs et les jeux se retirent.')",1.37,Substitution
8,"('#clitidas', 'Cette tête-là est plus embarrassée que la mienne ?')",,1.0,Insertion
9,"('#sostrate', ""Ah !  Mon coeur, ah !  Mon coeur, où m'avez-vous jeté ?"")","('#venus', ""Revenez, amours, revenez ; Pourquoi quitter ces lieux où l'on est sans alarmes ? La beauté perd ses plus doux charmes, Sitôt que vous l'abandonnez : Revenez, amours, revenez. Beaux lieux, où les plaisirs suivaient partout mes pas, Que sont devenus vos appas ? Qu'un si charmant séjour est triste et solitaire ! Hélas ! Hélas ! Les amours n'y sont pas, Sans les amours, rien ne peut plaire. Revenez, amours, revenez ; Quel chagrin si pressant vous a tous emmenés ? Est-il quelque danger dont Mars ne vous délivre ? Il chasse les fureurs de ces lieux fortunés, À la seule victoire il permet de le suivre. Revenez, amours, revenez. On entend des trompettes et des tambours dont le bruit se mêle au son de plusieurs instruments champêtres. Cependant Mars paraît sur son char avec Bellone."")",1.09,Substitution
10,"('#clitidas', 'Serviteur, Seigneur Sostrate.')",,1.0,Insertion
11,"('#sostrate', 'Où vas-tu, Clitidas ?')",,1.0,Insertion
12,"('#clitidas', ""Mais vous plutôt, que faites-vous ici, et quelle secrète mélancolie, quelle humeur sombre, s'il vous plaît, vous peut retenir dans ces bois, tandis que tout le monde a couru en foule à la magnificence de la fête, dont l'amour du prince Iphicrate vient de régaler sur la mer la promenade des Princesses ; tandis qu'elles y ont reçu des cadeaux merveilleux de musique et de danse, et qu'on a vu les rochers et les ondes se parer de Divinités pour faire honneur à leurs attraits ?"")","('#mars', ""Que rien ne trouble ici Vénus et les amours. Que sous d'aimables lois, dans ces douces retraites, On passe en repos d'heureux jours ; Que les hautbois, que les musettes L'emportent sur les trompettes, Et sur les tambours. Que rien ne trouble ici Vénus et les amours. On n'entend plus le bruit des trompettes et des tambours, et plusieurs instruments champêtres jouent dans le temps que Mars descend."")",0.12,Substitution
13,"('#sostrate', ""Je me figure assez, sans la voir, cette magnificence, et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de fêtes, que j'ai cru à propos de ne pas augmenter le nombre des importuns."")","('#mars', ""Partez, allez, volez, redoutable Bellone. Laissez en paix ici les amours et les jeux ; Que Cérès, que Bacchus, s'avancent avec eux ; Éloignez ce qui les étonne. Portez aux ennemis de cet empire heureux Tout ce que la guerre a d'affreux : Vénus le veut, Mars vous l'ordonne. Partez, allez, volez, redoutable Bellone. Bellone obéit, et s'envole."")",0.73,Substitution
14,"('#clitidas', ""Vous savez que votre présence ne gâte jamais rien, et que vous n'êtes point de trop, en quelque lieu que vous soyez.  Votre visage est bien venu partout, et il n'a garde d'être de ces visages disgraciés, qui ne sont jamais bien reçus des regards souverains.  Vous êtes également bien auprès des deux princesses ; et la mère et la fille vous font assez connaître l'estime qu'elles font de vous pour n'appréhender pas de fatiguer leurs yeux ; et ce n'est pas cette crainte, enfin, qui vous a retenu."")","('#venus', ""Inexorable Mars, pourquoi déchaînez-vous Contre un héros vainqueur tant d'ennemis jaloux ? Faut-il que l'univers avec fureur conspire Contre ce glorieux empire Dont le séjour nous est si doux ? Sans une aimable paix peut-on jamais attendre De beaux jours ni d'heureux moments ? La plainte la plus tendre, Les plus doux soupirs des amants, Sont le seul bruit qu'on doit entendre En des lieux si charmants."")",0.44,Substitution
15,,"('#mars', ""Que dans ce beau séjour rien ne vous épouvante, Un nouveau Mars rendra la France triomphante. Le destin de la guerre en ses mains est remis. Et si j'augmente Le nombre de ses ennemis, C'est pour rendre sa gloire encor plus éclatante. Le dieu de la valeur doit toujours l'animer."")",1.0,Deletion
16,,"('#venus', 'Vénus répand sur lui tout ce qui peut charmer.')",1.0,Deletion
17,,"('#mars', ""Malheur, malheur à qui voudra contraindre Un si grand héros à s'armer."")",1.0,Deletion
18,,"('#venus', ""Tout doit l'aimer."")",1.0,Deletion
19,,"('#mars', 'Tout doit le craindre.')",1.0,Deletion
20,,"('#venus #mars', ""Tout doit le craindre, Tout doit l'aimer."")",1.0,Deletion
21,,"('#venus #mars', ""Qu'il passe, au gré de ses désirs, De la gloire aux plaisirs, Des plaisirs à la gloire. Venez, aimables dieux, venez tous dans sa cour. Mêlez aux chants de victoire Les douces chansons d'amour. Bacchus et Cérès suivis de moissonneurs, de sylvains et de bacchantes, ramènent les amours, les Grâces, les plaisirs, et les jeux."")",1.0,Deletion
22,,"('#le-choeur-des-graces', ""Mêlons aux chants de victoire Les douces chansons d'amour."")",1.0,Deletion
23,"('#sostrate', ""J'avoue que je n'ai pas naturellement grande curiosité pour ces sortes de choses."")","('#bacchus #ceres', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.35,Substitution
24,"('#clitidas', ""Mon_Dieu !  Quand on n'aurait nulle curiosité pour les choses, on en a toujours pour aller où l'on trouve tout le monde, et quoi que vous puissiez dire, on ne demeure point tout seul pendant une fête à rêver parmi des arbres comme vous faites, à moins d'avoir en tête quelque chose qui embarrasse."")","('#choeur #graces', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",0.89,Substitution
25,,"('#mars #venus', 'Au milieu de la guerre Goûtons les plaisirs de la paix.')",1.0,Deletion
26,"('#sostrate', ""Que voudrais-tu que j'y pusse avoir ?"")","('#le-choeur-graces', ""Au milieu de la guerre Goûtons les plaisirs de la paix. La troupe des moissonneurs commence une danse agréable, et environne Cérès dans le temps qu'elle chante."")",1.79,Substitution
27,"('#clitidas', ""Ouais, je ne sais d'où cela vient, mais il sent ici l'amour ; ce n'est pas moi.  Ah !  Par ma foi c'est vous."")","('#ceres', ""Trop heureux qui moissonne Dans les champs des amours ! Amants que rien ne vous étonne, L'espérance est un grand secours : Quand on vient à cueillir les fruits que l'amour donne, On est riche à jamais, et content pour toujours, Trop heureux qui moissonne Dans les champs des amours. Bacchus chante au milieu des sylvains et des bacchantes qui dansent."")",1.08,Substitution
28,"('#sostrate', 'Que tu es fou, Clitidas.')","('#bacchus', ""Pour les plus fortunés, pour les plus malheureux, Dans l'empire amoureux, Le dieu du vin est nécessaire : S'il prend part aux plaisirs c'est pour les redoubler ; Il charme les chagrins des cours qu'on désespère : Bacchus a de quoi consoler De tous les maux qu'amour peut faire. La troupe qui suit Cérès, et la troupe des suivants de Bacchus se réunissent, et expriment ensemble leur joie par une danse, que les autres dieux accompagnent de leurs chants ; et tous enfin se retirent pour faire place, et pour prendre part au magnifique divertissement qui va paraître."")",1.53,Substitution
29,"('#clitidas', ""Je ne suis point fou, vous êtes amoureux, j'ai le nez délicat, et j'ai senti cela d'abord."")","('#mars #venus', ""Qu'il passe au gré de ses désirs De la gloire aux plaisirs, Des plaisirs à la gloire ; Venez, aimables dieux, venez tous, dans sa cour : Mêlez aux chants de victoire Les douces chansons d'amour."")",0.96,Substitution
30,,"('#le-choeur-des-graces', ""Mêlons aux chants de victoire Les douces chansons d'amour."")",1.0,Deletion
31,"('#sostrate', 'Sur quoi prends-tu cette pensée.')","('#bacchus #ceres', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.73,Substitution
32,"('#clitidas', 'Sur quoi ?  Vous seriez bien étonné si je vous disais encore de qui vous êtes amoureux.')","('#choeur-des-graces', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.67,Substitution
33,"('#sostrate', 'Moi ?')","('#mars #venus', 'Au milieu de la guerre, Goûtons les plaisirs de la paix.')",1.85,Substitution
34,,"('#le-choeur-des-graces', 'Au milieu de la guerre, Goûtons les plaisirs de la paix.')",1.0,Deletion
35,,"('#le-choeur-des-combattants', ""Avançons, avançons ; que rien ne nous étonne ; Frappons, perçons, frappons ; qu'on n'épargne personne ; Il faut périr, il faut périr ; Il faut vaincre, ou mourir."")",1.0,Deletion
36,"('#clitidas', ""Oui, je gage que je vais deviner tout à l'heure celle que vous aimez.  J'ai mes secrets aussi bien que notre astrologue, dont la princesse Aristione est entêtée ; et s'il a la science de lire dans les astres la fortune des hommes, j'ai celle de lire dans les yeux le nom des personnes qu'on aime.  Tenez-vous un peu, et ouvrez les yeux.  É, par soi, é, r, i, ri, éri, p, h, i, phi, ériphi ; l, e, le : Ériphile.  Vous êtes amoureux de la Princesse Ériphile."")","('#aegle', ""Quel que soit mon destin, il faut ici l'attendre, Minerve, c'est à vous que je viens recourir. Divinité qui devez prendre Le soin de nous défendre, Hâtez-vous de nous secourir."")",0.85,Substitution
37,,"('#le-choeur-des-combattants', 'Il faut vaincre, ou mourir.')",1.0,Deletion
38,"('#sostrate', ""Ah !  Clitidas ; j'avoue que je ne puis cacher mon trouble, et tu me frappes d'un coup de foudre."")","('#aegle', ""Ô ciel ! ô juste ciel ! Vous est-il doux d'entendre Ces cris pleins de fureur que je ne puis souffrir ? Dieux ! Aimez-vous à voir tant de sang se répandre ?"")",0.89,Substitution
39,,"('#le-choeur-des-combattants', 'Il faut périr, il faut périr, Il faut vaincre ou mourir.')",1.0,Deletion
40,"('#clitidas', 'Vous voyez si je suis savant ?')",,1.0,Insertion
41,"('#sostrate', 'Hélas !  Si, par quelque aventure, tu as pu découvrir le secret de mon coeur, je te conjure au moins de ne le révéler à qui que ce soit, et surtout de le tenir caché à la belle princesse dont tu viens de dire le nom.')","('#aegle', ""Est-ce aux athéniens, est-ce au parti contraire, Que l'avantage est demeuré ? Dis-moi pour qui le sort s'est enfin déclaré. Ton silence me désespère."")",1.02,Substitution
42,"('#clitidas', ""Et sérieusement parlant, si dans vos actions j'ai bien pu connaître, depuis un temps, la passion que vous voulez tenir secrète, pensez-vous que la princesse Ériphile puisse avoir manqué de lumière pour s'en apercevoir ?  Les belles, croyez-moi, sont toujours les plus clairvoyantes à découvrir les ardeurs qu'elles causent, et le langage des yeux et des soupirs se fait entendre mieux qu'à tout autre à celles à qui il s'adresse."")","('#cleone', ""Pardonnez à la peur qui me force à me taire. Mes yeux troublés d'effroi n'ont rien considéré : Thésée est le dieu tutélaire Qui me donne en ce temple un refuge assuré : Je ne sais rien de plus, et j'ai cru beaucoup faire De gagner en tremblant cet asile sacré."")",0.59,Substitution
43,"('#sostrate', ""Laissons-la, Clitidas, laissons-la voir si elle peut dans mes soupirs et mes regards l'amour que ses charmes m'inspirent, mais gardons bien que par nulle autre voie, elle en apprenne jamais rien."")","('#aegle', ""Au milieu des clameurs, au travers du carnage, Thésée a jusqu'ici conduit mes pas errants : Son généreux courage A fait ses premiers soins de m'ouvrir un passage Entre deux effroyables rangs De morts et de mourants. N'as-tu point admiré l'ardeur noble et guerrière Dont il court au péril et s'expose au trépas ? Ah qu'un jeune héros dans l'horreur des combats Couvert de sang, et de poussière, Aux yeux d'une princesse fière A de charmants appas !"")",0.54,Substitution
44,"('#clitidas', ""Et qu'appréhendez-vous ?  Est-il possible que ce même Sostrate qui n'a pas craint ni Brennus, ni tous les Gaulois et dont le bras a si glorieusement contribué à nous défaire de ce déluge de barbares qui ravageait la Grèce ?  Est-il possible, dis-je, qu'un homme si assuré dans la guerre soit si timide en amour, et que je le voie trembler à dire seulement qu'il aime ? "")","('#cleone', ""Thésée est aimable, il vous aime ; Tout cède à sa valeur extrême ; Vous pouvez sans rougir souffrir à votre tour Que jusqu'à votre cour il porte sa victoire. Il n'est rien de si beau que les noeuds de l'amour Quand ils sont formés par la gloire."")",0.44,Substitution
45,"('#sostrate', 'Ah !  Clitidas, je tremble avec raison, et tous les Gaulois du monde ensemble sont bien moins redoutables, que deux beaux yeux pleins de charmes.')","('#aegle #cleone', ""Il n'est rien de si beau que les noeuds de l'amour Quand ils sont formés par la gloire."")",1.29,Substitution
46,,"('#le-choeur-des-combattants', 'Il faut périr, il faut périr, Il faut vaincre, ou mourir.')",1.0,Deletion
47,,"('#aegle', ""Le ciel ne veut-il point mettre fin à nos peines ? Éclaircis-nous, Arcas, quel est le sort d'Athènes ?"")",1.0,Deletion
48,,"('#arcas', ""Le combat dure encor, il est sanglant, affreux, Et le succès en est douteux. Le roi m'a commandé de prendre Le soin de l'avertir s'il fallait vous défendre, Et ce n'est que pour vous qu'il est touché d'effroi..."")",1.0,Deletion
49,,"('#aegle', 'Thésée est-il avec le roi ?')",1.0,Deletion
50,"('#clitidas', ""Je ne suis pas de cet avis, et je sais bien pour moi qu'un seul Gaulois l'épée à la main, me ferait beaucoup plus trembler que cinquante beaux yeux ensemble les plus charmants du monde.  Mais dites-moi un peu, qu'espérez-vous faire ?"")","('#arcas', ""Des plus fiers ennemis il écarte la foule, On reconnaît sa trace aux flots du sang qui coule : Une grêle de traits ne l'a point retenu."")",0.88,Substitution
51,,"('#aegle', ""Ô dieux ! ... Mon secret est connu ; Je crains devant Arcas d'en faire trop entendre, Cléone, s'il se peut, obtiens qu'il aille apprendre Ce que Thésée est devenu. Elle dit ce qui suit à Cléone."")",1.0,Deletion
52,,"('#cleone', ""Laissons aller la princesse, Prier en paix la déesse. Arcas, je veux voir en ce jour Jusqu'où va pour moi ton amour."")",1.0,Deletion
53,"('#sostrate', 'Mourir sans déclarer ma passion.')","('#arcas', 'Peux-tu douter de ma tendresse ?')",0.84,Substitution
54,"('#clitidas', ""L'espérance est belle.  Allez, allez, vous vous moquez, un peu de hardiesse réussit toujours aux amants ; il n'y a en amour que les honteux qui perdent, et je dirais ma passion à une Déesse moi, si j'en devenais amoureux."")","('#cleone', ""J'en doute encor, je le confesse. Tu m'as fait des serments cent fois Que tu suivrais toujours mes lois, Et qu'il te serait doux de mourir pour me plaire ; Mais la plupart des amants Sont sujets à faire Bien des faux serments."")",0.29,Substitution
55,,"('#arcas', ""Tu n'as qu'à commander, tu seras satisfaite."")",1.0,Deletion
