,dufresny-regnard-chinois,dufresny-depart-des-comediens,Cost,Operation Type
0,"('#apollon', ""Qui rend donc Pégase si hargneux ?  Apparemment, mademoiselle Thalie, que vous avez oublié de lui donner son avoine aujourd'hui."")",,1.0,Insertion
1,"('#thalie', ""Ne vous souvenez-vous pas que ce n'est plus moi qui le panse ?  Vous en avez donné la charge aux auteurs ; et depuis ce temps aussi, le pauvre animal, hélas !  Les os lui percent la peau."")",,1.0,Insertion
2,"('#apollon', ""C'est sa faute.  Pourquoi se laisse-t-il monter par le premier venu ?"")",,1.0,Insertion
3,"('#thalie', ""Il est vrai que c'est la monture banale de tous les regrattiers du Parnasse ; il n'y a pas jusqu'aux femmes qui le font trotter en vers alexandrins ; et je ne sais pas quel diable de train elles le font aller ; mais il ne revient jamais à l'écurie qu'il ne soit crevé de coups d'éperon."")","('#arlequin', ""Déserts, affreux déserts, sombres loges, parterre,  Balcons inhabités, théâtre solitaire ;  Et vous fidèles bancs, qui seuls depuis six mois,  Demeurez attentifs à nos comiques voix ;  Je viens vous raconter les malheurs de ma bourse.  De ces malheurs, hélas ! Le printemps est la source.  Le cruel mois de Mai, qui devrait tous les ans  Fournir nos coquettes d'amants,  Les effarouche et les écarte :  Il n'est officier qui ne parte.  Ô renouveau fatal, qui fais couler nos pleurs !  Pendant qu'on voit briller les parterres de fleurs,  Le nôtre languissant, ne pousse  Que des chardons et de la mousse.  Oui, le printemps qui vient peupler les arbrisseaux  De mille différents oiseaux,  Dépeuple de plumets, théâtres et ruelles,  Et fait nicher les hirondelles  Tranquillement dans nos plafonds.  On voit reverdir les buissons,  Et sécher sur pied les grisettes.  Le printemps vient enfin désoler nos cassettes.  À ce mot, mon coeur se saisit. Déjà vox faucibus haesit.  Qu'êtes-vous devenus, jeunes foudres de guerre,  Qui triomphiez jadis dans ce vaste parterre ?  Hélas ! Je n'y vois plus  Ce doux flux et reflux  De têtes ondoyantes,  Qui rend en plein hiver nos moissons abondantes,  Quand le troupeau guerrier et terrestre et marin,  Vient piétiner notre terrain ;  En y semant quelques paroles,  Nous recueillons force pistoles.  À présent nous semons dans la concavité.  Notre voix n'y produit qu'un écho répété ;  Écho fatal, qui va jusques dans nos marmites  Prouver le vide aux parasites.  Je le prouverais au Docteur entêté,  Que ma bourse est vide en été.  Depuis six mois entiers, à peine le dimanche  Arlequin tire-t-il les frais de son éclanche.  Aussi faute d'émolument  On voit que le relâchement  Se met dans la troupe comique :  Mezzetin s'en va voyager,  Le docteur quitte la boutique,  Pasquariel nous fait enrager ;  Octave fait l'amour, et Cinthe a la colique :  Notre caissier s'endort en faisant la recette,  Et le portier lit la gazette.  Le théâtre représente une solitude. "")",0.7,Substitution
4,"('#apollon', ""Puisqu'on a mis Pégase sur le pied d'un cheval de louage, c'est aux auteurs qui le louent à le nourrir."")",,1.0,Insertion
5,"('#thalie', ""Et comment voulez-vous que les auteurs nourrissent un cheval ?  Les pauvres diables ont bien de la peine à se nourrir eux-mêmes.  Voyez-vous, dans le temps où nous sommes, on n'engraisse guère à mâcher du laurier."")",,1.0,Insertion
6,"('#apollon', ""Ils m'ont promis qu'ils ne feraient plus que de bonnes pièces : il faut espérer qu'ils seront plus gras cet hiver."")",,1.0,Insertion
7,"('#thalie', ""Il est vrai que les auteurs et les comédiens sont du naturel des bécasses ; ils n'engraissent point que le froid ne leur ait donné sur la queue.  Franchement, ces messieurs-là nous barbouillent terriblement dans le monde ; car le public croit que c'est vous et moi qui leur inspirons toutes les sottises qu'ils mettent sur le théâtre."")","('#colombine', ""À quoi diantre s'amuse Arlequin, pendant que la troupe tient conseil sur les affaires présentes ?"")",1.12,Substitution
8,,"('#arlequin', ""Je racontais nos malheurs aux échos et aux bois d'alentour."")",1.0,Deletion
9,"('#apollon', ""Le public a tort.  Mais, à propos de sottises, qu'est-ce qu'une certaine pièce que les comédiens italiens ont affichée ?  La Comédie des Comédiens Chinois ?  Cette troupe-là est toujours magnifique en titres."")","('#colombine', 'Tu ferais bien mieux de chercher quelque remède à nos maux.')",1.82,Substitution
