,la-fontaine-daphne,moliere-psyche,Cost,Operation Type
0,"('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")","('#flore', ""Ce n'est plus le temps de la guerre ; Le plus puissant des Rois Interrompt ses exploits, Pour donner la paix à la terre. Descendez, Mère des Amours, Venez nous donner de beaux jours. Vertumne et Palaemon, avec les divinités qui les accompagnent, joignent leurs voix à celle de Flore, et chantent ces paroles."")",0.49,Substitution
1,,"('#choeur', ""Nous goûtons une paix profonde ; Les plus doux jeux sont ici-bas ; On doit ce repos plein d'appas Au plus Grand Roi du Monde. Descendez, mère des Amours, Venez nous donner de beaux jours. Il se fait ensuite une entrée de ballet, composée de deux Dryades, quatre Sylvains, deux Fleuves et deux Naïades. Après laquelle, Vertumne et Palaemon chantent ce dialogue."")",1.0,Deletion
2,,"('#vertumne', 'Rendez-vous, beautés cruelles, Soupirez à votre tour.')",1.0,Deletion
3,,"('#palaemon', ""Voici la reine des Belles, Qui vient inspirer l'amour."")",1.0,Deletion
4,"('#venus', 'Charmante oisiveté, repos délicieux !')","('#vertumne', 'Un bel objet toujours sévère Ne se fait jamais bien aimer.')",1.3,Substitution
5,"('#minerve', 'Ou plutôt, repos ennuyeux !')","('#palaemon', ""C'est la beauté qui commence de plaire, Mais la douceur achève de charmer."")",1.58,Substitution
6,,"('#vertumne #palaemon', ""C'est la beauté qui commence de plaire. Mais la douceur achève de charmer. Ils répètent ensemble ces derniers vers."")",1.0,Deletion
7,,"('#vertumne', ""Souffrons tous qu'Amour nous blesse ; Languissons, puisqu'il le faut."")",1.0,Deletion
8,,"('#palaemon', 'Que sert un coeur sans tendresse ? Est-il un plus grand défaut ?')",1.0,Deletion
9,,"('#vertumne', 'Un bel objet toujours sévère Ne se fait jamais bien aimer.')",1.0,Deletion
10,,"('#palaemon', ""C'est la beauté qui commence de plaire, Mais la douceur achève de charmer. Flore répond au Dialogue de Vertumne et de Palaemon, par ce menuet ; et les autres Divinités y mêlent leurs danses."")",1.0,Deletion
11,"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")","('#flore', ""Est-on sage Dans le bel âge, Est-on sage De n'aimer pas ? Que sans cesse L'on se presse De goûter les plaisirs ici-bas : La sagesse De la jeunesse, C'est de savoir jouir de ses appas. L'amour charme Ceux qu'il désarme ; L'Amour charme, Cédons-lui tous, Notre peine Serait vaine De vouloir résister à ses coups : Quelque chaîne Qu'un amant prenne, La liberté n'a rien qui soit si doux. Vénus descend du ciel dans une grande machine avec l'Amour son fils, et deux petites Grâces, nommés AEgiale et Phaène, et les Divinités de la Terre et des Eaux recommencent de joindre toutes leurs voix, et continuent par leurs danses de lui témoigner la joie qu'elles ressentent à son abord."")",0.43,Substitution
12,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",,1.0,Insertion
13,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")","('#choeur', ""Nous goûtons une paix profonde ; Les plus doux jeux sont ici-bas ; On doit ce repos plein d'appas Au plus grand Roi du Monde. Descendez, mère des Amours, Venez nous donner de beaux jours."")",0.88,Substitution
