moliere-divertissement-chambord,moliere-monsieur-pourceaugnac,Score
-,"('#premiere-voix', ""Répands, charmante nuit, répands sur tous les yeux, De tes pavots la douce violence, Et ne laisse veiller en ces aimables lieux: Que les coeurs que l'Amour soumet à sa puissance. Tes ombres et ton silence  Plus beau que le plus beau jour, Offrent de doux moments à soupirer d'amour."")",0.0
-,"('#deuxieme-voix', ""Que soupirer d'amour Est une douce chose, Quand rien à nos voeux ne s'oppose ! À d'aimables penchants notre coeur nous dispose, Mais on a des tyrans à qui l'on doit le jour. Que soupirer d'amour Est une douce chose, Quand rien à nos voeux ne s'oppose !"")",0.0
-,"('#troisieme-voix', ""Tout ce qu'à nos voeux on oppose, Contre un parfait amour ne gagne jamais rien ; Et pour vaincre toute chose, Il ne faut que s'aimer bien."")",0.0
-,"('#trois-voix-ensemble', ""Aimons-nous donc d'une ardeur éternelle, Les rigueurs des parents, la contrainte cruelle, L'absence, les travaux, la fortune rebelle, Ne font que redoubler une amitié fidèle : Aimons-nous donc d'une ardeur éternelle.  Quand deux coeurs s'aiment bien, Tout le reste n'est rien. La sérénade est suivie d'une danse de deux Pages, pendant laquelle quatre Curieux de spectacles, ayant pris querelle ensemble, mettent l'épée à la main. Après un assez agréable combat, ils sont séparés par deux Suisses, qui les ayant mis d'accord dansent avec eux, au son de tous les instruments."")",0.0
-,"('#julie', ""Mon_Dieu !  Éraste, gardons d'être surpris ; je tremble qu'on ne nous voie ensemble, et tout serait perdu, après la défense que l'on m'a faite."")",0.0
-,"('#eraste', ""Je regarde de tous côtés, et je n'aperçois rien."")",0.0
-,"('#julie', ""Aie aussi l'oeil au guet, Nérine, et prends bien garde qu'il ne vienne personne."")",0.0
-,"('#nerine', 'Reposez-vous sur moi, et dites hardiment ce que vous avez à vous dire.')",0.0
-,"('#julie', ""Avez-vous imaginé pour notre affaire quelque chose de favorable ?  Et croyez-vous, Éraste, pouvoir venir à bout de détourner ce fâcheux mariage que mon père s'est mis en tête ?"")",0.0
-,"('#eraste', 'Au moins y travaillons-nous fortement ; et déjà nous avons préparé un bon nombre de batteries pour renverser ce dessein ridicule.')",0.0
-,"('#nerine', 'Par ma foi, voilà votre père !')",0.0
-,"('#julie', 'Ah séparons-nous vite.')",0.0
-,"('#nerine', ""Non, non, non, ne bougez, je m'étais trompée."")",0.0
-,"('#julie', 'Mon_Dieu, Nérine, que tu es sotte de nous donner de ces frayeurs !')",0.0
-,"('#eraste', ""Oui, belle Julie, nous avons dressé pour cela quantités de machines, et nous ne feignons point de mettre tout en usage, sur la permission que vous m'avez donnée.  Ne nous demandez point tous les ressorts que nous ferons jouer, vous en aurez le divertissement ; et comme aux comédies, il est bon de vous laisser le plaisir de la surprise, et de ne vous avertir point de tout ce qu'on vous fera voir, c'est assez de vous dire que nous avons en main divers stratagèmes tous prêts à produire dans l'occasion, et que l'ingénieuse Nérine et l'adroit Sbrigani entreprennent l'affaire."")",0.0
-,"('#nerine', ""Assurément.  Votre père se moque-t-il de vouloir vous anger***** de son avocat de Limoges, Monsieur de Pourceaugnac, qu'il n'a vu de sa vie, et qui vient par le coche vous enlever à notre barbe ?  Faut-il que trois ou quatre mille écus de plus, sur la parole de votre oncle, lui fassent rejeter un amant qui vous agrée ?  Et une personne comme vous est-elle faite pour un Limousin ?  S'il a envie de se marier, que ne prend-il une Limo[u]sine et ne laisse-t-il en repos les chrétiens ?  Le seul nom de Monsieur de Pourceaugnac m'a mis dans une colère effroyable.  J'enrage de Monsieur de Pourceaugnac.  Quand il n'y aurait que ce nom-là, Monsieur de Pourceaugnac, j'y brûlerai mes livres, ou je romprai ce mariage, et vous ne serez point Madame de Pourceaugnac.  Pourceaugnac !  Cela se peut-il souffrir ?  Non, Pourceaugnac est une chose que je ne saurais supporter, et nous lui jouerons tant de pièces, nous lui ferons tant de niches sur niches, que nous renverrons à Limoges Monsieur de Pourceaugnac."")",0.0
-,"('#eraste', 'Voici notre subtil Napolitain, qui nous dira des nouvelles.')",0.0
