,quinault-proserpine,voltaire-pandore,Cost,Operation Type
0,"('#la-paix', ""Héros, dont la valeur étonne l'univers, Ah ! Quand briserez-vous nos fers ? La discorde nous tient ici sous sa puissance ; La barbare se plaît à voir couler nos pleurs ; Soyez touché de nos malheurs, Vous êtes dans nos maux notre unique espérance ; Héros, dont la valeur étonne l'univers, Ah quand briserez-vous nos fers ! La suite de la Paix répète ces deux derniers vers. La haine, la Rage, les Chagrins, la Jalousie, le Dépit, le Désespoir, et toute la suite de la Discorde, témoignent les douceurs qu'ils trouvent dans l'esclavage où ils ont réduit la Paix."")","('#promethee', ""Prodige de mes mains, charmes que j'ai fait naître,  Je vous appelle en vain, vous ne m'entendez pas :  Pandore, tu ne peux connaître  Ni mon amour ni tes appas.  Quoi ! J'ai formé ton coeur, et tu n'es pas sensible !  Tes beaux yeux ne peuvent me voir !  Un impitoyable pouvoir  Oppose à tous mes voeux un obstacle invincible :  Ta beauté fait mon désespoir.  Quoi ! Toute la nature autour de toi respire !  Oiseaux, tendres oiseaux, vous chantez, vous aimez :  Et je vois ses appas languir inanimés,  La mort les tient sous son empire. "")",0.44,Substitution
1,"('#la-discorde', ""Soupirez, triste paix, malheureuse captive, Gémissez, et n'espérez-pas Qu'un héros que j'engage en de nouveaux combats Écoute votre voix plaintive. Plus il moissonne de lauriers, Plus j'offre de matière à ses travaux guerriers. J'anime les vaincus d'une nouvelle audace ; J'oppose à la vive chaleur De son indomptable valeur Mille fleuves profonds, cent montagnes de glace. La victoire empressée à conduire ses pas Se prépare à voler aux plus lointains climats ; Plus il la suit, plus il la trouve belle ; Il oublie aisément pour elle La paix et ses plus doux appas."")","('#encelade-typhon', ""Enfant de la terre et des cieux,  Tes plaintes et tes cris ont ému ce bocage.  Parle, quel est celui des dieux  Qui t'ose faire quelque outrage ? "")",0.52,Substitution
2,"('#la-paix #suite-de-la-paix', 'Ô rigueurs inhumaines ! Faut-il ne voir jamais finir le triste cours De nos malheurs, et de nos peines ?')","('#promethee', ""Jupiter est jaloux de mon divin ouvrage :  Il craint que cet objet n'ait un jour des autels :  Il ne peut sans courroux voir la terre embellie :  Jupiter à Pandore a refusé la vie !  Il rend mes chagrins éternels. "")",1.43,Substitution
3,"('#la-discorde #suite-de-la-discorde', ""Vos plaintes seront vaines N'espérez jamais de secours."")",,1.0,Insertion
4,"('#la-paix #suite-de-la-paix', 'Quel tourment de languir toujours Sous de cruelles chaînes !')","('#typhon', ""Jupiter ?quoi ! C'est lui qui formerait nos âmes ?  L'usurpateur des cieux peut être notre appui ?  Non, je sens que la vie et ses divines flammes  Ne viennent point de lui. "")",1.15,Substitution
5,"('#la-discorde #suite-de-la-discorde', ""Vos plaintes seront vaines N'espérez jamais de secours. On entend un bruit de trompettes et de timbales."")","('#encelade', ""Nous avons pour aïeux la Nuit et le Tartare.  Invoquons l'éternelle Nuit :  Elle est avant le Jour qui luit.  Que l'Olympe cède au Ténare. "")",1.73,Substitution
6,"('#la-discorde', ""Ce bruit que la victoire en ces lieux fait entendre. M'avertit qu'elle y va descendre. Quel plaisir de lui faire voir Mon ennemie au désespoir ! La victoire descend, elle est accompagnée d'un grand nombre de victoires, et de héros."")","('#typhon', ""Que l'enfer, que mes dieux répandent parmi nous  Le germe éternel de la vie :  Que Jupiter en frémisse d'envie,  Et qu'il soit vainement jaloux. "")",1.27,Substitution
7,"('#la-victoire', 'Venez aimable paix, le vainqueur vous appelle, La victoire devient votre guide fidèle ; Venez dans un heureux séjour. Vous, discorde affreuse et cruelle, Portez ses fers à votre tour.')","('#promethee #deux-titans', ""Écoutez-nous, dieux de la nuit profonde :  De nos astres nouveaux contemplez la clarté :  Accourez du centre du monde :  Rendez féconde  La terre qui m'a porté :  Animez la beauté :  Que votre pouvoir seconde  Mon heureuse témérité ! "")",0.18,Substitution
8,"('#la-victoire #suite-de-la-victoire', ""Venez, aimable paix, le vainqueur vous appelle. La suite de la Victoire déchaîne la Paix et les divinités qui l'accompagnent, et enchaîne la Discorde et sa suite."")","('#promethee', ""Au séjour de la nuit vos voix ont éclaté :  Le jour pâlit, la terre tremble :  Le monde est ébranlé, l'Érèbe se rassemble.  Le théâtre change, et représente le Chaos. Tous les dieux de l'enfer viennent sur la scène."")",0.69,Substitution
9,"('#la-paix #suite-de-la-paix', 'Ah ! Quel bonheur charmant !')",,1.0,Insertion
10,"('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')","('#choeur-des-dieux-infernaux', ""Nous détestons  La lumière éternelle :  Nous attendons  Dans nos gouffres profonds  La race faible et criminelle  Qui n'est pas née encore, et que nous haïssons. "")",1.39,Substitution
11,"('#la-discorde', ""Orgueilleuse victoire, est-ce à toi d'entreprendre De mettre la Discorde aux fers ? À quels honneurs sans moi peux-tu jamais prétendre ?"")","('#nemesis', 'Les ondes du Léthé, les flammes du Tartare  Doivent tout ravager.  Parlez, qui voulez-vous plonger  Dans les profondeurs du Ténare ? ')",0.87,Substitution
12,"('#la-victoire', ""Ah ! Qu'il est beau de rendre La Paix à l'univers."")","('#promethee', ""Je veux servir la terre, et non pas l'opprimer.  Hélas ! a cet objet j'ai donné la naissance,  Et je demande en vain qu'il s'anime, qu'il pense,  Qu'il soit heureux, qu'il sache aimer. "")",0.85,Substitution
13,"('#la-discorde', ""Tes soins pour le vainqueur pouvaient plus loin s'étendre ? Que ne conduisais-tu le héros que tu sers, Où cent lauriers nouveaux lui sont encore offerts ? La gloire au bout du monde aurait été l'attendre."")",,1.0,Insertion
14,"('#la-victoire', ""Ah ! Qu'il est beau de rendre la paix à l'univers. Après avoir vaincu mille peuples divers, Quand on ne voit plus rien qui puisse se défendre, Ah ! Qu'il est beau de rendre la paix à l'univers. La suite de la victoire et la suite de la paix, répètent ces derniers vers."")","('#les-trois-parques', ""Notre gloire est de détruire,  Notre pouvoir est de nuire :  Tel est l'arrêt du sort.  Le ciel donne la vie, et nous donnons la mort. "")",0.57,Substitution
15,"('#la-discorde', ""Ô ! Cruel esclavage ! Je ne verrai donc plus de sang et de carnage ? Ah ! Pour mon désespoir faut-il que le vainqueur Ait triomphé de son courage ? Faut-il qu'il ne laisse à ma rage Rien à dévorer que mon coeur ? Ô ! Cruel esclavage ! La suite de la Discorde répète ce dernier vers."")","('#promethee', ""Fuyez donc à jamais ce beau jour qui m'éclaire :  Vous êtes malfaisants, vous n'êtes point mes dieux.  Fuyez, destructeurs odieux  De tout le bien que je veux faire :  Dieux des malheurs, dieux des forfaits,  Ennemis funèbres,  Replongez-vous dans les ténèbres :  Ennemis funèbres,  Laissez le monde en paix. "")",0.46,Substitution
16,"('#la-victoire', ""Au fond d'un gouffre plein d'horreur, Que sous des fers pesants la discorde gémisse. Partagez son supplice Vous qui partagez sa fureur. Et vous triste séjour, changez, que tout ressente Le pouvoir plein d'appas de la Paix triomphante. La Discorde et sa suite s'abîment dans des gouffres qui s'ouvrent sous leurs pas, et l'affreuse retraite de la Discorde se change en un palais agréable."")","('#nemesis', ""Tremble, tremble pour toi-même :  Crains notre retour,  Crains Pandore et l'Amour.  Le moment suprême  Vole sur tes pas.  Nous allons déchaîner les démons des combats :  Nous ouvrirons les portes du trépas.  Tremble, tremble pour toi-même. "")",0.49,Substitution
17,"('#la-paix #suite-de-la-paix', 'Ah quel bonheur charmant !')",,1.0,Insertion
18,"('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')","('#promethee', ""Ah ! Trop cruels amis ! Pourquoi déchaîniez-vous,  Du fond de cette nuit obscure,  Dans ces champs fortunés, et sous un ciel si doux,  Ces ennemis de la nature ?  Que l'éternel chaos élève entre eux et nous  Une barrière impénétrable !  L'enfer implacable  Doit-il animer  Ce prodige aimable  Que j'ai su former ?  Un dieu favorable  Le doit enflammer. "")",1.06,Substitution
19,"('#la-victoire #la-paix', ""Le vainqueur est comblé de gloire, On doit l'admirer à jamais : Il s'est servi de la victoire Pour faire triompher la paix. La suite de la victoire et la suite de la paix répètent ces quatre vers. La suite de la paix témoigne sa joie en dansant et en chantant."")","('#encelade', ""Puisque tu mets ainsi la grandeur de ton être  À verser des bienfaits sur ce nouveau séjour,  Tu méritais d'en être le seul maître.  Monte au ciel, dont tu tiens le jour :  Va ravir la céleste flamme :  Ose former une âme,  Et sois créateur à ton tour. "")",1.13,Substitution
20,"('#la-felicite #l-abondance', ""Il est temps que l'amour nous enchaîne, Il sait vaincre les plus fiers vainqueurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs : Il n'a point de bien sans peine, Mais peut-on trop payer ses douceurs. Dans les fers qu'Amour veut que l'on prenne, Tout est doux jusqu'aux plus tristes pleurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs, etc."")","('#promethee', ""L'Amour est dans les cieux : c'est là qu'il faut me rendre :  L'Amour y règne sur les dieux.  Je lancerai ses traits, j'allumerai ses feux :  C'est le dieu de mon coeur, et j'en dois tout attendre.  Je vole à son trône éternel :  Sur les ailes des vents l'Amour m'enlève au ciel.  Il s'envole."")",0.34,Substitution
21,"('#la-paix', ""On a quitté les armes. Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. On ne versera plus de larmes, Tous les coeurs seront sans alarmes ; Et si l'on craint encor des tourments rigoureux Ce sera seulement dans l'empire amoureux. On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. Le choeur répète ces derniers vers."")","('#choeur-des-nymphes', ""Volez, fendez les airs, et pénétrez l'enceinte  Des palais éternels :  Ramenez les plaisirs du séjour de la crainte :  En répandant des biens méritez des autels. "")",0.83,Substitution
22,"('#la-felicite', ""Que l'amour est doux à suivre ! Quel plaisir de s'enflammer ! Un jeune coeur ne commence de vivre Que du moment qu'il commence d'aimer. Malheureux qui se délivre D'un tourment qui sait charmer. On reconnaît que l'on cesse de vivre En même temps que l'on cesse d'aimer."")","('#dryade', ""Chantez, nymphes des bois, chantez l'heureux retour  Du demi-dieu qui commande à la terre :  Il vous apporte un nouveau jour :  Il revient dans ce doux séjour  Du séjour brillant du tonnerre :  Il revole en ces lieux sur le char de l'Amour. "")",0.7,Substitution
23,"('#le-choeur', 'On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux.')","('#choeur-des-nymphes', 'Quelle douce aurore  Se lève sur nous !  Terre, jeune encore,  Embellissez-vous.  Brillantes fleurs, qui parez nos campagnes :  Sommets des superbes montagnes,  Qui divisez les airs, et qui portez les cieux :  Ô nature naissante,  Devenez plus charmante,  Plus digne de ses yeux ! ')",1.39,Substitution
24,"('#ceres', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante. Les superbes géants armés contre les dieux Ne nous donnent plus d'épouvante : Ils sont ensevelis sous la masse pesante Des monts qu'ils entassaient pour attaquer les cieux Nous avons vu tomber leur chef audacieux Sous une montagne brûlante ; Jupiter la contraint de vomir à nos yeux Les restes enflammés de sa rage mourante, Jupiter est victorieux, Et tout cède à l'effort de sa main foudroyante. Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")","('#promethee', ""Je le ravis aux dieux, je l'apporte à la terre,  Ce feu sacré du tendre Amour,  Plus puissant mille fois que celui du tonnerre,  Et que les feux du dieu du jour. "")",0.81,Substitution
25,"('#ceres #cyane #crinise', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")","('#choeur-des-nymphes', ""Fille du ciel, âme du monde,  Passez dans tous les coeurs :  L'air, la terre, et l'onde  Attendent vos faveurs. "")",0.85,Substitution
26,"('#ceres', ""Prenez soin d'assembler tout ce qui suit mes lois, Honorons le vainqueur d'une commune voix."")","('#promethee', ""Que ce feu précieux, l'astre de la nature,  Que cette flamme pure  Te mette au nombre des vivants.  Terre, sois attentive à ces heureux instants :  Lève-toi, cher objet, c'est l'Amour qui l'ordonne :  A sa voix obéis toujours :  Lève-toi, l'Amour te donne  La vie, un coeur, et de beaux jours.  Pandore se lève sur son estrade, et marche sur la scène."")",1.41,Substitution
27,"('#ceres #cyane #crinise', ""Honorons le vainqueur d'une commune voix. Cyané et Crinise vont de deux côtés différents appeler les divinités et les peuples de la Sicile, pour venir ensemble célébrer la victoire de Jupiter."")","('#choeur', ""Ciel ! Ô ciel ! Elle respire !  Dieu d'amour, quel est ton empire ! "")",1.42,Substitution
28,"('#ceres', 'Mercure, quel dessein vous fait ici descendre ?')","('#pandore', ""Où suis-je ?et qu'est-ce que je vois ?  Je n'ai jamais été : quel pouvoir m'a fait naître ?  J'ai passé du néant à l'être.  Quels objets ravissants semblent nés avec moi  Ces sons harmonieux enchantent mes oreilles :  Mes yeux sont éblouis de l'amas des merveilles  Que l'auteur de mes jours prodigue sur mes pas.  Ah ! D'où vient qu'il ne paraît pas ?  De moment en moment je pense et je m'éclaire.  Terre qui me portez, vous n'êtes point ma mère :  Un dieu sans doute est mon auteur :  Je le sens, il me parle, il respire en mon coeur.  Ciel ! Est-ce moi que j'envisage ?  Le cristal de cette onde est le miroir des cieux :  La nature s'y peint : plus j'y vois mon image,  Plus je dois rendre grâce aux dieux.  On entend une symphonie. Elle s'assied au bord d'une fontaine."")",1.1,Substitution
29,"('#mercure', ""Jupiter près de vous m'ordonne de me rendre."")","('#nymphes #titans', ""Pandore, fille de l'Amour,  Charmes naissants, beauté nouvelle,  Inspirez à jamais, sentez à votre tour  Cette flamme immortelle  Dont vous tenez le jour.  On danse autour d'elle. On danse."")",1.33,Substitution
30,"('#ceres', ""Non, non, à vos discours je n'ose ajouter foi. Jupiter après sa victoire Songe à tenir en paix l'univers sous sa loi ; Il est trop occupé de sa nouvelle gloire, Eh ! Le moyen de croire Qu'il songe encore à moi ?"")","('#pandore', ""Quel objet attire mes yeux !  De tout ce que je vois, dans ces aimables lieux,  C'est vous, c'est vous, sans doute, à qui je dois la vie.  Du feu de vos regards que mon âme est remplie !  Vous semblez encor m'animer. "")",0.59,Substitution
31,"('#mercure', ""Dans les soins les plus grands dont son âme est remplie Il se souvient toujours que vous l'avez charmé ; Il est mal-aisé qu'on oublie Ce qu'on a tendrement aimé, Il admire les dons que vous venez de faire En cent climats divers, L'abondante Sicile heureuse de vous plaire De vos riches moissons voit tous ses champs couverts : Mais la mère des dieux se plaint que la Phrygie Quelle a toujours chérie, Ne se ressente pas de vos soins bienfaisants ; Et c'est Jupiter qui vous prie D'y porter vos divins présents. Quelle gloire de voir qu'un dieu si grand implore Votre favorable secours !"")","('#promethee', ""Vos beaux yeux ont su m'enflammer  Lorsqu'ils ne s'ouvraient pas encore :  Vous ne pouviez répondre, et j'osais vous aimer.  Vous parlez, et je vous adore. "")",0.71,Substitution
32,"('#ceres', ""Peut-être qu'il m'estime encore, Mais il m'avait promis qu'il m'aimerait toujours. L'amour qui pour lui m'anime Devient plus fort chaque jour, Est-ce assez d'un peu d'estime Pour le prix de tant d'amour."")","('#pandore', ""Vous m'aimez ! Cher auteur de mes jours commencés,  Vous m'aimez ! Et je vous dois l'être !  La terre m'enchantait : que vous l'embellissez !  Mon coeur vole vers vous, il se rend à son maître :  Et je ne puis connaître  Si ma bouche en dit trop, ou n'en dit pas assez."")",0.41,Substitution
33,"('#mercure', ""Il sent l'ardeur qu'un tendre amour inspire, Avec plaisir il se laisse enflammer ; Mais un amant chargé d'un grand empire N'a pas toujours le temps de bien aimer."")","('#promethee', ""Vous n'en sauriez trop dire, et la simple nature  Parle sans feinte et sans détour.  Que toujours la race future  Prononce ainsi le nom d'Amour ! "")",1.01,Substitution
34,"('#ceres', ""Quand de son coeur je devins souveraine N'avait-il pas le monde à gouverner, Et ne trouvait-il pas sans peine Du temps de reste à me donner. Je l'ai vu sous mes lois ce dieu si redoutable. Je l'ai vu plein d'empressement ; Ah ! Qu'il serait aimable, S'il aimait constamment !"")","('#pandore-promethee', ""Charmant Amour, éternelle puissance,  Premier dieu de mon coeur,  Amour, ton empire commence :  C'est l'empire du bonheur. "")",0.64,Substitution
35,"('#mercure', ""Son amour craint de trop paraître, Dans le ciel on l'observe avec des yeux jaloux."")","('#promethee', 'Ciel ! quelle épaisse nuit, quels éclats du tonnerre,  Détruisent les premiers instants  Des innocents plaisirs que possédait la terre !  Quelle horreur a troublé mes sens ! ')",1.22,Substitution
36,"('#ceres', ""De quels dieux n'est-il pas le maître ? Ne les fait-il pas trembler tous ? Que vous l'excusez mal quand mon amour l'accuse ; S'il pouvait avoir quelque excuse, Mon coeur la trouverait mille fois mieux que vous. Allez, à ses désirs il faut que je réponde. Je quitte une paix profonde, Qui m'offre ici mille appas : Que ne quitterait-on pas Pour plaire au maître du monde ? Mercure répète ces deux derniers vers avec Cérès, et s'envole pour aller au ciel retrouver Jupiter."")","('#pandore-promethee', ""La terre frémit, le ciel gronde :  Des éclairs menaçants  Ont percé la voûte profonde  De ces astres naissants.  Quel pouvoir ébranle le monde  Jusqu'en ses fondements ?  On voit descendre un char sur lequel sont Mercure, la Discorde, Némésis, etc. "")",0.31,Substitution
37,"('#ceres', ""La Phrygie a besoin de mes dons précieux, Et je laisse avec vous Proserpine en ces lieux, J'ai peine à la quitter, cette fille si chère..."")","('#mercure', 'Un héros téméraire a pris le feu céleste :  Pour expier ce vol audacieux,  Montez, Pandore, au sein des dieux. ')",1.39,Substitution
38,"('#arethuse', ""Je suis dans la Sicile une nymphe étrangère, Je viens vous conjurer de m'en laisser partir."")",,1.0,Insertion
39,"('#ceres', ""Non, Arethuse, non, je n'y puis consentir."")","('#promethee', 'Tyrans cruels ! ')",1.87,Substitution
40,"('#arethuse', ""Alphée à mon repos a déclaré la guerre : Diane propice à mes voeux, En vain pour me cacher à ce fleuve amoureux, Fit ouvrir le sein de la terre : Il n'est point de détours dans l'ombre des enfers Que son amour n'ait découverts : Je l'ai trouvé partout, et sous des mers profondes J'ai vu ses flots brûlants suivre mes froides ondes ; Je veux le fuir encore au bout de l'univers."")","('#pandore', ""Ordre funeste !  Larmes que j'ignorais, vous coulez de mes yeux. "")",0.44,Substitution
41,"('#ceres', ""Les soins d'un amour extrême Devraient moins vous alarmer : Vous craignez trop qu'on vous aime, Ne craignez vous point d'aimer ? Vous rougissez, Arethuse ; Votre rougeur vous accuse. Il est aisé de voir dans ce trouble fatal Le péril où l'amour en ces lieux vous expose."")","('#mercure', 'Obéissez, montez aux cieux. ')",1.72,Substitution
42,"('#arethuse', ""Le dangereux amour ! Que je lui veux de mal Du trouble qu'il me cause !"")","('#pandore', ""Ah ! J'étais dans le ciel en voyant ce que j'aime. "")",0.95,Substitution
43,"('#ceres', 'Avec Alphée ici je veux vous arrêter.')",,1.0,Insertion
44,"('#arethuse', ""Eh ! De grâce, aidez-moi plutôt à l'éviter. Je crains enfin qu'il ne m'engage, Et sa constance me fait peur : Non, si je le vois davantage, Je ne réponds plus de mon coeur."")","('#promethee', 'Cruels ! ayez pitié de ma douleur extrême. ')",0.87,Substitution
