boyer-amours-jupiter-semele,la-fontaine-daphne,Score
"('#melpomene', ""Superbes demi-Dieux dont les noms éclatants  Triomphent de l'oubli, de la mort et du temps,  Vous que je fais revivre avec tant de gloire,  Héros contentez-vous des honneurs de l'histoire.  Le siècle de Louis confond tout votre orgueil  Pourquoi vous retirer des ombres du cercueil,  Pour faire à ce grand Roi quelque nouveau spectacle ?  Son Règne chaque jour nous fournit un miracle,  Et s'il lui faut offrir des objets glorieux,  Dois-je offrir d'autre objet que lui-même à ses yeux ?  Mais de ce grand dessein mon âme possédée  En peut-elle remplir la glorieuse idée ?  Louis se verra-t-il, tel qu'il est aujourd'hui,  Dans tout ce que ma main entreprendra pour lui ?  De ce fonds infini de gloire et de merveilles...  Mais quel bruit importun a frappé mes oreilles.  C'est une de mes soeurs qui pour quelque succès  Dans un siècle enjoué se flatte avec excès.  Elle vient m'insulter avec cet avantage.  Thalie qui est la déesse de la Comédie descend du Parnasse sur une nue en jouant d'un Tambour de Basque, auquel se mêle un concert de Violons."")",-,0.0
"('#thalie', ""Hé bien toujours ma soeur sur quelque grand ouvrage,  J'ai tort d'oser ainsi troubler votre repos :  Je vois bien qu'au milieu de ces fameux Héros  Votre esprit se remplit de sentiments tragiques.  Vous n'aimez que les vers enflés et magnifiques. "")",-,0.0
"('#melpomene', ""La pompe vous déplaît et vous fait mal aux yeux :  Vous décriez partout le langage des Dieux.  C'est savoir se connaître, et c'est par cette adresse  Qu'étant faible on se fait honneur de sa faiblesse."")",-,0.0
"('#thalie', ""Selon vous tout est faible, à moins d'être en fureur.  Guérissez votre esprit d'une si longue erreur :  Je viens vous détromper et non pas vous combattre :  Ne me disputez plus la gloire du Théâtre ;  Votre Règne est passé, le mien vient à son tour ;  Vous êtes du vieux temps et de la vieille Cour ;  Tout le monde aime à rire, et j'en sais la méthode :  Vos tristes entretiens ne sont plus à la mode ;  Louis m'aime en un mot, j'ai pour lui des appas. "")",-,0.0
"('#melpomene', ""Il vous aime il est vrai, mais il ne me hait pas,  Et pour dire tout haut ce que j'en ose croire,  Louis me doit aimer puisqu'il aime la gloire.  Pouvez-vous inspirer ces nobles mouvements,  Ces belles passions, et ces grands sentiments,  Que je fais si souvent éclater sur la Scène ?  La gloire des héros et la vertu Romaine  Qui la sait mieux que moi retirer du cercueil ?  Qui la fait mieux revivre avec tout son orgueil ?  Pour rendre dignement présents à sa mémoire  Ces exemples fameux de vaillance et de gloire ?  Avez-vous comme moi d'assez nobles chaleurs ?  Avez-vous comme moi d'assez riches couleurs ?  Quoique l'ingénieuse et savante satire  Mêle le soin de plaire à la gloire d'instruire,  Louis peut-il tirer de ces enseignements,  De ces faibles leçons, de ces amusements,  Ces sentiments d'honneur, dont une âme enflammée  Soupire pour la gloire et pour la renommée ?  L'art de porter un Sceptre et de le maintenir ?  L'art de récompenser et celui de punir ?  Ce que vous enseignez n'est que pour le vulgaire ;  Ainsi contentez-vous de la gloire de plaire. "")",-,0.0
"('#thalie', ""Et n'est-ce pas assez de pouvoir quelquefois  Divertir le plus sage et le plus grand des Rois ?  Après que tous les jours sa sagesse profonde  A su dans son Conseil régler le sort du monde,  Est-ce peu que l'honneur de délasser un Roi  De ces soins assidus, de ce pénible emploi,  Pour le mettre en état de reprendre avec joie  Cette noble fatigue où son zèle l'emploie ?  Mais c'est trop peu pour vous, votre orgueil aujourd'hui  Fait de votre Théâtre une école pour lui ;  Pour lui qui pour régner n'a besoin de personne,  Et qui soutient lui seul le poids de la Couronne.  Vantez-vous de l'instruire, il en sait plus que vous :  Ma gloire est de lui plaire et c'est assez pour nous. "")",-,0.0
"('#melpomene', ""Ne puis-je pas ma soeur, ne m'est-il pas facile  De joindre quand je veux l'agréable à l'utile ?  Est-il rien d'aussi beau qu'un transport glorieux  Que pousse avec éclat un coeur ambitieux,  Qu'une intrigue de Cour menée avec adresse,  Qu'un entretien mêlé de flamme et de tendresse ?  Quelle douceur alors qu'un malheureux amant,  Touche le spectateur d'un tendre sentiment !  Lorsque je fais agir cette adresse admirable  Et ce bel art qui rend la douleur agréable,  Et qui des maux d'autrui nous faisant soupirer  Fait trouver si souvent de la joie à pleurer.  Pour vous qui vous piquez de divertir le monde  Donnez-vous une joie et solide et profonde ?  Le ris, l'emportement, n'ont qu'un charme trompeur,  Les sensibles plaisirs sont dans le fond du coeur,  Et ce sont là ma soeur les plaisirs que je donne. "")",-,0.0
"('#thalie', ""Vos charmes sont puissants, mais on vous abandonne,  On ne veut plus de vous, tout le monde est pour moi.  Et pour vous en parler ici de bonne foi,  La pompe de vos vers plaît moins que ma satire ;  Apprenez que pour plaire, il faut savoir médire :  Voilà tout le secret pour aider mon dessein,  Il se glisse en naissant dans tout le genre humain  Un chagrin qui s'attache à la plus belle vie,  Une maligne humeur que l'on appelle envie.  Par là la médisance a des charmes pour tous ;  Surtout en déguisant sa malice et ses coups  Sous une délicate et fine raillerie.  Pour mordre impunément il suffit qu'on en rie. "")",-,0.0
"('#melpomene', ""Ce sont là des secrets dont je fais peu de cas,  Mais au moins ménagez cette source d'appas,  Ce trésor de venin, ce fonds de médisance,  Ne le prodiguez pas avec tant de licence.  Comme le ridicule est court et limité,  On craint pour vos sujets quelque stérilité. "")",-,0.0
"('#thalie', ""Que vous connaissez mal le fonds de ma satire !  Je prends de tous côtés la matière de rire ;  L'univers m'en fournit de l'un à l'autre bout,  Mon Empire est sans borne et mon fonds est partout.  Ne vous flattez donc pas d'une vaine espérance,  Et quand d'un monde entier j'obtiens la préférence.  En voulez-vous juger ? Vos yeux sont-ils meilleurs... "")",-,0.0
"('#melpomene', ""Non ; mais adressons-nous à celle de nos soeurs,  Qui connaît comme nous les grâces de la scène ;  Qu'elle règle entre nous une palme incertaine.  Elle vient ; je l'entends ; ces sons mélodieux  Font parler hautement les échos de ces lieux. "")",-,0.0
"('#melpomene', 'Approchons.')",-,0.0
"('#thalie', ""Ah ma soeur gardez de l'interrompre."")",-,0.0
"('#melpomene', 'Je vois que vous songez ma soeur à la corrompre. ')",-,0.0
"('#thalie', ""Que vous m'avez charmée avec un air si doux !  Notre grand Apollon n'en sait pas plus que vous."")",-,0.0
"('#melpomene', ""On vous flatte ma soeur, mais vous êtes fidèle.  Vous venez à propos finir notre querelle :  Sous savez le Théâtre, et c'est là votre emploi ;  Sa vanité prétend de l'emporter sur moi,  Et croit que sur la scène, elle à tout l'avantage. "")",-,0.0
"('#euterpe', ""Quoi mes soeurs votre honneur dépend de mon suffrage !  Donc le prix n'est ici disputé qu'entre vous :  J'admire entre vous deux ce mouvement jaloux,  Qui vous fait oublier la part que je dois prendre,  Mais si vous ignorez ce que je dois prétendre,  Vous permettrez mes soeurs que je garde pour moi  Ce que vous disputez, et ce que je me dois.  Ce jugement sans doute étonne l'une et l'autre ;  Vous blâmez mon orgueil pour contenter le vôtre :  Mais voyons si j'ai tort, et si c'est un arrêt  Dicté par la justice ou par mon intérêt.  Je commence par vous de qui l'humeur altière  Prétend entre les soeurs la préférence entière.  Vous imaginez que toutes ces horreurs,  Ces grands emportements, et ces nobles fureurs,  Dont le monde autrefois fut longtemps idolâtre,  Font encore aujourd'hui les beautés du Théâtre.  Vos sujets quelquefois ont de tels embarras,  Qu'on se lasse d'ouïr ce que l'on entend pas :  Par le profond secret d'un art impénétrable,  Vous embrouillez si fort l'intrigue de la fable,  Qu'à peine un Jupiter la pourrait démêler.  Tout ce que sur la scène on nous voit étaler,  N'est souvent que fumée, et qu'un éclat qui trompe,  N'a que de faux brillants, et qu'une vaine pompe.  Vous avez beau donner les plus belles couleurs,  Aux furieux transports, aux crimes, aux douleurs,  Aux plaintes d'un amant, au désespoir, aux larmes,  Ma soeur sur le théâtre on cherche d'autres charmes ;  On y veut des objets agréables et doux,  Sans y mêler l'horreur, la crainte et le courroux.  Pour vous vous le savez, le siècle vous fait grâce,  Bien souvent votre Jeu n'est que pure grimace ;  Un geste ridicule, et des tons imités,  Font ordinairement vos plus grandes beautés.  On vous voit tous les jours avec tant de licence,  (Soit adresse ou chagrin) pousser la médisance,  Que les plus retenus en gronde contre vous.  Pour moi qui n'ai l'esprit, ni chagrin ni jaloux,  J'avouerai que vos vers vous donnent de la gloire ;  Vous aurez votre place au temple de mémoire ;  On vous doit estimer tout ce que vous valez,  Mais peut-être un peu moins que ce que vous voulez.  Je ne vous direz point à sa honte et la vôtre,  Pour ne pas tout à fait confondre l'une et l'autre,  Qu'on vous voit tous les jours sans front et sans pudeur  Briguer chez les mortels l'estime et la faveur.  Moi-même j'en rougis, quand je vois des Déesses  Pour un faible intérêt faire mille bassesses.  Est-ce là le moyen de mériter le prix ?  Mais je veux autrement convaincre vos esprits.  Pour vous faire céder la gloire et l'art de plaire,  Voyez si comme vous je suis triste et sévère.  Je n'ai point vos défauts, et j'ai tous vos appas.  Je chante sur un ton ni trop haut ni trop bas ;  J'ai de vos passions le tendre et l'agréable ;  J'ai comme vous le style ingénu, raisonnable ;  Dans ma façon d'agir et dans mes sentiments  Je n'ai ni vos chagrins, ni vos emportements ;  Plus discrète que vous je plais sans médisance ;  Et plus douce que vous j'agis sans violence :  Ainsi vous voyez bien si j'ai droit d'emporter  Le prix qu'entre vous deux vous osez disputer.  Je sais bien toutefois qu'elle est votre espérance,  Pour emporter l'honneur de cette préférence.  Comme le grand Louis anime votre voix,  Vous me croyez mal propre à chanter ses exploits.  Le moyen que je puisse avec des soins rustiques  Célébrer dignement ses vertus héroïques,  Ce qu'il fait tous les jours pour l'honneur des beaux arts ;  Son règne plus heureux que celui des Césars ;  Le retour de la paix si longtemps exilée ;  L'injustice bannie et la foi rappelée ;  Ses amis secourus, ses ennemis défaits ;  La gloire du triomphe au milieu de la paix ;  Le commerce établi par sa sage conduite ;  Des tyrans de la mer la défaite ou la fuite ;  Et tout ce qui le rend la gloire des François,  La terreur de l'Europe et l'exemple des Rois.  Mais vous verrez un jour ce que peut ma musette,  Notre grand Apollon a porté la houlette,  Et ma voix pour les Rois n'est pas à négliger,  Si les Dieux ont paru sous l'habit de Berger. "")",-,0.0
"('#melpomene', ""Hé quoi ma soeur de Juge on vous voit ma partie,  De vos prétentions j'étais mal avertie.  Vous disputer le prix ? Vous dont la faible voix  Ne sait représenter que les plaisirs des bois,  Les amours des Bergers, et cette vie obscure  Qui ne saurait fournir une illustre aventure ?  Vous prétendre à mon rang avec tant de fierté ? Votre exemple ma soeur a fait sa vanité,  Et vous voyant prétendre un pareil avantage,  Votre présomption vient d'enfler son courage.  À Thalie."")",-,0.0
"('#thalie', ""En vain à mon orgueil vous imputez le sien ;  Vous confondez nos droits pour détruire le mien :  Mais pour mieux distinguer son mérite et le nôtre,  Défions-nous, ma soeur, doutons l'une de l'autre,  Cherchons un autre Juge, allons lui faire voir  Par quelque grand essai quel est notre savoir :  Consultons Apollon, et qu'un Dieu si fidèle  Décide entre nous trois cette grande querelle. "")",-,0.0
"('#euterpe', ""C'est le Dieu du Théâtre il peut seul nous juger."")",-,0.0
"('#melpomene', ""Ma gloire entre ses mains ne court pas grand danger.  Divin dispensateur de la plus belle gloire  Venez par votre arrêt assurer ma victoire,  Venez donner le prix à qui l'a mérité.  Il vient et nous fait voir toute sa majesté. Durant qu'Apollon descend on entend un concert de tous les instruments des trois Déesses."")",-,0.0
"('#melpomene', ""Arbitre souverain des filles du Parnasse,  Le croirez-vous ! On veut me contester ma place :  Mes soeurs fières d'avoir l'honneur d'un même sang,  Me veulent disputer celui du premier rang, Et mettant devant vous leur adresse en usage,  Par des nouveaux efforts briguer votre suffrage."")",-,0.0
"('#apollon', ""Je sais de toutes trois le mérite et l'emploi :  Je suis le Dieu des vers comme de la lumière,  Et puisque l'on s'adresse à moi,  Pour savoir qui des trois doit être la première,  J'userai du pouvoir que vous m'avez donné.  Je ne veux écouter ni faveur ni caprice,  Et vous verrez par ma justice  Le seul mérite couronné."")",-,0.0
"('#thalie', ""C'est sur ce digne espoir grand Dieu que je commence,  Et je prends pour ma gloire une entière assurance.  Sur le luth ou sur la musette,  Pour le sceptre ou pour la houlette,  Chantez, mes soeurs, chantez de toutes les façons :  Pour moi je n'aime qu'à médire,  Et la gloire de faire rire  Vaut bien celle de vos chansons.  Chanson pour Thalie. "")",-,0.0
"('#apollon', 'Melpomène, ces chants si charmants et si doux  Semblent à votre soeur promettre la victoire.')",-,0.0
"('#melpomene', ""Non, non vous n'avez rien à craindre pour ma gloire,  Grand Dieu, vous êtes juste et c'est assez pour nous.  Faibles esprits, âmes vulgaires,  Qui des biens les plus ordinaires  Faites vos solides plaisirs,  Ce n'est pas vous que je veux croire :  De plus dignes objets occupent mes désirs,  Et si je pousse des soupirs,  C'est pour le trône ou pour la gloire.  Chanson pour Melpomène. "")",-,0.0
"('#apollon', ""Déesse, l'une et l'autre ont charmé mes oreilles. "")",-,0.0
"('#euterpe', ""Attendez de ma voix de plus grandes merveilles.  Venez pasteurs, venez, et des chants les plus beaux,  Des plaines de l'Écho, du bruit de vos ruisseaux,  Faites un concert agréable ;  Faites voir à mes soeurs par des charmes si doux,  Que tout ce qu'elles ont d'aimable,  Ne l'est pas tant que vous. Chanson pour EUTERPE."")",-,0.0
"('#thalie', ""Prononcez votre arrêt, grand Dieu qu'attendez-vous ?  Est-il si mal aisé de juger entre nous ?"")",-,0.0
"('#melpomene', ""C'est trop c'est trop languir dans cette inquiétude. "")",-,0.0
"('#euterpe', 'Tirez-nous promptement de cette incertitude. ')",-,0.0
