,archambault-ce-n-est-pas,archambault-janot-battus,Cost,Operation Type
0,"('#janot', ""Oui, mon ami, fais-moi compliment, que je te dis, de ça, parce que c'est pas de ces choses qui arrivent deux fois dans la vie d'un homme, da ! de faire sa fortune tout d'un coup."")","('#madame-ragot', ""Voyez un peu de chien d'ivrogne !  C'est tous les jours le même train.  Il m'emporte de l'argent, pour aller, dit-il, dans les ventes, et tous ses inventaires se sont toujours sur le comptoir du cabaretier ; et pis, quand il est fou, il se laisse attraper comme un enfant : il m'achète des drogues, des gardes-boutiques !  Vlà-ti pas une belle heure, tenez, pour revenir !...  Ah !...  Je crois pourtant que le vlà."")",0.7,Substitution
1,"('#dodinet', ""Oh !  Oui : t'as raison.  T'es ben là ; faut t'y tenir."")",,1.0,Insertion
2,"('#janot', ""Comment, que tu dis donc, toi ?  Je suis ben là !  Où çà ?  Dans c'te rue qu'i' faut que je me tienne ?"")","('#madame-ragot', ""Eh ben !  Te vlà donc ?  D'où ce que tu reviens comm'ça ?"")",0.54,Substitution
3,"('#dodinet', ""Eh !  Non, chez c'te comtesse où ce que te vl'à habillé comme un Monsieur."")","('#ragot', ""D'où ce que je reviens ?  Tiens, regard ça. Il lui montre son tableau."")",1.29,Substitution
4,"('#janot', ""Bah !  C'est rien que tout ça : si tu me voyais donc avec c'te belle robe qu'all' m'a donnée pour ma veste, de c't attrape de Mam'selle Suzon, chez le dégraisseur, c'est ben aut' chose !  Va !"")",,1.0,Insertion
5,"('#dodinet', ""Oh !  Je crais ben que c'est une bonne condition : avec les grandes dames y a toujours quéque chose à gagner, mêmement c'est ben par le canal d'une comme ça que je me suis tobtenu l'emploi que j'ai."")",,1.0,Insertion
6,"('#janot', ""Ah !  Dame, c'est que t'es remuant, toi !  V'là ce qu'i faut, et c'est ce qui fait que ton chemin est fait.  Pour moi, tout ce que j'en veux faire est fait, en fait de service."")",,1.0,Insertion
7,"('#dodinet', 'Comment donc ça ?')","('#madame-ragot', ""Eh ben !  Après : qu'est-ce que c'est que ça ?"")",0.25,Substitution
8,,"('#ragot', ""C'est un original, ma femme."")",1.0,Deletion
9,"('#janot', ""Eh ben !  Dame, tu n'entends pas ce que je te dis, de m'en faire un, au sujet du bonheur que j'ai, qui soit ben tourné, de compliment."")","('#madame-ragot', ""Original toi-même...  Voyez un peu st'animal, avec sa guenille !...  Et ton argent, où est il ?"")",1.39,Substitution
10,"('#dodinet', ""Queu bonheur donc qui t'arrive ?"")","('#ragot', 'Regarde ça, je te dis.')",0.89,Substitution
11,"('#janot', ""I' m'arrive, mon ami, que je vas mettre la comtesse sur le pavé."")","('#madame-ragot', ""Comment !  Regard' ça !  Ça ne te coûte pas les dix écus que tu as emportés, peut-être ?"")",1.54,Substitution
12,"('#dodinet', 'Sur le pavé !')",,1.0,Insertion
13,"('#janot', ""Oui : j'y vas rendre sa condition et l'y dire qu'alle en cherche un autre."")","('#ragot', 'Non-da.  Encore douze francs que je redois dessus.')",1.41,Substitution
14,"('#dodinet', 'Et quéque tu vas devenir après, toi ?')","('#madame-ragot', 'Encore douze francs !  Est-ce que tu te moques de moi ?')",1.06,Substitution
15,,"('#ragot', ""Mais regarde-le donc, tu verras ce que c'est."")",1.0,Deletion
16,"('#janot', 'Moi !  Je me ferai grand seigneur.')",,1.0,Insertion
17,"('#dodinet', ""Oh !  Tu ne serais pas le premier qu'on aurait vu faire ce chemin-là aussi vite : mais encore i' faut des fonds pour ça."")","('#madame-ragot', 'Ah !  Misérable, peux-tu faire des marchés comme ça !  Nous vlà ruinés !')",0.94,Substitution
18,"('#janot', ""Des fonds !  Est-ce que je n'en ai pas donc, dis-moi, aussi ben qu'un autre, des fonds ?"")","('#ragot', ""C'est toi qui me ruines !  Tu ne fais pas vendre."")",1.18,Substitution
19,"('#dodinet', 'Dame !  Faut savoir.')",,1.0,Insertion
20,"('#janot', ""Oh !  C'est tout su, va.  Et toi, je ne veux pus que tu sois là un rat...  Comme tu m'as dit, de quoi donc ?"")","('#madame-ragot', 'Je ne fais pas vendre ?')",1.06,Substitution
21,"('#dodinet', 'De cave.')",,1.0,Insertion
22,"('#janot', 'De cave !  Oui, rat-de-cave.  Je te fais mon intendant : je ne te donnerai pas de gages, mais ce que tu prendras sera pour toi.')","('#ragot', ""Non : je devrais être à présent le plus grand fripier de Paris, avec les marchés d'or que je fais tous les jours ; mais tu n'entends rien au commerce : tu ne fais pas vendre, je te dis."")",1.15,Substitution
23,"('#dodinet', 'Oh ben !  Laisse faire, va, je ne serai pas le plus mal partagé.')","('#madame-ragot', ""Mais, imbécile, c'est toi qui ne fais pas acheter.  Qu'est-ce que tu veux que je vende, quand tu m'apportes des vilenies comme ça ?"")",1.19,Substitution
24,,"('#ragot', ""Des vilenies comme ça ?  Insolente !  Un original qui sort du cabinet d'un receveur des gabelles."")",1.0,Deletion
