,moliere-amants-magnifiques,quinault-alceste,Cost,Operation Type
0,"('#clitidas', 'Il est attaché à ses pensées ?')",,1.0,Insertion
1,"('#sostrate', ""Non, Sostrate, je ne vois rien où tu puisses avoir recours, et tes maux sont d'une nature à ne te laisser nulle espérance d'en sortir."")",,1.0,Insertion
2,"('#clitidas', 'Il raisonne tout seul.')",,1.0,Insertion
3,"('#sostrate', 'Hélas !')",,1.0,Insertion
4,"('#clitidas', 'Voilà des soupirs qui veulent dire quelque chose, et ma conjecture se trouvera véritable.')","('#la-nymphe-de-la-seine', ""LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  On n'entend plus d'Oiseau qui chante,  On ne voit plus de Fleurs qui naissent sous nos pas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  L'herbe naissante  Paraît mourante,  Tout languit avec moi dans ces lieux plein d'appas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Bruit de Guerre. Quel bruit de guerre m'épouvante ?  Quelle Divinité va descendre ici-bas. "")",1.36,Substitution
5,"('#sostrate', ""Sur quelles chimères, dis-moi, pourrais-tu bâtir quelque espoir, et que peux-tu envisager, que l'affreuse longueur d'une vie malheureuse, et des ennuis à ne finir que par la mort."")","('#la-nymphe-de-la-seine', ""Hélas ! Superbe Gloire, hélas !  Ne dois-tu point être contente !  LE HEROS que j'attends, ne reviendra-t-il pas ?  Il ne te suit que trop dans l'horreur des Combats ;  Laisse en paix un moment sa Valeur triomphante  LE HEROS que j'attends, ne reviendra-t-il pas ? "")",0.64,Substitution
6,"('#clitidas', 'Cette tête-là est plus embarrassée que la mienne ?')",,1.0,Insertion
7,"('#sostrate', ""Ah !  Mon coeur, ah !  Mon coeur, où m'avez-vous jeté ?"")",,1.0,Insertion
8,"('#clitidas', 'Serviteur, Seigneur Sostrate.')",,1.0,Insertion
9,"('#sostrate', 'Où vas-tu, Clitidas ?')",,1.0,Insertion
10,"('#clitidas', ""Mais vous plutôt, que faites-vous ici, et quelle secrète mélancolie, quelle humeur sombre, s'il vous plaît, vous peut retenir dans ces bois, tandis que tout le monde a couru en foule à la magnificence de la fête, dont l'amour du prince Iphicrate vient de régaler sur la mer la promenade des Princesses ; tandis qu'elles y ont reçu des cadeaux merveilleux de musique et de danse, et qu'on a vu les rochers et les ondes se parer de Divinités pour faire honneur à leurs attraits ?"")","('#la-gloire', ""Pourquoi tant de murmure ? Nymphe, ta plainte est vaine,  Tu ne peux voir sans moi LE HEROS que tu sers,  Si son éloignement te coûte tant de peine,  Il récompense assez les douceurs que tu perds,  Vois ce qu'il fait pour Toi, quand la Gloire l'emmène ;  Vois comme sa Valeur a soumis à la Seine  Le Fleuve le plus fier qui soit dans l'Univers. "")",0.35,Substitution
11,"('#sostrate', ""Je me figure assez, sans la voir, cette magnificence, et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de fêtes, que j'ai cru à propos de ne pas augmenter le nombre des importuns."")","('#la-nymphe-de-la-seine', 'On ne voit plus ici paraître  Que des Ornements imparfaits ;  Ah ! Rends-nous notre AUGUSTE MAITRE,  Tu nous rendras tous nos attraits. ')",1.11,Substitution
12,"('#clitidas', ""Vous savez que votre présence ne gâte jamais rien, et que vous n'êtes point de trop, en quelque lieu que vous soyez.  Votre visage est bien venu partout, et il n'a garde d'être de ces visages disgraciés, qui ne sont jamais bien reçus des regards souverains.  Vous êtes également bien auprès des deux princesses ; et la mère et la fille vous font assez connaître l'estime qu'elles font de vous pour n'appréhender pas de fatiguer leurs yeux ; et ce n'est pas cette crainte, enfin, qui vous a retenu."")",,1.0,Insertion
13,"('#sostrate', ""J'avoue que je n'ai pas naturellement grande curiosité pour ces sortes de choses."")",,1.0,Insertion
14,"('#clitidas', ""Mon_Dieu !  Quand on n'aurait nulle curiosité pour les choses, on en a toujours pour aller où l'on trouve tout le monde, et quoi que vous puissiez dire, on ne demeure point tout seul pendant une fête à rêver parmi des arbres comme vous faites, à moins d'avoir en tête quelque chose qui embarrasse."")",,1.0,Insertion
15,"('#sostrate', ""Que voudrais-tu que j'y pusse avoir ?"")","('#la-gloire', ""Il revient, et tu dois m'en croire ;  Je lui sers de guide avec soin :  Puisque tu vois la Gloire,  Ton Héros n'est pas loin.  Il laisse respirer tout le Monde qui tremble ;  Soyons ici d'accord pour combler ses désirs. "")",0.75,Substitution
16,"('#clitidas', ""Ouais, je ne sais d'où cela vient, mais il sent ici l'amour ; ce n'est pas moi.  Ah !  Par ma foi c'est vous."")","('#ensemble', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")",1.07,Substitution
17,"('#sostrate', 'Que tu es fou, Clitidas.')","('#la-nymphe-de-la-seine', ""Naïades, Dieux des Bois, Nymphes, que tout s'assemble,  Qu'on entende nos chants après tant de soupirs. "")",1.9,Substitution
18,"('#clitidas', ""Je ne suis point fou, vous êtes amoureux, j'ai le nez délicat, et j'ai senti cela d'abord."")","('#choeur', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")",1.0,Substitution
19,"('#sostrate', 'Sur quoi prends-tu cette pensée.')",,1.0,Insertion
20,"('#clitidas', 'Sur quoi ?  Vous seriez bien étonné si je vous disais encore de qui vous êtes amoureux.')",,1.0,Insertion
21,"('#sostrate', 'Moi ?')",,1.0,Insertion
22,"('#clitidas', ""Oui, je gage que je vais deviner tout à l'heure celle que vous aimez.  J'ai mes secrets aussi bien que notre astrologue, dont la princesse Aristione est entêtée ; et s'il a la science de lire dans les astres la fortune des hommes, j'ai celle de lire dans les yeux le nom des personnes qu'on aime.  Tenez-vous un peu, et ouvrez les yeux.  É, par soi, é, r, i, ri, éri, p, h, i, phi, ériphi ; l, e, le : Ériphile.  Vous êtes amoureux de la Princesse Ériphile."")","('#la-nymphe-des-tuileries', ""L'art d'accord avec la Nature  Sert l'Amour dans ces lieux charmants :  Ces Eaux qui font rêver par un si doux murmure,  Ces Tapis où les Fleurs forment tant d'ornements,  Ces Gazons, ces Lits de verdure,  Tout n'est fait que pour les Amants."")",1.05,Substitution
23,"('#sostrate', ""Ah !  Clitidas ; j'avoue que je ne puis cacher mon trouble, et tu me frappes d'un coup de foudre."")","('#la-nymphe-de-la-marne', ""L'onde se presse  D'aller sans cesse  Jusqu'au bout de son cours :  S'il faut qu'un coeur suive une pente,  En est-il qui soit plus charmante  Que le doux penchant des Amours ?  On danse."")",1.15,Substitution
24,"('#clitidas', 'Vous voyez si je suis savant ?')",,1.0,Insertion
25,"('#sostrate', 'Hélas !  Si, par quelque aventure, tu as pu découvrir le secret de mon coeur, je te conjure au moins de ne le révéler à qui que ce soit, et surtout de le tenir caché à la belle princesse dont tu viens de dire le nom.')","('#la-gloire #la-nymphe-de-la-seine', 'Que tout retentisse,  Que tout réponde à nos voix. ')",1.53,Substitution
26,"('#clitidas', ""Et sérieusement parlant, si dans vos actions j'ai bien pu connaître, depuis un temps, la passion que vous voulez tenir secrète, pensez-vous que la princesse Ériphile puisse avoir manqué de lumière pour s'en apercevoir ?  Les belles, croyez-moi, sont toujours les plus clairvoyantes à découvrir les ardeurs qu'elles causent, et le langage des yeux et des soupirs se fait entendre mieux qu'à tout autre à celles à qui il s'adresse."")","('#la-nymphe-de-la-tuileries', 'Que tout fleurisse  Dans nos jardins et dans nos bois. ')",1.66,Substitution
27,,"('#la-nymphe-de-la-marne', ""Que le Chant des Oiseaux s'unisse  Avec le doux son des Hautbois. "")",1.0,Deletion
28,"('#sostrate', ""Laissons-la, Clitidas, laissons-la voir si elle peut dans mes soupirs et mes regards l'amour que ses charmes m'inspirent, mais gardons bien que par nulle autre voie, elle en apprenne jamais rien."")","('#tous-ensemble', ""Que tout retentisse,  Que tout réponde à nos voix :  Que le Chant des Oiseaux s'unisse  Avec le doux son des hautbois. Que tout retentisse,  Que tout réponde à nos voix.  On danse."")",1.44,Substitution
