,fuzelier-enfer-galant,la-fontaine-daphne,Cost,Operation Type
0,"('#pan', ""C'est le charmant dieu du raisin, Il paraît en pointe de vin Fils de Sémélé, quelle affaire Vous conduit sur le mont Latmos ? Sous cet ombrage solitaire Venez-vous chercher le repos ? Que vois-je ? AIR : Toujours que si du Nouveau monde. Haut."")","('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")",0.74,Substitution
1,"('#bacchus', 'Quoi, le dieu Pan !  Le dieu des forêts ne sait pas ce qui se passe ici dans le sein de son empire ?')",,1.0,Insertion
2,"('#pan', ""C'est que depuis un mois ou deux je me trouve souvent à Paris."")","('#venus', 'Charmante oisiveté, repos délicieux !')",1.75,Substitution
3,"('#bacchus', 'Quoi !  Vous ignorez encore que Pluton est amoureux dans ces bois ?')","('#minerve', 'Ou plutôt, repos ennuyeux !')",1.88,Substitution
4,"('#pan', ""Pluton amoureux !  Cela ne lui sied pas, il ferait bien mieux d'aller chercher l'Indifférence à l'Opéra !"")","('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")",1.5,Substitution
5,,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",1.0,Deletion
6,,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")",1.0,Deletion
7,"('#bacchus', ""L'Indifférence !  Eh ! Que fait-elle là ?  Mon cher, je pense,  Vous inventez cela !  Que venez-vous conter ? Qui diantre songera.  Avec tant de prudence De mettre à l'Opéra L'Indifférence ? AIR : sur Radegonde"")","('#momus', ""Ne vous faites point tant d'affaires."")",1.63,Substitution
8,"('#pan', ""Eh !  Quelle est, s'il vous plaît, l'enchanteresse qui a métamorphosé Pluton si prodigieusement ?"")","('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")",1.04,Substitution
9,"('#bacchus', ""Vous ne le devineriez jamais : c'est la régulière Diane."")","('#promethee', 'Que me veut Jupiter ?')",1.05,Substitution
10,,"('#jupiter', 'Ouvre tes magasins.')",1.0,Deletion
11,,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")",1.0,Deletion
12,,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")",1.0,Deletion
13,"('#pan', 'Comment le savez-vous ?')","('#promethee', 'Vous ne les connaissez pas.')",0.54,Substitution
14,,"('#momus', 'Fais-leur faire quelques pas.')",1.0,Deletion
15,,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")",1.0,Deletion
16,,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")",1.0,Deletion
17,,"('#promethee', ""C'est l'idole d'un sage."")",1.0,Deletion
18,,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')",1.0,Deletion
19,,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")",1.0,Deletion
20,,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')",1.0,Deletion
21,,"('#minerve', 'Laissez-moi régler ces transports.')",1.0,Deletion
22,"('#bacchus', ""La découverte de ce secret ne nous a pas beaucoup coûté : un faune curieux l'a surpris en rodant sous cet ombrage, ce faune l'a dit à Cérès, la maman Cérès n'a pas manqué de le rapporter à sa fille Proserpine qui a eu la discrétion de ne s'en plaindre qu'à Mercure dans le temps qu'il conduisait la dernière caravane des trépassés et Mercure à son retour n'en a fait confidence qu'à tous les dieux."")","('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")",0.9,Substitution
23,,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",1.0,Deletion
24,"('#pan', ""Cette nouvelle n'a pas dû les ennuyer, Pluton amoureux ! Je n'en reviens pas."")","('#venus', ""C'est l'amour."")",1.36,Substitution
25,,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")",1.0,Deletion
26,,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")",1.0,Deletion
27,"('#bacchus', ""Tout l'Olympe en est réjoui J'en avons tant ri AIR : J'en avons tant ri"")","('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")",1.07,Substitution
28,,"('#venus', ""Amour, qu'il est doux de te suivre !"")",1.0,Deletion
29,,"('#jupiter', 'Vivez, nouveaux humains.')",1.0,Deletion
30,,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",1.0,Deletion
31,"('#pan', ""Ma foi Pluton pour ce coup-ci Mérite l'ellébore"")","('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",1.82,Substitution
32,"('#bacchus', ""J'en avons tant ri J'en rirons bien encore"")","('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",1.18,Substitution
33,,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",1.0,Deletion
34,"('#pan', ""J'approuve vos bonnes intentions."")","('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",1.21,Substitution
35,,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",1.0,Deletion
36,"('#bacchus', ""Et pour les bien remplir presque tous les dieux se sont donné aujourd'hui un rendez-vous général sur le Mont Latmos ; nous savons que Pluton doit y chercher Diane, nous avons formé le dessein de les surprendre et de les régaler d'une espèce de charivari."")","('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")",0.83,Substitution
37,,"('#minerve', 'Moi, la vertu.')",1.0,Deletion
38,,"('#venus', ""Moi, l'agrément."")",1.0,Deletion
39,"('#pan', ""Vous vous arrangez à miracle, On ne peut pas vous critiquer ! Oh ! j'en jouirai ! L'Enfer galant est un spectacle Que je ne prétends pas manquer ! Comme les autres j'en veux rire Ta la lerita la retita la lerire. AIR : Mon mari est à la taverne."")","('#amour', ""Et moi le don d'aimer et d'être heureux amant."")",0.84,Substitution
