,regnard-coquette,regnard-divorce,Cost,Operation Type
0,"('#arlequin', ""Vous en avez menti, messieurs les commis de la barrière, je ne dois rien : vous êtes des fripons.  On est plus assuré au milieu des bois que dans ce maudit pays-ci : on ne saurait faire un pas qu'on ne trouve un filou.  Il n'y a pas une demi-heure que je suis arrivé dans Paris, et me voilà déjà presque tout déshabillé...  Au voleur !  Au voleur !  Quelle maudite nation !  À peine suis-je entré dans la ville, qu'on fait derrière mon cheval l'opération à ma valise ; on en tire les hardes, et on la fait accoucher avant terme.  En descendant à l'hôtellerie, on m'escamote ma casaque.  Je fais deux pas dans la rue, un fiacre me couvre de boue depuis les pieds jusqu'à la tête ; un porteur de chaise me donne d'un de ses bâtons dans le dos : il vient un homme me saluer ; je lui ôte mon chapeau, un coquin par derrière m'arrache ma perruque ; et, pour comble de friponneries, on veut me faire payer l'entrée à la porte comme bête à cornes, parce que je viens pour me marier...  Attendez donc que je sois... "")","('#arlequin', ""Hé !  Que diable, messieurs, ne sauriez-vous mieux prendre votre temps pour être malades ?  Cela est de la dernière impertinence, de se trouver mal quand il faut gagner de l'argent.  Que voulez-vous que je fasse de tout ce monde-là ?  Messieurs, ce que je vais vous dire vous déplaira peut-être ; mais, en vérité, j'en suis plus fâché que vous, et personne n'y perd tant que moi. Nous ne pouvons pas jouer la comédie aujourd'hui ; voilà notre portier qui vient de se trouver mal, et Pantalon, qui devait faire un rôle de Patrocle, est indisposé.  On va vous rendre votre argent à la porte.  Vous voyez, messieurs, que nous ne suivons pas les mauvais exemples, et que nous rendons l'argent, quoique la comédie soit commencée. Aux auditeurs."")",0.42,Substitution
1,"('#arlequin', ""Monsieur, n'êtes-vous pas un coupeur de bourses ?  Au lieu de répondre, Mezzetin tourne autour de lui, l'examine en se moquant de lui ; et Arlequin fait des lazzis de frayeur. Le restant de cette scène consiste dans un jeu italien. "")","('#mercure', ""Terminez vos regrets, que votre douleur cesse ;  Dans votre sort Jupiter s'intéresse,  Et vient pour empêcher que tu rendes l'argent."")",1.25,Substitution
2,"('#colombine', ""Holà, quelqu'un !  N'ai-je là personne ?  Cascaret, Jasmin, Pierrot, Bagatelle, Bagatelle ! "")","('#mercure', ""Je le vois qui descend. Qu'un changement favorable Nous arrête dans ces lieux, Pour voir un spectacle aimable ; C'est l'ordre irrévocable Du souverain des dieux. Jupiter descend, monté sur un dindon."")",1.72,Substitution
3,"('#colombine', ""D'où vient, petit garçon, qu'il faut vous appeler tant de fois ? "")",,1.0,Insertion
4,"('#bagatelle', ""Mademoiselle, c'est que j'achevais ma main au lansquenet. "")","('#jupiter', 'Arlequin.')",1.44,Substitution
5,"('#colombine', ""N'est-il venu personne me demander ? "")","('#arlequin', 'Jupiter.')",1.31,Substitution
6,"('#bagatelle', ""Il est venu cinq ou six personnes ; mais j'ai oublié leurs noms et ce qu'elles m'ont dit. "")",,1.0,Insertion
7,"('#colombine', 'Le petit étourdi !')",,1.0,Insertion
8,"('#pierrot', ""Monsieur le conseiller a dit qu'il allait revenir.  Il est venu aussi cette grande femme qui a le visage si creux, qui vous viendra voir tantôt, quand elle aura été chez son libraire. "")",,1.0,Insertion
9,"('#colombine', ""C'est notre bel esprit ; je la tiens quitte de sa visite dès à présent. Venez çà ; allez chez ma couturière, et dites-lui que je veux avoir mon habit aujourd'hui.  À Bagatelle. "")","('#jupiter', ""Je descends exprès des cieux pour voir une répétition de la pièce nouvelle qu'il y a si longtemps que tu promets.  On dit que l'on y sépare un mari d'avec sa femme ; et comme Junon est une carogne qui me fait enrager, je pourrai bien en faire venir la mode là-haut."")",0.57,Substitution
