biancolelli-ecole-galante,dufresny-depart-des-comediens,Score
"('#argentine', ""Quel plaisir trouvez vous à me désespérer ? Vôtre coeur aux soupçons ne fait que se livrer.  Vous êtes inquiet, jaloux à toute outrance, Croyez-moi, c'est trop loin pousser la défiance, Vous mériteriez bien qu'à vôtre vilain front Puisque vous m'outragez, je file quelque affront."")",-,0.0
"('#arlequin', ""Hélas ! pardonnez-moi mon aimable Argentine, J'ai tout à redouter de vôtre humeur badine ; Vos yeux vifs, et perçants, me font avec raison, Craindre de vôtre part un peu de trahison. Je ne puis m'empêcher de me rendre justice, Je suis à parler net un fort vilain Jocrice ; Si j'étais plus joli je serais moins jaloux ; Mais enfin vous savez ce que j'ai fait pour vous. J'ai moi-même pris soin d'élever vôtre enfance ; Donnez-moi vôtre coeur pour toute récompense. Je vous fais aujourd'hui la maîtresse du mien, Je vous donne ma main, mon amour, et mon bien, Je suis maître d'École, et marchand de Fromage, Je vais tout disposer pour notre mariage, Dés demain vous serez admise dans mon lit, Cela vous devrait bien aiguiser l'appétit."")",-,0.0
"('#argentine', ""Dés demain, dites-vous ? C'est trop tôt, rien ne presse."")",-,0.0
"('#arlequin', 'Ah ! Ce terme est encor trop long pour ma tendresse.')",-,0.0
"('#argentine', 'Il vaut bien mieux laisser passer un peu de temps, Ce sera, je vous jure, assez tôt dans dix ans.')",-,0.0
"('#arlequin', ""Dans dix ans, ma Bellotte, ah ! Qu'oses-tu me dire ? Quelle extrême rigueur ! Tu veux donc que j'expire, Tu prétends me ravir des biens si souhaités, Lorsque je suis pressé de mes nécessités.  Non, non, point de délai : la chose est résolue. Tu seras du logis la maîtresse absolue, Je te ferai porter perles, et bracelets, Toi seule auras le soin de gronder les valets, Tu feras le matin mitonner mon potage, Et tu n'oublieras point d'y mettre du fromage, Je ne puis m'en passer, je l'aime autant que toi, Et c'est, mon cher amour, t'en dire assez, je crois ; Je me suis consulté, je ne puis plus attendre, À mes justes désirs ma belle il faut se rendre."")",-,0.0
"('#argentine', ""Quoi c'est donc tout de bon ? vous n'en démordez pas, Vous ferez dés demain la noce, et le repas ? Ah ! Différez de grâce."")",-,0.0
"('#arlequin', ""Il ne m'est pas possible : A toutes tes beautés mon coeur est trop sensible ; Et certaine raison m'oblige fortement à marquer pour l'hymen beaucoup d'empressement. Non mon coeur je ne puis différer, ou je meure, Et si je m'en croyais, ce serait tout à l'heure ; Va, va, n'affecte point ces dehors spécieux, Tu le veux, comme moi, je le vois à tes yeux. Adieu, tout de ce pas, je vais chez le Notaire, Cette cérémonie est ici nécessaire, Pourtant si tu voulais je m'en passerais bien."")",-,0.0
"('#argentine', ""Puisque vous le pouvez, Monsieur n'en faites rien."")",-,0.0
"('#arlequin', ""Non, je veux que demain tu partages ma couche L'hymen est un morceau qu'on prend de broc en bouche, Le plutôt est le mieux, point de réflexion, Lorsque l'on veut former une longue union. Donne-moi deux baisers."")",-,0.0
"('#argentine', 'Vraiment, je suis trop sage.')",-,0.0
"('#arlequin', 'Je rabattrai cela sur notre mariage.')",-,0.0
"('#argentine', ""Les hommes, ce dit-on, en rabattent assez, Prés de nous cependant ils font les empressez, Débitent galamment un amoureux langage, Et pour nous obtenir mettent tout en usage ; Quand ils sont une fois les maîtres du Logis, En moins de quinze jours ils sont bien refroidis. Nous ne les voyons plus attachez à nous plaire, A peine peuvent-ils fournir le nécessaire, Les époux sont ma foi d'étranges animaux !"")",-,0.0
"('#arlequin', ""Les hommes d'aujourd'hui ne sont pas tous égaux, Tu ne te plaindras point, mon aimable Argentine, Toujours bon vin en Cave, et bon pot en Cuisine : Je te laisse, mon coeur, pour un petit moment."")",-,0.0
"('#argentine', ""J'ai tout à craindre hélas ! De cet empressement, Je ne puis le souffrir, et malgré mon envie Il veut que dès demain le noeud d'hymen nous lie ; Il croit se faire aimer, mais son espoir est vain, Je ne puis consentir à lui donner la main ; Que demande Pierrot ? "")",-,0.0
"('#pierrot', ""Bonjour la brune-blonde, Il faut auprès de vous que mon coeur se débonde ; Si vous le souhaitez je ferai vôtre Amant, Et je m'en vais vous faire un petit compliment. Je commence, écoutez. Le feu de ma tendresse Allumé par les yeux de ma belle Maîtresse... Cela fait que l'amour... Ne m'interrompez pas, Cela fait donc tout juste... Un autre en pareil cas Pourrait bien se brouiller ; mais je ne suis pas bête. Ors donc je vous dirai, que si vous êtes prête, Je suis tout disposé, vous n'avez qu'à parler... Dame ! Je voudrais bien avec vous m'enrôler."")",-,0.0
"('#argentine', ""Je veux feindre un moment d'applaudir à sa flamme ; Vous m'aimez donc Pierrot ?"")",-,0.0
"('#pierrot', ""Qui vraiment, ma chère âme, Quand je ne vous vois pas je suis absent de vous ; Quand je m'emporte un peu, je me mets en courroux. En un mot je vous aime, et vous n'avez qu'à dire, Je suis un drôle, allez, je vous ferai bien rire."")",-,0.0
"('#argentine', ""Que vos expressions charment mon tendre coeur ! Je ne m'en défends point, vous êtes mon vainqueur, Et je n'ai pu vous voir sans vous rendre les armes."")",-,0.0
"('#pierrot', ""On me l'a toujours dit ; que j'avais bien des charmes, Je suis un beau garçon ; pour la taille, je crois Qu'on n'en saurait trouver de mieux bâti que moi.  Elle en tient pour le coup. Bas."")",-,0.0
"('#argentine', ""Non, il n'est pas possible Qu'en vous voyant si beau je paraisse insensible : On ne peut résister à de puissants appas."")",-,0.0
"('#pierrot', ""Elle va se pâmer, je pense, entre mes bras. Eh, Ventrebleu, pourquoi suis-je un fi beau brin d'homme. Ça, je vois bien qu'il faut vous acquitter la somme, Et vous ne voulez point des lettres de répit, Embrassez-moi ma fille, et sans faire grand bruit..."")",-,0.0
"('#pierrot', 'Ah ! Je me suis mépris, et cela me chagrine : Au lieu de toi, je dois embrasser Argentine, Je vais recommencer pour te faire plaisir.')",-,0.0
"('#arlequin', ""Il n'en est pas besoin, modère ce désir. Hé bien, je vous y prends, Madame la carogne, Et vous, que faites-vous ici Monsieur l'ivrogne ? "")",-,0.0
"('#pierrot', ""Tu m'as interrompu, que je suis malheureux ! Ta prétendue, et moi je badinions tous deux. Je me dégourdissais de la belle manière, Va t'en pour un moment, crois-moi, laisse-moi faire."")",-,0.0
"('#argentine', ""Vous êtes trop jaloux, c'est là tour mon souci, Et vous ne deviez pas venir sitôt ici."")",-,0.0
"('#arlequin', ""Je conviens que j'ai tort, et je devais attendre Le joli dénouement d'un entretien si tendre. Vous voulez donc toujours m'en donner à garder, A vôtre opinion la mienne doit céder, Sur le point d'occuper la couche maritale, Vous donnez une entorse à la foi conjugale ?"")",-,0.0
"('#pierrot', ""Puisqu'il demeure ici, sans faire du fracas, Mène-moi dans ta Chambre, il ne le saura pas."")",-,0.0
"('#argentine', ""J'y consens."")",-,0.0
"('#arlequin', 'Ah ! Tout doux, et vous Monsieur le drille Décampez au plutôt.')",-,0.0
"('#pierrot', 'Lâche-moi cette fille, Va, je te la rendrai dans un petit moment.')",-,0.0
"('#arlequin', ""Morbleu, craignez l'effet de mon emportement ; Apprenez que demain j'épouse cette belle, Que je veux qu'elle soit toujours sage, et fidèle."")",-,0.0
"('#argentine', ""Bon cela ne se peut, Arlequin, croyez-moi, Gardez de m'imposer une si dure loi. Fi donc vous vous feriez berner de tout le monde : Un Mari trop jaloux mérite qu'on le fronde, La sagesse est un monstre, et les femmes ont soin De ne le regarder ni de près, ni de loin."")",-,0.0
"('#arlequin', 'Que faites-vous ici ?')",-,0.0
"('#pierrot', ""Moi, j'attends que tu sortes. Pour rester en ces lieux j'ai des raisons bien fortes."")",-,0.0
"('#arlequin', 'Veux-tu te retirer, ou je te romps les bras.')",-,0.0
"('#pierrot', ""Hé bien, je reviendrai quand tu n'y seras pas."")",-,0.0
"('#argentine', ""Vos manières Monsieur, ne font que me déplaire ! De tous ces vains soupçons songez à vous défaite, Je vous l'ai déjà dit, vous devez profiter Des leçons qu'Argentine a voulu vous dicter. Je veux goûter en paix les douceurs de la vie, Folâtrer, badiner au gré de mon envie, Adieu souvenez-vous, et soyez convaincu, Que quand on est jaloux, on est bien-tôt cocu. Elle rentre."")",-,0.0
"('#arlequin', ""Franchement ce discours n'est point énigmatique, Elle veut m'encorner malgré ma rhétorique, Mais je ne serai point sujet au grand malheur Qui de tant de maris fait naître la douleur, Et je prendrai morbleu, de si bonnes mesures, Que ma femme à mon front ne fera point d'injures. "")",-,0.0
"('#octave', ""Se peut-il, cher ami, que ton coeur à son tout Refuse de se rendre au pouvoir de l'amour ? Tu fais gloire en tous lieux de ton indifférence ; Ah ! c'est faire au beau sexe une sensible offense Que de marquer pour lui si peu d'empressement, Et de voir sans l'aimer l'objet le plus charmant. Crains donc, pour te punir, que le fils de Cythère Ne te livre aux effets de sa juste colère, Et que ce fier vainqueur renversant tes projets Sur ton coeur dédaigneux ne lance tous ses traits."")",-,0.0
