,dufresny-chevalier-joueur,regnard-joueur,Cost,Operation Type
0,"('#l-etourdi', ""Ha !  Te voilà : je te trouve admirable ; tu m'as donné rendez-vous ici pour voir une pièce nouvelle, et on me vient de dire que c'est le Joueur ; belle nouveauté !  Il y a plus d'un mois que je l'ai vue."")","('#hector', ""Il est, parbleu, grand jour. Déjà de leur ramage les coqs ont éveillé tout notre voisinage. Que servir un joueur est un maudit métier ! Ne serai-je jamais laquais d'un sous-fermier ? Je ronflerais mon soûl la grasse matinée, Et je m'enivrerais le long de la journée : Je ferais mon chemin ; j'aurais un bon emploi ; Je serais dans la suite un conseiller du roi, Rat-de-cave ou commis ; et que sait-on ? Peut-être Je deviendrais un jour aussi gras que mon maître. J'aurais un bon carrosse à ressorts bien liants ; De ma rotondité j'emplirais le dedans : Il n'est que ce métier pour brusquer la fortune ; Et tel change de meuble et d'habit chaque lune, Qui, jasmin autrefois, d'un drap du sceau couvert, Bornait sa garde-robe à son justaucorps vert. Quelqu'un vient."")",0.91,Substitution
1,,"('#hector', ""Si matin, Nérine, qui t'envoie ?"")",1.0,Deletion
2,,"('#nerine', 'Que fait Valère ?')",1.0,Deletion
3,,"('#hector', 'Il dort.')",1.0,Deletion
4,"('#valere', ""Ce que tu as vu n'est pas assurément..."")",,1.0,Insertion
5,"('#l-etourdi', ""Je l'ai vu, je l'ai vu, allons-nous-en, je ne saurais voir une pièce deux fois."")","('#nerine', 'Il faut que je le voie.')",0.79,Substitution
6,,"('#hector', 'Va, mon maître ne voit personne quand il dort.')",1.0,Deletion
7,"('#valere', ""Si tu voulais m'écouter, je te dirais ce que ce Joueur-ci..."")","('#nerine', 'Je veux lui parler.')",0.9,Substitution
8,"('#l-etourdi', 'Le Joueur est une pièce, où il y a un Joueur qui joue, qui perd, qui gagne.')",,1.0,Insertion
9,"('#valere', ""D'accord ; mais..."")","('#hector', ""Paix, ne parle pas si fort. Oh ! J'entrerai, te dis-je."")",1.49,Substitution
10,"('#l-etourdi', ""Je l'ai vu, te dis-je, il a une Angélique, une suivante, un Valet..."")","('#hector', ""Ici je suis de garde, Et je ne puis t'ouvrir que la porte bâtarde."")",1.46,Substitution
11,,"('#nerine', 'Tes sots raisonnements sont pour moi superflus.')",1.0,Deletion
