,la-fontaine-daphne,quinault-persee,Cost,Operation Type
0,"('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")","('#phronime', ""La Vertu veut choisir ce lieu pour sa retraite : C'est un heureux séjour ; tout y plaît à mes yeux."")",1.35,Substitution
1,"('#venus', 'Charmante oisiveté, repos délicieux !')","('#megathyme', 'La Vertu fait trouver dans les plus tristes lieux Une félicité secrète')",1.18,Substitution
2,"('#minerve', 'Ou plutôt, repos ennuyeux !')",,1.0,Insertion
3,"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")","('#phronime', ""Sans la Vertu, sans son secours, On n'a point de bien véritable. Elle est toujours aimable ; Il faut l'aimer toujours."")",0.74,Substitution
4,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")","('#megathyme', ""Elle éternise la mémoire D'un héros qui la suit. La gloire où la Vertu conduit Est la parfaite gloire."")",1.92,Substitution
5,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")","('#phronime #megathyme', ""Suivons partout ses pas,  On ne peut la connaître  Sans aimer ses appas. Le bonheur ne peut être Où la Vertu n'est pas. La Vertu s'avance au milieu d'un troupe de suivants et de suivantes. L'innocence et les Plaisirs innocents accompagnent la Vertu."")",0.96,Substitution
6,"('#momus', ""Ne vous faites point tant d'affaires."")","('#phronime #megathyme #choeur', ""Ô Vertu charmante ! Votre empire est doux.  Avec vous, tout nous contente ; On n'est point heureux sans vous. Ô Vertu charmante, Votre empire est doux."")",1.54,Substitution
7,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")","('#la-vertu', ""Ne vous abusez point par une vaine attente :  On n'a pas aisément les prix que je présente ; Ils coûtent mille efforts ils font mille jaloux. L'inconstante Fortune à ma nuire est constante ;  Lorsque l'on suit mes pas on s'expose à mes coups. On trouve en son fatal courroux Une hydre toujours renaissante."")",0.75,Substitution
8,,"('#megathyme', ""Avec vous rien n'épouvante."")",1.0,Deletion
9,,"('#phronime', ""On n'est point heureux sans vous."")",1.0,Deletion
10,"('#promethee', 'Que me veut Jupiter ?')",,1.0,Insertion
11,"('#jupiter', 'Ouvre tes magasins.')",,1.0,Insertion
12,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")","('#phronime #megathyme #choeur', 'Ô Vertu charmante, etc.')",1.66,Substitution
13,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")","('#la-vertu', ""Fuyons de la grandeur la pompe embarrassante ;  La retraite a des biens dont la douceur enchante Et qui sont réservés pour nous. Jouissons du bonheur d'une vie innocente ; C'est le bien le plus grand de tous."")",1.26,Substitution
14,"('#promethee', 'Vous ne les connaissez pas.')",,1.0,Insertion
15,"('#momus', 'Fais-leur faire quelques pas.')",,1.0,Insertion
