,barante-arlequin-misanthrope,biancollelli-foire-galante,Cost,Operation Type
0,"('#arlequin', 'Non, te dis-je, je ne la jouerai pas.')",,1.0,Insertion
1,"('#colombine', 'Mais tu te moques.')",,1.0,Insertion
2,"('#arlequin', ""Il n'y a point de plaisanterie à cela, et j'aimerais mieux être Arlequin Cochon, Arlequin Dogue, Cygne, Taureau, et tout ce qu'il te plaira, que d'être Arlequin Misanthrope."")",,1.0,Insertion
3,"('#colombine', ""Et bien, il faut donc se résoudre à faire rendre l'argent.  Quoi ?  Renvoyer tout ce beau monde-là ?  Il faut avoir le coeur bien dur.  Ah !  Ah !"")",,1.0,Insertion
4,"('#arlequin', ""Oh, je te connais, tu es tout comme les autres femmes ; il n'y a que l'intérêt qui te gouverne.  Quand tu déplores ce beau monde-là, tu le regardes bien moins au visage qu'à la bourse."")",,1.0,Insertion
5,"('#colombine', 'Mais sérieusement, crois-tu ne pouvoir être Misanthrope, sans déroger à ton Arlequinisme ?')",,1.0,Insertion
6,"('#arlequin', ""Non vraiment, un Misanthrope est un homme d'esprit, une fois, et tout le monde sait que je ne suis qu'un sot."")",,1.0,Insertion
7,"('#colombine', ""Tu n'es pas glorieux, à ce que je vois."")",,1.0,Insertion
8,"('#arlequin', ""Oh, ma foi, si tous les sots rougissaient de l'être, on ne rencontrerait dans les rues que des visages d'écarlate."")",,1.0,Insertion
9,"('#colombine', 'Parlons un peu raison.')",,1.0,Insertion
10,"('#arlequin', ""Parlons plutôt un langage que tout le monde entende : mais s'il s'agit d'argumenter, me voilà sur mes bancs.  Allons."")",,1.0,Insertion
11,"('#colombine', 'Vous êtes un sot, dites-vous ?')",,1.0,Insertion
12,"('#arlequin', 'Concedo majorem.')",,1.0,Insertion
13,"('#colombine', ""Or est-il qu'il y a plusieurs pièces où vous faites l'homme d'esprit : donc pour être un sot vous ne laissez pas de pouvoir fort bien jouer le Misanthrope."")","('#venus', ""Chantez, chantez, ne vous lassez jamais, Et qu'à vos voix, l'écho réponde. Les plaisirs et les jeux remplissent vos souhaits, Vous êtes les mortels les plus heureux du monde. Chantez, etc."")",1.17,Substitution
14,"('#arlequin', ""Nego consequentiam, et retorqueo argumentum.  Vous êtes une salope : il y a des pièces où vous faites la femme d'importance : Ergo vous n'êtes pas une salope.  Voilà un beau raisonnement !"")","('#le-choeur', ""Chantons, chantons, etc. Les trois Grâces dansent sur l'air des plaisirs du prologue, après quoi suit :"")",1.29,Substitution
15,"('#colombine', ""Mais ne fais-tu pas l'apothicaire dans l'Empereur de la lune ?"")",,1.0,Insertion
16,"('#arlequin', ""Il est vrai qu'il faut un esprit bien profond, pour mettre adroitement un lavement bien en place !"")",,1.0,Insertion
17,"('#colombine', ""Ne fais-tu pas l'Avocat, le Procureur, le Baron, le Marquis ?"")","('#venus', 'Quel soudain carillon, et quels terribles bruits, Ciel ! qui peut amener ce bélître où je suis ?')",1.29,Substitution
