,quinault-isis,cahusac-l-algerien,Cost,Operation Type
0,,"('#la-satire', ""J'étouffe. Oh ! C'en est trop..."")",1.0,Deletion
1,,"('#apollon', 'Quoi toujours des murmures !')",1.0,Deletion
2,,"('#la-satire', ""Eh ! Comment ne pas murmurer ? Tout contre moi semble se déclarer On me sait chaque jour de nouvelles injures... Quoiqu'il arrive, il faut que ma sincérité Soulage mon coeur irrité."")",1.0,Deletion
3,,"('#apollon', 'À ces noires vapeurs on connaît la Satire.')",1.0,Deletion
4,,"('#la-satire', ""Il ne m'est plus permis de parier ni d'écrire, Et tout trahit la vérité."")",1.0,Deletion
5,"('#la-renommee #suite', 'Publions en tous lieux Du plus grand des héros la valeur triomphante. Que la Terre et les cieux  Retentissent du bruit de sa gloire éclatante.')","('#apollon', ""N'abusez plus de ce nom respecté. La vérité sans vous voit fleurir son empire. Confondrez-vous toujours sa douceur, sa beauté. Son aimable ingénuité Avec la fureur de médire."")",0.57,Substitution
6,,"('#la-satire', ""L'erreur est de votre côté. De vices, de travers, le monde est infecté, Et médire est être sincère."")",1.0,Deletion
7,"('#la-renommee', ""C'est lui dont les Dieux ont fait choix  Pour combler le bonheur de l'Empire François, En vain pour le troubler, tout s'unit, tout conspire, C'est en vain que l'Envie a ligué tant de rois. Heureux l'Empire  Qui suit ses lois !"")","('#uranie', ""Et voilà les discours d'un esprit emporté. Moins ami de la probité Qu'esclave des transports d'une aveugle colère. Car enfin quels objets peuvent tant vous déplaire ?"")",0.74,Substitution
8,,"('#la-satire', 'Tout.')",1.0,Deletion
9,,"('#uranie', 'Comment tout ?')",1.0,Deletion
10,,"('#la-satire', 'WARNING: invalid @part in source.')",1.0,Deletion
11,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")","('#clio', ""Oh bon ! C'est comme à l'ordinaire ; Puisque tout lui déplaît, sans doute tout va bien."")",1.43,Substitution
12,,"('#la-satire', ""En effet l'ennui qui nous ronge Est un bonheur extrême et qui doit nous flatter."")",1.0,Deletion
13,,"('#apollon', ""L'ennui donne ses traits à celui qui s'y plonge Il est le mal des Sots, l'esprit sait l'éviter. Finissons, et tâchez de calmer votre bile."")",1.0,Deletion
14,"('#la-renommee', ""Il faut que partout on l'admire Parlons de ses vertus racontons ses exploits, A peine y pourrons nous suffire Avec toutes nos voix;"")","('#la-satire', ""Non, je ne saurais voir avec un coeur tranquille Les malheurs qui sur nous fondent de toutes parts, Vous nous fîtes jadis abandonner la Grèce, Rome avec nous reçut les talents et les arts Ils y fructifiaient sous les yeux des Césars, À la Cour, à la ville, on nous fêtait sans cesse ; Mais notre gloire enfin déchût : L'ignorance et la barbarie Nous chassèrent de l'Italie. Louis en France alors comme un Astre parut, Nous vînmes à la hâte aux cris de ce grand homme? Colbert nous accueillit, le Roi nous secourut ; Nous étions à Paris encore mieux qu'à Rome. Maintenant, s'il vous plaît, où nous conduirez-vous ? Quand partons-nous ? Parlez ?"")",0.32,Substitution
15,,"('#uranie', ""Pourquoi cette folie ? Des arts la France est la Patrie ; Dans Athènes ; ils n'ont point joui d'un sort plus doux."")",1.0,Deletion
16,,"('#la-satire', ""Cette réponse est juste, on doit vous la permettre Vous êtes à la mode, on vous chérit encor, Pour tous vos nourrissons votre art est un trésor, Chaque femme a son Géomètre, Et c'est pour eux le Siècle_d_or : Tout le reste abattu n'ose se faire entendre, Craint, haï, sans secours, et comme sans aveu."")",1.0,Deletion
17,,"('#apollon', ""C'est qu'on nous prend pour vous..."")",1.0,Deletion
18,,"('#la-satire', ""Eh ! Peut-on s'y méprendre ; J'ai de l'esprit au moins."")",1.0,Deletion
19,,"('#apollon', ""Mais entre nous fort peu ; Et dans le fonds qu'en avez vous affaire ; Lorsqu'on se permet tout il n'est plus nécessaire, Dans voire art odieux le sot même a beau jeu. Ce siècle est éclairé, puisqu'il faut vous le dire, On craint sans l'estimer le talent de médire, Il a mille dangers, et n'est plus glorieux."")",1.0,Deletion
20,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")","('#la-satire', 'Si le Siècle était vertueux Il ne craindrait pas la Satire...')",1.36,Substitution
21,"('#la-renommee', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")","('#clio', ""Vous perdez dans les airs les traits que vous lancez Contre le siècle heureux que j'ajoute à l'histoire. Il égale est vertus tous les siècles passés Sans avoir leurs erreurs, il a toute leur gloire."")",0.85,Substitution
22,,"('#la-renommee', ""Doctes soeur écoutez... LOUIS aux Champs de Mars Fait revivre en lui seul les Héros de sa race : Il vole en conquérant au milieu des hasards, De ses Ennemis qu'il terrasse, Il a foudroyé les Remparts. CLERMONT le suit... CONDÉ n'était pas plus terrible. La foudre est dans ses mains, la mort dans ses regards ; Tout fuit devant LOUIS, tout lui devient possible : La Victoire enchaînée à son bras invincible Ne fuit plus que ses étendards."")",1.0,Deletion
23,"('#le-choeur', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")","('#apollon', ""Nous avons dû prévoir les lauriers qu'il moissonne, Tout nous annonçait ses exploits ; Grand dans sa Cour, grand aux Champs de Bellone, LOUIS sera toujours le modèle des Rois."")",0.84,Substitution
24,,"('#la-renommee', ""Dans les Alpes CONTI s'est ouvert un passage, Mont_Dauphin_et_Démond se livrent au Vainqueur. La prudence prépare et guide son ardeur, Des deux Rivaux fameux de Rome et de Carthage Il rassemble au printemps de l'âge L'art, la sagesse et la valeur."")",1.0,Deletion
25,"('#deux-tritons', ""C'est le Dieu des eaux qui va paraître Rangeons nous près de notre Maître Enchaînons les vents les plus terribles Que le bruit des flots cède à nos chants. Régnez Zéphirs paisibles, Ramenez le doux printemps."")","('#clio', ""De ce jeune Guerrier nous devons tout attendre Par l'aurore de ses travaux, Jugez du jour brillant qu'ils vont bientôt répandre."")",0.4,Substitution
26,"('#neptune', ""Mon empire a servi de théâtre à la guerre, Publiez des exploits nouveaux C'est le même vainqueur Si fameux sur la terre Qui triomphe encor sur les eaux."")","('#apollon', ""Ces succès éclatants doivent peu nous surprendre : L'exemple des grands Rois fait toujours des Héros."")",0.42,Substitution
27,"('#la-renommee #neptune', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")","('#calliope', ""Mon coeur est transporté de ce qu'il vient d'entendre, Vous dont le génie et la voix Des ravages du temps font triompher la gloire, Des vertus de LOUIS, de ses brillants exploits Hâtez-vous d'embellir le Temple de Mémoire. Il règne sur les coeurs que son bras a soumis, Il répand sur ses jours une gloire immortelle, Il est l'effroi de tous ses ennemis, Et l'amour d'un Peuple fidèle. En enthousiasme."")",0.46,Substitution
28,,"('#melpomene', 'Mes soeurs... Ah ! Juste Ciel ! Quelle affreuse nouvelle !')",1.0,Deletion
29,,"('#clio', 'Que nous veut Melpomène en pleurs ?')",1.0,Deletion
30,,"('#terpsicore', ""C'est le ton qu'elle prend pour paraître plus belle."")",1.0,Deletion
31,,"('#melpomene', ""Apollon apprenez le plus grand des malheurs. C'en est fait... Je succombe à ma douleur mortelle."")",1.0,Deletion
32,"('#choeurs', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")","('#apollon', 'Ah ! Parlez. Dissipez, ou comblez nos terreurs.')",1.13,Substitution
33,,"('#melpomene', ""Tout est perdu... Ce Roi l'objet de notre zèle, Le protecteur des Arts, l'ami de ses Sujets, Intrépide au combat, juste pendant la Paix, Que la France adorait, qui s'immolait pour elle..."")",1.0,Deletion
34,,"('#apollon', 'Achevez. Aurions-nous à craindre pour ses jours ?')",1.0,Deletion
35,"('#calliope', 'Cessez pour quelque temps bruit terrible des armes Qui troublez le repos de cent climats divers  Ne troublez point les charmes De nos divins concerts.')","('#melpomene', ""Le barbare ennemi qui le force à la guerre, Croyant de ses exploits interrompre le cours, Du sang de ses Sujets avait rougi la terre. Hélas ! Ce tendre Roi volait à leur secours ; Déjà l'Ennemi tremble, il se trouble, il s'arrête ; La vengeance en éclats va fondre sur sa tête... .Tout à coup sur LOUIS le destin en courroux... Mes pleurs et mes soupirs disent assez le reste."")",0.43,Substitution
36,,"('#apollon', 'Juste Ciel ne frappe que nous.')",1.0,Deletion
37,,"('#melpomene', ""Il expire peut-être en ce moment funeste : La France perd un père, et l'Empire un vengeur."")",1.0,Deletion
38,"('#calliope #thalie #apollon', 'Ne troublez point les charmes De nos divins concerts.')","('#apollon', ""Ciel, nous n'attendons plus que des jours de douleur ; C'est un peuple soumis que ton courroux foudroyé ? Il ne voyait en lui qu'un tendre bienfaiteur."")",1.27,Substitution
39,,"('#thalie', 'Dissipez les terreurs dont votre âme est la proie ; Le péril est passé, le Ciel nous rend LOUIS : Livrons nos coeurs à la plus vive joie ; Les pleurs ne sont plus faits que pour ses ennemis.')",1.0,Deletion
40,"('#calliope', 'Recommençons nos chants, Allons les faire entendre.')","('#apollon', 'Thalie !... Ah ! Quel bonheur !... Hâtez-vous de nous dire ?...')",1.25,Substitution
41,,"('#melpomene', ""Le Ciel nous le rendrait !... Eh ! Peut-on l'espérer ?..."")",1.0,Deletion
42,,"('#thalie', 'À vos tristes regrets cessez de vous livrer.')",1.0,Deletion
43,,"('#melpomene', 'Ah ! Thalie !... Il vivrait !...')",1.0,Deletion
44,"('#melpomene', 'Dans une auguste Cour.')","('#thalie', 'Grâce aux Dieux il respire.')",1.53,Substitution
45,,"('#clio', 'Mais comment savez-vous ce changement heureux ?')",1.0,Deletion
46,,"('#thalie', ""Dans les yeux des Français qui craindraient moins pour eux, Il m'était aisé de le lire. Nous le verrons bientôt arriver dans ces lieux."")",1.0,Deletion
47,,"('#melpomene', 'Eh ! Le moyen de vous en croire.')",1.0,Deletion
48,,"('#thalie', ""D'un peuple qui l'adore, il va combler les voeux ; J'en suis sûre. J'ai vu la gloire."")",1.0,Deletion
49,"('#thalie', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")","('#la-renommee', ""Je vole à l'Univers annoncer ce bonheur."")",0.92,Substitution
50,,"('#thalie', ""Non demeurez. Vous m'êtes nécessaire. Par un spectacle à son honneur... Le projet est hardi ; mais il est séducteur... N'importe. À ce héros mon dessein pourra plaire... En rêvant."")",1.0,Deletion
51,,"('#la-satire', 'Sans doute. Le dessein est un peu téméraire ; Mais pour signaler votre ardeur...')",1.0,Deletion
