corneillet-festin-pierre,moliere-dom-juan,Score
"('#sganarelle', ""Quoi qu'en dise Aristote, et sa docte Cabale, Le Tabac est divin, il n'est rien qui l'égale. Et par les fainéants, pour fuir l'oisiveté, Jamais amusement ne fut mieux inventé. Ne saurait-on que dire, on prend la tabatière, Soudain à gauche, à droit, par devant, par derrière, Gens de toutes façons, connus et non connus, Pour y demander part, sont les très bien venus. Mais c'est peu qu'à donner instruisant la jeunesse, Le tabac l'accoutume à faire ainsi largesse. C'est dans la médecine un remède nouveau ; Il purge, réjouit, conforte le cerveau, De toute noire humeur promptement le délivre, Et qui vit sans tabac n'est pas digne de vivre. Ô tabac, ô tabac, mes plus chères amours ! Mais reprenons un peu notre premier discours. Si bien, mon cher Gusman, qu'Elvire ta Maîtresse, Pour Don Juan mon maître a pris tant de tendresse, Qu'apprenant son départ, l'excès de son ennui L'a fait mettre en campagne, et courir après lui ? Le soin de le chercher est obligeant sans doute, C'est aimer fortement, mais tout voyage coûte, Et j'ai peur, s'il te faut expliquer mon souci, Qu'on l'indemnise mal des frais de celui-ci."")",-,0.0
"('#gusman', ""Et la raison encor ? Dis-moi, je te conjure, D'où te vient une peur de si mauvais augure ? Ton maître là-dessus t'a-t-il ouvert son coeur ? T'a-t-il fait remarquer pour nous quelque froideur, Qui d'un départ si prompt..."")",-,0.0
"('#sganarelle', ""Je n'en sais point les causes. Mais, Gusman, à peu près je vois le train des choses, Et sans que Don Juan m'ait rien dit de cela, Tout franc, je gagerais que l'affaire va là. Je pourrais me tromper, mais j'ai peine à le croire."")",-,0.0
"('#gusman', ""Quoi, ton maître ferait cette tache à sa gloire ? Il trahirait Elvire, et d'un crime si bas..."")",-,0.0
"('#sganarelle', ""Il est trop jeune encor, il n'oserait."")",-,0.0
"('#gusman', ""Hélas ! Ni d'un si lâche tour l'infamie éternelle, Ni de sa qualité..."")",-,0.0
"('#sganarelle', ""La raison en est belle. Sa qualité ! C'est là ce qui l'arrêterait."")",-,0.0
"('#gusman', 'Tant de voeux...')",-,0.0
"('#sganarelle', ""Rien pour lui n'est trop chaud ni trop froid. Voeux, serments, sans scrupule il met tout en usage."")",-,0.0
"('#gusman', ""Mais ne songe-t-il pas à l'hymen qui l'engage ? Croit-il le pouvoir rompre ?"")",-,0.0
"('#sganarelle', 'Hé, mon pauvre Gusman, Tu ne sais pas encor quel homme est Don Juan.')",-,0.0
"('#gusman', ""S'il est ce que tu dis, le moyen de connaître, De tous les scélérats, le plus grand, le plus traître ? Le moyen de penser qu'après tant de serments, Tant de transports d'amour, d'ardeurs, d'empressements, De protestations des plus passionnées, De larmes, de soupirs, d'assurances données, Il ait réduit Elvire à sortir du couvent, À venir l'épouser, et tout cela, du vent ?"")",-,0.0
"('#sganarelle', ""Il s'embarrasse peu de pareilles affaires. Ce sont des tours d'esprits qui lui sont ordinaires ; Et si tu connaissais le pèlerin, crois-moi, Tu ferais peu de fond sur le don de sa foi. Ce n'est pas que je sache avec pleine assurance, Que déjà pour Elvire il sait ce que je pense. Pour un dessein secret en ces lieux appelé, Depuis son arrivée il ne m'a point parlé ; Mais par précaution je puis ici te dire, Qu'il n'est devoirs si saints dont il ne s'ose rire ; Que c'est un endurci dans la fange plongé, Un chien, un hérétique, un turc, un enragé ; Qu'il n'a ni foi ni loi ; que tout ce qui le tente..."")",-,0.0
"('#gusman', ""Quoi, le Ciel ni l'Enfer n'ont rien qui l'épouvante ?"")",-,0.0
"('#sganarelle', ""Bon, parlez-lui du Ciel, il répond d'un soeuris. Parlez-lui de l'Enfer, il met le Diable au pis ; Et parce qu'il est jeune, il croit qu'il est en âge, Où la vertu sied moins que le libertinage. Remontrance, reproche, autant de temps perdu. Il cherche avec ardeur ce qu'il voit défendu, Et ne refusant rien à Madame Nature, Il est ce qu'on appelle un Pourceau d'Épicure. Ainsi ne me dis point, sur sa légèreté, Qu'Elvire par l'hymen se trouve en sûreté, C'est peu pour bon contrat qu'il en ait fait la femme, Pour en venir à bout, et contenter sa flamme, Avec elle au besoin, par ce même contrat, Il aurait épousé toi, son chien et son chat. C'est un piège qu'il tend partout à chaque belle ; Paysanne, bourgeoise, et dame et demoiselle, Tout le charme, et d'abord pour leur donner leçon, Un mariage fait lui semble une chanson. Toujours objets nouveaux, toujours nouvelles flammes ; Et si je te disais combien il a de femmes, Tu serais convaincu que ce n'est pas en vain Qu'on le croit l'épouseur de tout le genre humain."")",-,0.0
"('#gusman', 'Quel abominable homme !')",-,0.0
"('#sganarelle', ""Et plus qu'abominable. Il se moque de tout, ne craint ni Dieu ni Diable ; Et je ne doute point, comme il est sans retour, Qu'il ne soit par la foudre écrasé quelque jour. Il le mérite bien, et s'il te faut tout dire, Depuis qu'en le servant je souffre le martyre, J'en ai vu tant d'horreurs, que j'avoue aujourd'hui, Qu'il vaudrait mieux cent fois être au Diable qu'à lui."")",-,0.0
"('#gusman', 'Que ne le quittes-tu ?')",-,0.0
"('#sganarelle', ""Le quitter ! Comment faire ? Un grand Seigneur méchant est une étrange affaire. Vois-tu, si j'avais fui, j'aurais beau me cacher, Jusque dans l'Enfer même il viendrait me chercher. La crainte me retient, et ce qui me désole, C'est qu'il faut avec lui faire souvent l'idole, Louer ce qu'on déteste, et de peur du bâton, Approuver ce qu'il fait, et chanter sur son ton. Je crois dans ce palais le voir qui se promène, C'est lui. Prends garde au moins... Apercevant Don Juan."")",-,0.0
"('#gusman', ""Ne t'en mets point en peine."")",-,0.0
"('#sganarelle', ""Je t'ai conté sa vie un peu légèrement. C'est à toi là-dessus de te taire ; autrement..."")",-,0.0
"('#gusman', 'Ne crains rien.')",-,0.0
"('#don-juan', ""Avec qui parlais-tu ? Pourrait-ce être Le bonhomme Gusman ? J'ai cru le reconnaître ?"")",-,0.0
"('#sganarelle', ""Vous avez fort bien cru, c'était lui-même."")",-,0.0
"('#don-juan', 'Il vient Demander quelle affaire en ces lieux nous retient ?')",-,0.0
"('#sganarelle', 'Il est un peu surpris de ce que sans rien dire Vous avez pu si tôt abandonner Elvire.')",-,0.0
